,Code,Latitude,Longitude,Elevation,Name,Correlation1,Correlation2,Correlation3,Correlation4,Correlation5,Correlation6,Correlation7,Correlation8,Correlation9,Correlation10,Correlation11,Correlation12
1,IC000004004,64.9,-23.933,7,GUFUSKALAR,0.871000111,0.894866659,0.932079426,0.887366718,0.868495764,0.922292825,0.951362158,0.937041459,0.90187535,0.934229043,0.892372568,0.847767288
2,IC000004013,65.0733,-22.7275,15,STYKKISHOLMUR,0.334986209,0.523521545,0.492468825,0.347613614,0.399721397,0.529511484,0.581929252,0.299290853,0.313671096,0.22933788,0.382035405,0.19408272
3,IC000004030,64.1331,-21.9,52,REYKJAVIK,0.129031308,0.370390277,0.380642512,0.315426731,0.371665455,0.477660171,0.583139098,0.33189617,0.271055299,0.144618084,0.186387735,0.089322606
4,IC000004048,63.4,-20.2831,118,VESTMANNAEYJAR,0.095941219,0.254366991,0.22527579,0.241331488,0.561752027,0.758116476,0.759583025,0.463562622,0.314031024,0.158370511,0.22679236,0.09217964
5,IC000004063,65.68,-18.0794,27,AKUREYRI,0.155998428,0.431054835,0.420001713,0.283139383,0.240108438,0.328060131,0.524717275,0.337801317,0.320767159,0.219232853,0.378193602,0.272336891
6,IC000004092,64.6831,-15.2275,23,TEIGARHORN,-0.070349746,0.472419824,0.338975263,0.181329716,0.274546336,0.323571975,0.643337237,0.513658767,0.268367121,0.036062161,0.199294143,0.096660543
7,IC000004097,65.2667,-13.5831,9,DALATANGI,0.136015,0.419305649,0.366296293,0.162574274,0.219091813,0.365246476,0.622630671,0.415877952,0.290853697,0.16585831,0.252746721,0.089326237
8,ICM00004005,66.1667,-23.5667,20,GALTARVITI,0.256917747,0.546637828,0.681180962,-0.209832779,0.573989263,0.501326864,0.308793487,0.366005291,0.03555168,0.131540808,0.709081906,0.548133383
9,ICM00004014,63.817,-22.717,26,REYKJANESVITI,-0.001026121,0.53527215,0.581756711,-0.162624115,0.474184445,0.396145706,0.883733033,-0.132230303,-0.20246074,0.027313936,-0.069842552,0.348804886
10,ICM00004056,64.8667,-19.5667,641,HVERAVELLIR,-0.133637928,0.414071727,0.536316162,0.141356863,0.334686424,0.560056609,0.693062214,0.158819295,0.074003507,0.174236521,0.598088191,0.544595553
11,ICM00004064,63.7833,-18.0667,32,KIRKJUBAEJARKLAUSTUR,0.021176259,0.53390724,0.531119459,-0.207616143,0.221981793,0.343871345,0.613446918,0.60458421,0.244575704,0.130338567,0.187033534,0.138012329
12,ICM00004065,66.533,-18.017,16,GRIMSEY,0.337437825,0.533743651,0.474023313,0.432111042,0.376867588,0.617725934,0.577627719,0.297838012,0.302935866,0.411277619,0.43766932,-0.046818254
13,ICM00004077,66.45,-15.95,5,RAUFARHOFN,0.075860018,0.534721821,0.67134504,0.346838491,-0.055265547,0.157272104,0.455022517,0.326263179,0.182966059,0.127359719,0.263456123,0.166115708
14,ICM00004082,64.296,-15.227,7.3,HORNAFJORDUR,0.177572086,0.470785375,0.408947113,0.146217341,0.363772753,0.554749113,0.658102041,0.568154546,0.30816563,0.105947343,0.284195188,-0.053806633
15,ICM00004089,65.283,-14.4,23,EGILSSTADIR,0.047998195,0.35852923,0.536850348,-0.086408787,-0.149038923,0.201518999,0.559309517,0.18188017,0.211091516,0.072544214,0.409083353,-0.128539234
16,ICM00004130,64.133,-21.9,53,REYKJAVIK,0.304214648,0.129239385,-0.057396768,0.267944953,0.59861244,0.571974056,0.52707589,0.206324842,0.247070674,-0.299917201,-0.016780652,-0.557639417
17,ICW00016201,63.9667,-22.6,50.3,KEFLAVIK,0.20340622,0.426927517,0.34717345,0.130288834,0.336168945,0.621340807,0.665398221,0.350182231,0.149909143,0.055562073,0.205348172,0.086549896
18,ICXLT168358,66.15,-23.25,24,BOLUNGAVIK,0.039701967,0.337406794,0.47322394,0.255498121,0.216936148,0.620284901,0.721700551,0.338028398,-0.013418773,0.445659132,0.060202035,0.059547941
