,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1982-01,, 
1,1982-02,, 
2,1982-03,, 
3,1982-04,, 
4,1982-05,4.03,C
5,1982-06,, 
6,1982-07,, 
7,1982-08,, 
8,1982-09,, 
9,1982-10,-2.04,C
10,1982-11,-17.36,C
11,1982-12,-20.7,C
12,1983-01,-20.17,C
13,1983-02,-17.86,C
14,1983-03,-13.14,C
15,1983-04,0.01,C
16,1983-05,, 
17,1983-06,, 
18,1983-07,, 
19,1983-08,, 
20,1983-09,3.85,C
21,1983-10,-2.11,C
22,1983-11,-15.05,C
23,1983-12,, 
24,1984-01,-18.76,C
25,1984-02,-10.99,C
26,1984-03,-5.31,C
27,1984-04,0.15,C
28,1984-05,5.16,C
29,1984-06,10.2,C
30,1984-07,11.77,C
31,1984-08,10.95,C
32,1984-09,4.25,C
33,1984-10,-3.8,C
34,1984-11,-16.94,C
35,1984-12,, 
36,1985-01,-12.09,C
37,1985-02,-20.59,C
38,1985-03,-9.59,C
39,1985-04,-3.72,C
40,1985-05,4.22,C
41,1985-06,, 
42,1985-07,12.9,C
43,1985-08,, 
44,1985-09,4.96,C
45,1985-10,-3.95,C
46,1985-11,-22.51,C
47,1985-12,-13.66,C
48,1986-01,-15.0,C
49,1986-02,-16.91,C
50,1986-03,-8.89,C
51,1986-04,-5.36,C
52,1986-05,3.76,C
53,1986-06,10.29,C
54,1986-07,, 
55,1986-08,, 
56,1986-09,, 
57,1986-10,0.33,C
58,1986-11,-18.16,C
59,1986-12,-15.17,C
60,1987-01,-17.42,C
61,1987-02,-13.33,C
62,1987-03,-14.67,C
63,1987-04,, 
64,1987-05,, 
65,1987-06,, 
66,1987-07,, 
67,1987-08,, 
68,1987-09,, 
69,1987-10,1.07,C
70,1987-11,-9.41,C
71,1987-12,-15.56,C
72,1988-01,-21.77,C
73,1988-02,-15.17,C
74,1988-03,-7.17,C
75,1988-04,-0.12,C
76,1988-05,, 
77,1988-06,, 
78,1988-07,, 
79,1988-08,, 
80,1988-09,, 
81,1988-10,-1.27,C
82,1988-11,-12.93,C
83,1988-12,-18.68,C
84,1989-01,-23.38,C
85,1989-02,-19.96,C
86,1989-03,-14.05,C
87,1989-04,-0.06,C
88,1989-05,6.97,C
89,1989-06,12.56,C
90,1989-07,15.46,C
91,1989-08,13.77,C
92,1989-09,6.33,C
93,1989-10,-3.06,C
94,1989-11,-16.19,C
95,1989-12,-14.66,C
96,1990-01,, 
97,1990-02,-21.12,C
98,1990-03,-7.6,C
99,1990-04,-0.79,C
100,1990-05,, 
101,1990-06,, 
102,1990-07,, 
103,1990-08,, 
104,1990-09,, 
105,1990-10,-4.22,C
106,1990-11,-21.86,C
107,1990-12,, 
108,1991-01,-21.37,C
109,1991-02,-10.95,C
110,1991-03,-9.7,C
111,1991-04,0.34,C
112,1991-05,, 
113,1991-06,, 
114,1991-07,, 
115,1991-08,, 
116,1991-09,6.98,C
117,1991-10,-5.08,C
118,1991-11,-14.43,C
119,1991-12,-16.93,C
120,1992-01,-14.49,C
121,1992-02,-13.91,C
122,1992-03,-7.88,C
123,1992-04,, 
124,1992-05,, 
125,1992-06,, 
126,1992-07,, 
127,1992-08,, 
128,1992-09,1.88,C
129,1992-10,-4.43,C
130,1992-11,-11.74,C
131,1992-12,, 
132,1993-01,-22.76,C
133,1993-02,-17.28,C
134,1993-03,-9.93,C
135,1993-04,1.63,C
136,1993-05,, 
137,1993-06,, 
138,1993-07,, 
139,1993-08,, 
140,1993-09,, 
141,1993-10,0.64,C
142,1993-11,-10.6,C
143,1993-12,-14.61,C
144,1994-01,-23.74,C
145,1994-02,-25.85,C
146,1994-03,-5.82,C
147,1994-04,0.91,C
148,1994-05,6.09,C
149,1994-06,11.67,C
150,1994-07,14.47,C
151,1994-08,, 
152,1994-09,5.21,C
153,1994-10,0.24,C
154,1994-11,-16.55,C
155,1994-12,-21.3,C
156,1995-01,-20.21,C
157,1995-02,-16.66,C
158,1995-03,-11.87,C
159,1995-04,1.06,C
160,1995-05,8.03,C
161,1995-06,12.46,C
162,1995-07,12.79,C
163,1995-08,, 
164,1995-09,8.29,C
165,1995-10,-1.29,C
166,1995-11,-15.99,C
167,1995-12,-20.95,C
168,1996-01,, 
169,1996-02,-15.44,C
170,1996-03,-12.44,C
171,1996-04,-3.46,C
172,1996-05,3.87,C
173,1996-06,10.46,C
174,1996-07,, 
175,1996-08,, 
176,1996-09,4.34,C
177,1996-10,-4.83,C
178,1996-11,-19.94,C
179,1996-12,-21.6,C
180,1997-01,, 
181,1997-02,-11.61,C
182,1997-03,-13.39,C
183,1997-04,-1.38,C
184,1997-05,5.86,C
185,1997-06,12.13,C
186,1997-07,14.42,C
187,1997-08,12.24,C
188,1997-09,7.37,C
189,1997-10,-4.97,C
190,1997-11,-13.47,C
191,1997-12,-14.07,C
192,1998-01,, 
193,1998-02,-14.3,C
194,1998-03,-10.23,C
195,1998-04,-0.31,C
196,1998-05,8.67,C
197,1998-06,13.24,C
198,1998-07,14.31,C
199,1998-08,10.28,C
200,1998-09,5.57,C
201,1998-10,-1.47,C
202,1998-11,-15.05,C
203,1998-12,-20.97,C
204,1999-01,, 
205,1999-02,-17.33,C
206,1999-03,-9.41,C
207,1999-04,-0.58,C
208,1999-05,4.54,C
209,1999-06,11.76,C
210,1999-07,12.5,C
211,1999-08,12.46,C
212,1999-09,6.45,C
213,1999-10,-0.37,C
214,1999-11,-13.3,C
215,1999-12,-12.76,C
216,2000-01,-23.05,C
217,2000-02,-13.5,C
218,2000-03,-7.39,C
219,2000-04,-3.57,C
220,2000-05,4.25,C
221,2000-06,11.2,C
222,2000-07,13.27,C
223,2000-08,9.91,C
224,2000-09,5.66,C
225,2000-10,-2.73,C
226,2000-11,-10.44,C
227,2000-12,-19.85,C
228,2001-01,-13.46,C
229,2001-02,-17.51,C
230,2001-03,-10.55,C
231,2001-04,, 
232,2001-05,, 
233,2001-06,, 
234,2001-07,, 
235,2001-08,12.14,C
236,2001-09,6.67,C
237,2001-10,-1.87,C
238,2001-11,-13.37,C
239,2001-12,-21.62,C
240,2002-01,, 
241,2002-02,-15.22,C
242,2002-03,-15.39,C
243,2002-04,-7.78,C
244,2002-05,4.29,C
245,2002-06,10.91,C
246,2002-07,13.37,C
247,2002-08,10.27,C
248,2002-09,5.46,C
249,2002-10,-0.14,C
250,2002-11,-9.22,C
251,2002-12,-15.98,C
252,2003-01,-19.89,C
253,2003-02,-16.07,C
254,2003-03,-12.32,C
255,2003-04,-2.23,C
256,2003-05,4.63,C
257,2003-06,10.35,C
258,2003-07,14.28,C
259,2003-08,10.84,C
260,2003-09,5.11,C
261,2003-10,0.05,C
262,2003-11,-14.92,C
263,2003-12,-15.9,C
264,2004-01,, 
265,2004-02,-10.7,C
266,2004-03,-9.6,C
267,2004-04,-1.21,C
268,2004-05,5.98,C
269,2004-06,14.89,C
270,2004-07,14.47,C
271,2004-08,11.75,C
272,2004-09,4.37,C
273,2004-10,-2.05,C
274,2004-11,-12.28,C
275,2004-12,-15.12,C
276,2005-01,, 
277,2005-02,-15.21,C
278,2005-03,-5.77,C
279,2005-04,0.92,C
280,2005-05,7.71,C
281,2005-06,12.15,C
282,2005-07,12.64,C
283,2005-08,11.57,C
284,2005-09,6.7,C
285,2005-10,-0.46,C
286,2005-11,-7.81,C
287,2005-12,-14.48,C
288,2006-01,-18.56,C
289,2006-02,-17.18,C
290,2006-03,-13.11,C
291,2006-04,-1.01,C
292,2006-05,5.01,C
293,2006-06,12.55,C
294,2006-07,13.51,C
295,2006-08,10.57,C
296,2006-09,6.66,C
297,2006-10,-0.66,C
298,2006-11,-22.19,C
299,2006-12,-14.47,C
300,2007-01,-16.37,C
301,2007-02,-20.44,C
302,2007-03,-15.77,C
303,2007-04,-1.96,C
304,2007-05,5.5,C
305,2007-06,12.34,C
306,2007-07,14.56,C
307,2007-08,11.78,C
308,2007-09,5.58,C
309,2007-10,-1.17,C
310,2007-11,-12.92,C
311,2007-12,-20.25,C
312,2008-01,, 
313,2008-02,, 
314,2008-03,-9.75,C
315,2008-04,-2.62,C
316,2008-05,6.21,C
317,2008-06,9.98,C
318,2008-07,11.74,C
319,2008-08,11.0,C
320,2008-09,6.32,C
321,2008-10,-1.08,C
322,2008-11,-10.85,C
323,2008-12,, 
324,2009-01,-23.12,C
325,2009-02,, 
326,2009-03,-14.9,C
327,2009-04,-2.98,C
328,2009-05,5.41,C
329,2009-06,11.64,C
330,2009-07,13.87,C
331,2009-08,12.34,C
332,2009-09,7.04,C
333,2009-10,-2.86,C
334,2009-11,-13.39,C
335,2009-12,-21.41,C
336,2010-01,-18.91,C
337,2010-02,, 
338,2010-03,-6.72,C
339,2010-04,-0.16,C
340,2010-05,6.6,C
341,2010-06,10.91,C
342,2010-07,13.84,C
343,2010-08,, 
344,2010-09,, 
345,2010-10,, 
346,2010-11,, 
347,2010-12,, 
348,2011-01,-18.6,C
349,2011-02,-18.3,C
350,2011-03,-15.62,C
351,2011-04,-2.18,C
352,2011-05,7.04,C
353,2011-06,11.68,C
354,2011-07,13.59,C
355,2011-08,9.97,C
356,2011-09,6.33,C
357,2011-10,0.18,C
358,2011-11,-16.3,C
359,2011-12,-13.23,C
360,2012-01,-19.89,C
361,2012-02,-13.32,C
362,2012-03,-10.84,C
363,2012-04,-0.38,C
364,2012-05,5.47,C
365,2012-06,11.3,C
366,2012-07,13.3,C
367,2012-08,11.65,C
368,2012-09,7.13,C
369,2012-10,-4.8,C
370,2012-11,-17.82,C
371,2012-12,-23.7,C
372,2013-01,-18.29,C
373,2013-02,-8.8,C
374,2013-03,-14.52,C
375,2013-04,-6.07,C
376,2013-05,5.92,C
377,2013-06,13.47,C
378,2013-07,13.16,C
379,2013-08,13.17,C
380,2013-09,7.96,C
381,2013-10,1.0,C
382,2013-11,-15.29,C
383,2013-12,-22.56,C
384,2014-01,-12.15,C
385,2014-02,-22.73,C
386,2014-03,-14.4,C
387,2014-04,-2.07,C
388,2014-05,6.54,C
389,2014-06,10.14,C
390,2014-07,13.74,C
391,2014-08,, 
392,2014-09,6.13,C
393,2014-10,, 
394,2014-11,-12.31,C
395,2014-12,-18.23,C
