,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1973-01,, 
1,1973-02,, 
2,1973-03,-21.14,C
3,1973-04,-16.33,C
4,1973-05,-1.02,C
5,1973-06,3.08,C
6,1973-07,10.77,C
7,1973-08,10.13,C
8,1973-09,5.48,C
9,1973-10,-0.85,C
10,1973-11,-13.25,C
11,1973-12,-28.21,C
12,1974-01,-35.39,C
13,1974-02,-29.23,C
14,1974-03,-28.58,C
15,1974-04,-17.02,C
16,1974-05,-4.47,C
17,1974-06,3.64,C
18,1974-07,10.02,C
19,1974-08,9.49,C
20,1974-09,1.24,C
21,1974-10,-8.18,C
22,1974-11,, 
23,1974-12,, 
24,1975-01,, 
25,1975-02,-26.66,C
26,1975-03,-27.19,C
27,1975-04,-11.98,C
28,1975-05,, 
29,1975-06,4.05,C
30,1975-07,10.37,C
31,1975-08,, 
32,1975-09,, 
33,1975-10,, 
34,1975-11,, 
35,1975-12,, 
36,1984-01,, 
37,1984-02,, 
38,1984-03,, 
39,1984-04,, 
40,1984-05,, 
41,1984-06,, 
42,1984-07,, 
43,1984-08,11.23,C
44,1984-09,, 
45,1984-10,, 
46,1984-11,, 
47,1984-12,-29.01,C
48,1985-01,-26.84,C
49,1985-02,-28.6,C
50,1985-03,-25.38,C
51,1985-04,-15.54,C
52,1985-05,-2.72,C
53,1985-06,5.15,C
54,1985-07,, 
55,1985-08,, 
56,1985-09,5.41,C
57,1985-10,, 
58,1985-11,-17.73,C
59,1985-12,-24.6,C
60,1986-01,-28.62,C
61,1986-02,-28.26,C
62,1986-03,-24.37,C
63,1986-04,-13.56,C
64,1986-05,-3.39,C
65,1986-06,2.07,C
66,1986-07,8.52,C
67,1986-08,7.58,C
68,1986-09,2.54,C
69,1986-10,-6.61,C
70,1986-11,-23.38,C
71,1986-12,-23.23,C
72,1987-01,-26.46,C
73,1987-02,-25.74,C
74,1987-03,-22.12,C
75,1987-04,-11.98,C
76,1987-05,-7.71,C
77,1987-06,1.83,C
78,1987-07,, 
79,1987-08,, 
80,1987-09,5.47,C
81,1987-10,, 
82,1987-11,-16.05,C
83,1987-12,-20.61,C
84,1988-01,-33.28,C
85,1988-02,-31.28,C
86,1988-03,-23.94,C
87,1988-04,, 
88,1988-05,-6.59,C
89,1988-06,3.37,C
90,1988-07,, 
91,1988-08,11.24,C
92,1988-09,5.51,C
93,1988-10,-3.77,C
94,1988-11,-15.46,C
95,1988-12,-27.53,C
96,1989-01,-31.52,C
97,1989-02,-27.28,C
98,1989-03,-27.76,C
99,1989-04,-13.44,C
100,1989-05,, 
101,1989-06,, 
102,1989-07,12.91,C
103,1989-08,10.92,C
104,1989-09,4.07,C
105,1989-10,-4.31,C
106,1989-11,-19.22,C
107,1989-12,-27.5,C
108,1990-01,-30.88,C
109,1990-02,-31.94,C
110,1990-03,-18.38,C
111,1990-04,-14.98,C
