,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1982-01,-35.94,C
1,1982-02,-28.47,C
2,1982-03,-27.48,C
3,1982-04,-19.71,C
4,1982-05,-5.6,C
5,1982-06,4.87,C
6,1982-07,11.47,C
7,1982-08,7.22,C
8,1982-09,0.86,C
9,1982-10,-7.14,C
10,1982-11,-26.01,C
11,1982-12,-29.85,C
12,1983-01,-30.85,C
13,1983-02,-33.39,C
14,1983-03,-28.82,C
15,1983-04,-17.21,C
16,1983-05,-14.04,C
17,1983-06,5.19,C
18,1983-07,10.29,C
19,1983-08,9.27,C
20,1983-09,2.41,C
21,1983-10,-9.4,C
22,1983-11,-13.92,C
23,1983-12,-27.1,C
24,1984-01,-32.18,C
25,1984-02,-25.72,C
26,1984-03,-25.17,C
27,1984-04,-11.94,C
28,1984-05,-3.88,C
29,1984-06,8.05,C
30,1984-07,12.7,C
31,1984-08,9.64,C
32,1984-09,-0.07,C
33,1984-10,-9.21,C
34,1984-11,-21.76,C
35,1984-12,-32.35,C
36,1985-01,-27.71,C
37,1985-02,-34.68,C
38,1985-03,-26.45,C
39,1985-04,-19.52,C
40,1985-05,-1.6,C
41,1985-06,6.46,C
42,1985-07,7.76,C
43,1985-08,6.25,C
44,1985-09,0.78,C
45,1985-10,-9.97,C
46,1985-11,-23.45,C
47,1985-12,-25.0,C
48,1986-01,, 
49,1986-02,-26.85,C
50,1986-03,-27.62,C
51,1986-04,-18.96,C
52,1986-05,-5.74,C
53,1986-06,3.0,C
54,1986-07,10.43,C
55,1986-08,6.95,C
56,1986-09,1.55,C
57,1986-10,-9.55,C
58,1986-11,-24.08,C
59,1986-12,-24.47,C
60,1987-01,-24.71,C
61,1987-02,-25.07,C
62,1987-03,-25.97,C
63,1987-04,-15.17,C
64,1987-05,-6.89,C
65,1987-06,5.37,C
66,1987-07,10.02,C
67,1987-08,5.35,C
68,1987-09,4.07,C
69,1987-10,-8.06,C
70,1987-11,-21.16,C
71,1987-12,-19.58,C
72,1988-01,-31.63,C
73,1988-02,-31.61,C
74,1988-03,-22.64,C
75,1988-04,-15.36,C
76,1988-05,-10.09,C
77,1988-06,7.11,C
78,1988-07,11.43,C
79,1988-08,10.43,C
80,1988-09,3.6,C
81,1988-10,-8.28,C
82,1988-11,-25.5,C
83,1988-12,-27.37,C
84,1989-01,-33.41,C
85,1989-02,-22.46,C
86,1989-03,-29.74,C
87,1989-04,-15.24,C
88,1989-05,-8.17,C
89,1989-06,7.82,C
90,1989-07,12.29,C
91,1989-08,12.68,C
92,1989-09,1.63,C
93,1989-10,-7.84,C
94,1989-11,-26.01,C
95,1989-12,-29.13,C
96,1990-01,-32.79,C
97,1990-02,-34.57,C
98,1990-03,-21.3,C
99,1990-04,-14.61,C
100,1990-05,-7.4,C
101,1990-06,4.29,C
102,1990-07,10.91,C
103,1990-08,6.05,C
104,1990-09,0.91,C
105,1990-10,-9.27,C
106,1990-11,-25.07,C
107,1990-12,-31.22,C
108,1991-01,-31.5,C
109,1991-02,-30.58,C
110,1991-03,-28.09,C
111,1991-04,-13.87,C
112,1991-05,-1.8,C
113,1991-06,7.43,C
114,1991-07,11.34,C
115,1991-08,10.11,C
116,1991-09,0.01,C
117,1991-10,-10.64,C
118,1991-11,-22.69,C
119,1991-12,-27.73,C
120,1992-01,-29.33,C
121,1992-02,-28.95,C
122,1992-03,-22.93,C
123,1992-04,-17.49,C
124,1992-05,-5.8,C
125,1992-06,4.26,C
126,1992-07,10.95,C
127,1992-08,8.17,C
128,1992-09,-1.19,C
129,1992-10,-8.33,C
130,1992-11,-18.53,C
131,1992-12,-25.93,C
132,1993-01,-25.62,C
133,1993-02,-27.7,C
134,1993-03,-21.39,C
135,1993-04,-17.05,C
136,1993-05,-5.67,C
137,1993-06,4.75,C
138,1993-07,10.37,C
139,1993-08,9.2,C
140,1993-09,0.48,C
141,1993-10,-8.91,C
142,1993-11,-21.84,C
143,1993-12,-29.01,C
144,1994-01,-34.42,C
145,1994-02,-33.6,C
146,1994-03,-21.67,C
147,1994-04,-17.46,C
148,1994-05,-2.38,C
149,1994-06,8.02,C
150,1994-07,13.86,C
151,1994-08,10.55,C
152,1994-09,2.19,C
153,1994-10,-4.95,C
154,1994-11,-18.47,C
155,1994-12,-23.48,C
156,1995-01,-24.95,C
157,1995-02,-28.27,C
158,1995-03,-25.6,C
159,1995-04,-15.22,C
160,1995-05,-7.09,C
161,1995-06,7.61,C
162,1995-07,8.89,C
163,1995-08,8.91,C
164,1995-09,0.76,C
165,1995-10,-9.29,C
166,1995-11,-20.61,C
167,1995-12,-29.88,C
168,1996-01,-31.66,C
169,1996-02,-26.65,C
170,1996-03,-25.88,C
171,1996-04,-16.26,C
172,1996-05,-5.76,C
173,1996-06,9.69,C
174,1996-07,14.29,C
175,1996-08,7.54,C
176,1996-09,5.08,C
177,1996-10,-9.49,C
178,1996-11,-20.37,C
179,1996-12,-26.87,C
180,1997-01,-30.27,C
181,1997-02,-27.5,C
182,1997-03,-27.57,C
183,1997-04,-15.92,C
184,1997-05,-6.46,C
185,1997-06,5.97,C
186,1997-07,13.38,C
187,1997-08,9.68,C
188,1997-09,4.67,C
189,1997-10,-10.59,C
190,1997-11,-15.04,C
191,1997-12,-22.98,C
192,1998-01,-33.42,C
193,1998-02,-25.58,C
194,1998-03,-22.05,C
195,1998-04,-10.69,C
196,1998-05,-0.38,C
197,1998-06,8.3,C
198,1998-07,13.83,C
199,1998-08,11.34,C
200,1998-09,3.63,C
201,1998-10,-4.04,C
202,1998-11,-12.8,C
203,1998-12,-22.18,C
204,1999-01,-28.54,C
205,1999-02,-23.23,C
206,1999-03,-19.54,C
207,1999-04,-13.24,C
208,1999-05,-4.83,C
209,1999-06,6.87,C
210,1999-07,8.38,C
211,1999-08,8.73,C
212,1999-09,2.26,C
213,1999-10,-8.84,C
214,1999-11,-16.92,C
215,1999-12,-24.79,C
216,2000-01,-26.74,C
217,2000-02,-24.9,C
218,2000-03,-22.28,C
219,2000-04,-16.08,C
220,2000-05,-3.89,C
221,2000-06,7.3,C
222,2000-07,15.11,C
223,2000-08,8.95,C
224,2000-09,1.04,C
225,2000-10,-8.69,C
226,2000-11,-18.72,C
227,2000-12,-29.44,C
228,2001-01,-25.37,C
229,2001-02,-27.64,C
230,2001-03,-23.79,C
231,2001-04,-15.76,C
232,2001-05,-4.64,C
233,2001-06,3.77,C
234,2001-07,12.35,C
235,2001-08,8.48,C
236,2001-09,5.94,C
237,2001-10,-9.59,C
238,2001-11,-20.48,C
239,2001-12,-23.15,C
240,2002-01,-28.26,C
241,2002-02,-30.07,C
242,2002-03,-25.5,C
243,2002-04,-19.86,C
244,2002-05,-8.35,C
245,2002-06,7.41,C
246,2002-07,12.0,C
247,2002-08,8.12,C
248,2002-09,2.81,C
249,2002-10,-8.97,C
250,2002-11,-17.26,C
251,2002-12,-20.14,C
252,2003-01,-27.22,C
253,2003-02,-32.0,C
254,2003-03,-26.64,C
255,2003-04,-13.47,C
256,2003-05,-5.36,C
257,2003-06,5.6,C
258,2003-07,13.4,C
259,2003-08,10.25,C
260,2003-09,3.67,C
261,2003-10,-4.25,C
262,2003-11,-18.82,C
263,2003-12,-25.05,C
264,2004-01,-32.99,C
265,2004-02,-29.02,C
266,2004-03,-29.54,C
267,2004-04,-19.29,C
268,2004-05,-11.21,C
269,2004-06,5.14,C
270,2004-07,11.55,C
271,2004-08,6.43,C
272,2004-09,0.75,C
273,2004-10,-10.54,C
274,2004-11,-21.92,C
275,2004-12,-29.72,C
276,2005-01,-29.07,C
277,2005-02,-29.43,C
278,2005-03,-23.89,C
279,2005-04,-11.37,C
280,2005-05,-8.71,C
281,2005-06,4.72,C
282,2005-07,9.38,C
283,2005-08,8.7,C
284,2005-09,0.19,C
285,2005-10,-7.0,C
286,2005-11,-17.41,C
287,2005-12,-20.55,C
288,2006-01,-26.07,C
289,2006-02,-23.27,C
290,2006-03,-18.5,C
291,2006-04,-13.35,C
292,2006-05,-0.15,C
293,2006-06,10.21,C
294,2006-07,11.15,C
295,2006-08,11.27,C
296,2006-09,4.5,C
297,2006-10,-6.0,C
298,2006-11,-20.26,]
299,2006-12,, 
300,2007-01,, 
301,2007-02,, 
302,2007-03,, 
303,2007-04,-13.58,]
304,2007-05,-5.76,]
305,2007-06,5.35,]
306,2007-07,13.46,]
307,2007-08,7.47,]
308,2007-09,0.01,]
309,2007-10,-6.75,]
310,2007-11,, 
311,2007-12,-26.91,]
312,2008-01,-27.85,]
313,2008-02,, 
314,2008-03,, 
315,2008-04,-15.82,]
316,2008-05,-3.92,]
317,2008-06,6.32,]
318,2008-07,12.61,]
319,2008-08,8.71,]
320,2008-09,0.45,]
321,2008-10,-4.31,]
322,2008-11,-17.99,]
323,2008-12,-27.42,]
324,2009-01,-24.04,]
325,2009-02,-14.41,]
326,2009-03,-10.69,]
327,2009-04,2.7,]
328,2009-05,9.12,]
329,2009-06,15.3,]
330,2009-07,16.26,]
331,2009-08,12.41,]
332,2009-09,4.71,]
333,2009-10,-8.86,]
334,2009-11,-16.97,]
335,2009-12,-20.43,]
336,2010-01,-26.57,]
337,2010-02,7.66,]
338,2010-03,0.39,]
339,2010-04,-8.2,]
340,2010-05,-7.79,]
341,2010-06,6.77,]
342,2010-07,12.79,]
343,2010-08,9.97,]
344,2010-09,2.55,]
345,2010-10,-4.23,]
346,2010-11,-16.16,]
347,2010-12,-24.16,]
348,2011-01,-11.9,]
349,2011-02,2.94,]
350,2011-03,6.7,]
351,2011-04,6.85,]
352,2011-05,10.88,]
353,2011-06,14.53,]
354,2011-07,16.15,]
355,2011-08,16.53,]
356,2011-09,15.02,]
357,2011-10,-1.67,]
358,2011-11,4.35,]
359,2011-12,2.77,]
360,2012-01,-25.78,]
361,2012-02,-17.34,]
362,2012-03,5.44,]
363,2012-04,8.46,]
364,2012-05,11.68,]
365,2012-06,13.49,]
366,2012-07,16.76,]
367,2012-08,17.31,]
368,2012-09,13.92,]
369,2012-10,-3.74,]
370,2012-11,6.39,]
371,2012-12,4.02,]
372,2013-01,-27.74,]
373,2013-02,5.27,]
374,2013-03,6.68,]
375,2013-04,9.05,]
376,2013-05,12.56,]
377,2013-06,15.64,]
378,2013-07,17.83,]
379,2013-08,18.33,]
380,2013-09,15.72,]
381,2013-10,0.79,]
382,2013-11,5.85,]
383,2013-12,1.91,]
