,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1979-01,, 
1,1979-02,, 
2,1979-03,, 
3,1979-04,, 
4,1979-05,, 
5,1979-06,, 
6,1979-07,, 
7,1979-08,, 
8,1979-09,, 
9,1979-10,-10.98,C
10,1979-11,-15.37,C
11,1979-12,, 
12,1980-01,, 
13,1980-02,-23.79,C
14,1980-03,-27.21,C
15,1980-04,, 
16,1980-05,, 
17,1980-06,3.78,C
18,1980-07,6.72,C
19,1980-08,, 
20,1980-09,-2.2,C
21,1980-10,-5.79,C
22,1980-11,, 
23,1980-12,, 
24,1981-01,, 
25,1981-02,, 
26,1981-03,, 
27,1981-04,-19.25,C
28,1981-05,-4.6,C
29,1981-06,5.42,C
30,1981-07,8.17,C
31,1981-08,6.7,C
32,1981-09,, 
33,1981-10,, 
34,1981-11,, 
35,1981-12,, 
36,1982-01,, 
37,1982-02,, 
38,1982-03,-28.43,C
39,1982-04,, 
40,1982-05,, 
41,1982-06,4.08,C
42,1982-07,9.14,C
43,1982-08,5.68,C
44,1982-09,-1.01,C
45,1982-10,-9.76,C
46,1982-11,, 
47,1982-12,, 
48,1983-01,, 
49,1983-02,, 
50,1983-03,, 
51,1983-04,, 
52,1983-05,-13.48,C
53,1983-06,3.76,C
54,1983-07,, 
55,1983-08,6.36,C
56,1983-09,1.94,C
57,1983-10,, 
58,1983-11,, 
59,1983-12,, 
60,1984-01,, 
61,1984-02,, 
62,1984-03,, 
63,1984-04,, 
64,1984-05,-1.48,C
65,1984-06,6.53,C
66,1984-07,, 
67,1984-08,5.56,C
68,1984-09,-0.86,C
69,1984-10,-9.36,C
70,1984-11,-21.63,C
71,1984-12,-31.9,C
72,1985-01,-26.8,C
73,1985-02,, 
74,1985-03,-26.95,C
75,1985-04,-22.27,C
76,1985-05,-3.24,C
77,1985-06,5.56,C
78,1985-07,5.23,C
79,1985-08,5.94,C
80,1985-09,1.72,C
81,1985-10,-10.59,C
82,1985-11,-21.03,C
83,1985-12,-24.69,C
84,1986-01,-31.94,C
85,1986-02,-26.62,C
86,1986-03,-28.77,C
87,1986-04,-19.89,C
88,1986-05,-6.23,C
89,1986-06,0.3,C
90,1986-07,5.44,C
91,1986-08,4.57,C
92,1986-09,0.64,C
93,1986-10,-11.35,C
94,1986-11,-24.8,C
95,1986-12,-26.03,C
96,1987-01,-27.22,C
97,1987-02,-28.27,C
98,1987-03,-27.08,C
99,1987-04,-20.25,C
100,1987-05,-10.19,C
101,1987-06,2.23,C
102,1987-07,9.88,C
103,1987-08,5.35,C
104,1987-09,0.52,C
105,1987-10,-5.38,C
106,1987-11,-21.83,C
107,1987-12,-16.89,C
108,1988-01,-26.66,C
109,1988-02,-27.74,C
110,1988-03,-21.93,C
111,1988-04,-14.19,C
