,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1957-01,, 
1,1957-02,, 
2,1957-03,, 
3,1957-04,, 
4,1957-05,, 
5,1957-06,0.4,_
6,1957-07,4.1,_
7,1957-08,8.14,_
8,1957-09,2.75,_
9,1957-10,-6.64,_
10,1957-11,-21.05,_
11,1957-12,, 
12,1958-01,, 
13,1958-02,, 
14,1958-03,, 
15,1958-04,, 
16,1958-05,-7.75,_
17,1958-06,1.25,_
18,1958-07,5.8,_
19,1958-08,7.3,_
20,1958-09,3.25,_
21,1958-10,-5.89,_
22,1958-11,-19.04,_
23,1958-12,, 
24,1959-01,, 
25,1959-02,-27.15,_
26,1959-03,-29.4,_
27,1959-04,-19.2,_
28,1959-05,-11.25,_
29,1959-06,-1.0,_
30,1959-07,4.79,_
31,1959-08,3.05,_
32,1959-09,0.0,_
33,1959-10,-9.8,_
34,1959-11,-19.85,_
35,1959-12,-22.8,_
36,1960-01,, 
37,1960-02,, 
38,1960-03,-29.55,_
39,1960-04,-19.5,_
40,1960-05,-5.75,_
41,1960-06,4.19,_
42,1960-07,6.25,_
43,1960-08,6.95,_
44,1960-09,1.3,_
45,1960-10,-8.29,_
46,1960-11,-22.9,_
47,1960-12,-23.3,_
48,1961-01,, 
49,1961-02,-29.95,_
50,1961-03,, 
51,1961-04,-21.0,_
52,1961-05,-7.7,_
53,1961-06,5.1,_
54,1961-07,7.7,_
55,1961-08,7.1,_
56,1961-09,-0.79,_
57,1961-10,-11.3,_
58,1961-11,-20.45,_
59,1961-12,, 
60,1962-01,, 
61,1962-02,, 
62,1962-03,-27.25,_
63,1962-04,-18.7,_
64,1962-05,-12.4,_
65,1962-06,4.65,_
66,1962-07,6.85,_
67,1962-08,8.7,_
68,1962-09,2.5,_
69,1962-10,-4.0,_
70,1962-11,-20.4,_
71,1962-12,-23.25,_
72,1963-01,, 
73,1963-02,-29.09,_
74,1963-03,-30.34,_
75,1963-04,-15.9,_
76,1963-05,-4.95,_
77,1963-06,2.75,_
78,1963-07,7.45,_
79,1963-08,8.1,_
80,1963-09,1.15,_
81,1963-10,-6.85,_
82,1963-11,-19.65,_
83,1963-12,-21.25,_
84,1964-01,, 
85,1964-02,, 
86,1964-03,, 
87,1964-04,-23.05,_
88,1964-05,-6.2,_
89,1964-06,1.05,_
90,1964-07,5.1,_
91,1964-08,5.9,_
92,1964-09,0.25,_
93,1964-10,-5.8,_
94,1964-11,-16.95,_
95,1964-12,, 
96,1965-01,, 
97,1965-02,-35.45,_
98,1965-03,-24.75,_
99,1965-04,-17.25,_
100,1965-05,-7.8,_
101,1965-06,-0.04,_
102,1965-07,6.3,_
103,1965-08,5.95,_
104,1965-09,-1.04,_
105,1965-10,-8.25,_
106,1965-11,-21.3,_
107,1965-12,-25.7,_
108,1966-01,-33.34,_
109,1966-02,-30.59,_
110,1966-03,-25.65,_
111,1966-04,-22.6,_
112,1966-05,-3.75,_
113,1966-06,4.25,_
114,1966-07,8.75,_
115,1966-08,6.9,_
116,1966-09,3.5,_
117,1966-10,-9.2,_
118,1966-11,-20.45,_
119,1966-12,-24.8,_
120,1967-01,-30.8,_
121,1967-02,, 
122,1967-03,-27.15,_
123,1967-04,-18.5,_
124,1967-05,-6.9,_
125,1967-06,0.2,_
126,1967-07,6.0,_
127,1967-08,3.3,_
128,1967-09,0.09,_
129,1967-10,-6.15,_
130,1967-11,-19.25,_
131,1967-12,-21.65,_
132,1968-01,-32.5,_
133,1968-02,-28.95,_
134,1968-03,-24.05,_
135,1968-04,-20.1,_
136,1968-05,-6.95,_
137,1968-06,4.1,_
138,1968-07,8.1,_
139,1968-08,7.0,_
140,1968-09,2.25,_
141,1968-10,-5.1,_
142,1968-11,-17.5,_
143,1968-12,-25.5,_
144,1969-01,-32.3,_
145,1969-02,-28.75,_
146,1969-03,-27.0,_
147,1969-04,-16.84,_
148,1969-05,-7.05,_
149,1969-06,0.79,_
150,1969-07,6.05,_
151,1969-08,6.0,_
152,1969-09,2.75,_
153,1969-10,-2.4,_
154,1969-11,-18.95,_
155,1969-12,-19.6,_
156,1970-01,-27.95,_
157,1970-02,-31.5,_
158,1970-03,-26.7,_
159,1970-04,-20.29,_
160,1970-05,-9.39,_
161,1970-06,3.5,_
162,1970-07,8.0,_
163,1970-08,7.05,_
164,1970-09,0.1,_
165,1970-10,-7.4,_
166,1970-11,-18.5,_
167,1970-12,-30.0,_
168,1971-01,-30.4,_
169,1971-02,-31.3,_
170,1971-03,-25.0,_
171,1971-04,-19.35,_
172,1971-05,-5.5,_
173,1971-06,4.25,_
174,1971-07,7.9,_
175,1971-08,6.85,_
176,1971-09,2.7,_
177,1971-10,, 
178,1971-11,-22.3,_
179,1971-12,-27.59,_
180,1972-01,-31.3,_
181,1972-02,-33.0,_
182,1972-03,-25.65,_
183,1972-04,-23.59,_
184,1972-05,-9.14,_
185,1972-06,1.0,_
186,1972-07,4.89,_
187,1972-08,4.7,_
188,1972-09,-1.4,_
189,1972-10,-9.85,_
190,1972-11,-20.5,_
191,1972-12,-25.15,_
192,1973-01,-27.25,_
193,1973-02,-30.0,_
194,1973-03,-32.4,_
195,1973-04,-19.2,_
196,1973-05,-4.6,_
197,1973-06,4.95,_
198,1973-07,8.84,_
199,1973-08,8.1,_
200,1973-09,4.5,_
201,1973-10,-4.1,_
202,1973-11,-17.29,_
203,1973-12,-23.25,_
204,1974-01,-29.45,_
205,1974-02,-32.9,_
206,1974-03,-29.75,_
207,1974-04,-23.34,_
208,1974-05,-7.14,_
209,1974-06,1.39,_
210,1974-07,7.2,_
211,1974-08,3.45,_
212,1974-09,-1.2,_
213,1974-10,-14.2,_
214,1974-11,-21.25,_
215,1974-12,-31.5,_
216,1975-01,-35.2,_
217,1975-02,-29.25,_
218,1975-03,-28.9,_
219,1975-04,-14.15,_
220,1975-05,-4.05,_
221,1975-06,5.7,_
222,1975-07,5.85,_
223,1975-08,8.25,_
224,1975-09,1.75,_
225,1975-10,-9.0,_
226,1975-11,-22.75,_
227,1975-12,-29.2,_
228,1976-01,-30.9,_
229,1976-02,-31.35,_
230,1976-03,-29.15,_
231,1976-04,-15.15,_
232,1976-05,-6.45,_
233,1976-06,2.69,_
234,1976-07,7.9,_
235,1976-08,6.7,_
236,1976-09,2.25,_
237,1976-10,-6.35,_
238,1976-11,-17.35,_
239,1976-12,-29.05,_
240,1977-01,-27.25,_
241,1977-02,-29.9,_
242,1977-03,-27.7,_
243,1977-04,-16.65,_
244,1977-05,-4.94,_
245,1977-06,4.6,_
246,1977-07,7.65,_
247,1977-08,8.25,_
248,1977-09,3.8,_
249,1977-10,-5.8,_
250,1977-11,-18.79,_
251,1977-12,-28.45,_
252,1978-01,-26.34,_
253,1978-02,-22.2,_
254,1978-03,-27.5,_
255,1978-04,-19.45,_
256,1978-05,-11.55,_
257,1978-06,-0.94,_
258,1978-07,4.9,_
259,1978-08,5.0,_
260,1978-09,2.34,_
261,1978-10,-13.25,_
262,1978-11,-19.95,_
263,1978-12,-25.3,_
264,1979-01,-26.09,_
265,1979-02,-33.0,_
266,1979-03,-31.95,_
267,1979-04,-20.0,_
268,1979-05,-8.39,_
269,1979-06,0.94,_
270,1979-07,6.55,_
271,1979-08,5.55,_
272,1979-09,0.09,_
273,1979-10,-8.35,_
274,1979-11,-13.79,_
275,1979-12,-26.1,_
276,1980-01,-30.35,_
277,1980-02,-23.75,_
278,1980-03,-27.0,_
279,1980-04,-20.2,_
280,1980-05,-6.1,_
281,1980-06,1.75,_
282,1980-07,4.85,_
283,1980-08,6.8,_
284,1980-09,-0.35,_
285,1980-10,-4.44,_
286,1980-11,-18.4,_
287,1980-12,-28.3,_
288,1981-01,-18.45,_
289,1981-02,-27.1,_
290,1981-03,-26.7,_
291,1981-04,-21.15,_
292,1981-05,-4.5,_
293,1981-06,3.75,_
294,1981-07,8.25,_
295,1981-08,8.8,_
296,1981-09,2.05,_
297,1981-10,-7.1,_
298,1981-11,-18.2,_
299,1981-12,-21.15,_
300,1982-01,-32.25,_
301,1982-02,-27.55,_
302,1982-03,-27.7,_
303,1982-04,-21.2,_
304,1982-05,-8.6,_
305,1982-06,1.8,_
306,1982-07,7.4,_
307,1982-08,6.35,_
308,1982-09,0.6,_
309,1982-10,-8.1,_
310,1982-11,-25.15,_
311,1982-12,-30.3,_
312,1983-01,-30.59,_
313,1983-02,-34.4,_
314,1983-03,-29.4,_
315,1983-04,-21.15,_
316,1983-05,-14.35,_
317,1983-06,3.55,_
318,1983-07,6.55,_
319,1983-08,6.95,_
320,1983-09,2.8,_
321,1983-10,-8.39,_
322,1983-11,-13.2,_
323,1983-12,-21.7,_
324,1984-01,, 
325,1984-02,-28.3,_
326,1984-03,-26.95,_
327,1984-04,-15.25,_
328,1984-05,-2.6,_
329,1984-06,4.69,_
330,1984-07,7.4,_
331,1984-08,6.95,_
332,1984-09,0.6,_
333,1984-10,-6.75,_
334,1984-11,-21.6,_
335,1984-12,-30.7,_
336,1985-01,-26.34,_
337,1985-02,, 
338,1985-03,-27.95,_
339,1985-04,-23.15,_
340,1985-05,-3.7,_
341,1985-06,3.8,_
342,1985-07,3.6,_
343,1985-08,4.69,_
344,1985-09,2.5,_
345,1985-10,-8.95,_
346,1985-11,-21.0,_
347,1985-12,-24.35,_
348,1986-01,, 
349,1986-02,-26.45,_
350,1986-03,-28.6,_
351,1986-04,-20.75,_
352,1986-05,-7.65,_
353,1986-06,-0.2,_
354,1986-07,5.2,_
355,1986-08,4.25,_
356,1986-09,1.9,_
357,1986-10,-7.95,_
358,1986-11,-23.7,_
359,1986-12,-27.0,_
360,1987-01,-25.25,_
361,1987-02,-27.05,_
362,1987-03,-25.9,_
363,1987-04,-21.0,_
364,1987-05,-11.05,_
365,1987-06,0.65,_
366,1987-07,6.15,_
367,1987-08,5.6,_
368,1987-09,2.9,_
369,1987-10,-5.35,_
370,1987-11,-19.5,_
371,1987-12,-18.75,_
372,1988-01,-25.7,_
373,1988-02,-27.65,_
374,1988-03,-22.3,_
375,1988-04,-15.25,_
376,1988-05,-9.25,_
377,1988-06,5.3,_
378,1988-07,10.25,_
379,1988-08,9.85,_
380,1988-09,3.15,_
381,1988-10,-6.7,_
382,1988-11,-23.1,_
383,1988-12,-25.8,_
384,1989-01,-29.5,_
385,1989-02,-19.1,_
386,1989-03,-27.34,_
387,1989-04,-14.95,_
388,1989-05,-10.2,_
389,1989-06,5.95,_
390,1989-07,10.65,_
391,1989-08,10.7,_
392,1989-09,1.59,_
393,1989-10,-6.6,_
394,1989-11,-25.25,_
395,1989-12,-27.75,_
396,1990-01,-30.29,]
397,1990-02,-34.91,]
398,1990-03,-22.52,]
399,1990-04,-14.7,]
400,1990-05,-7.46,]
401,1990-06,2.62,]
402,1990-07,7.49,]
403,1990-08,4.26,]
404,1990-09,1.8,]
405,1990-10,-8.78,]
406,1990-11,-22.4,]
407,1990-12,-29.27,]
408,1991-01,-29.24,]
409,1991-02,-31.91,]
410,1991-03,-28.89,]
411,1991-04,-17.88,]
412,1991-05,-4.23,]
413,1991-06,, 
414,1991-07,4.96,]
415,1991-08,6.1,]
416,1991-09,-0.05,]
417,1991-10,, 
418,1991-11,, 
419,1991-12,-27.32,]
420,1992-01,-30.21,]
421,1992-02,-29.35,]
422,1992-03,-21.35,]
423,1992-04,, 
424,1992-05,-6.42,]
425,1992-06,3.33,]
426,1992-07,8.06,]
427,1992-08,7.99,]
428,1992-09,, 
429,1992-10,-7.77,]
430,1992-11,-18.58,]
431,1992-12,-21.99,]
432,1993-01,-24.76,]
433,1993-02,-27.45,]
434,1993-03,-22.21,]
435,1993-04,-19.72,]
436,1993-05,-5.7,]
437,1993-06,6.21,]
438,1993-07,10.58,]
439,1993-08,10.58,]
440,1993-09,2.03,]
441,1993-10,-4.68,]
442,1993-11,-18.83,]
443,1993-12,-27.16,]
