,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1959-01,-5.56,E
1,1959-02,, 
2,1959-03,, 
3,1959-04,, 
4,1959-05,9.34,E
5,1959-06,14.24,E
6,1959-07,16.58,E
7,1959-08,16.25,E
8,1959-09,8.78,E
9,1959-10,4.62,E
10,1959-11,0.99,E
11,1959-12,-5.56,E
12,1960-01,-10.25,E
13,1960-02,-10.03,E
14,1960-03,-5.04,E
15,1960-04,1.71,E
16,1960-05,9.93,E
17,1960-06,15.18,E
18,1960-07,16.91,E
19,1960-08,14.58,E
20,1960-09,10.19,E
21,1960-10,3.06,E
22,1960-11,-0.68,E
23,1960-12,-0.68,E
24,1961-01,-4.81,E
25,1961-02,-0.94,E
26,1961-03,-0.06,E
27,1961-04,2.02,E
28,1961-05,9.21,E
29,1961-06,15.85,E
30,1961-07,14.9,E
31,1961-08,13.64,E
32,1961-09,9.63,E
33,1961-10,8.54,E
34,1961-11,1.34,E
35,1961-12,-5.75,E
36,1962-01,-4.71,E
37,1962-02,-5.82,E
38,1962-03,-9.12,E
39,1962-04,3.79,E
40,1962-05,8.09,E
41,1962-06,11.53,E
42,1962-07,14.47,E
43,1962-08,12.75,E
44,1962-09,9.17,E
45,1962-10,6.39,E
46,1962-11,1.0,E
47,1962-12,-7.05,E
48,1963-01,-10.57,E
49,1963-02,-12.05,E
50,1963-03,-9.15,E
51,1963-04,2.51,E
52,1963-05,12.43,E
53,1963-06,13.58,E
54,1963-07,16.4,E
55,1963-08,16.03,E
56,1963-09,12.05,E
57,1963-10,4.94,E
58,1963-11,-0.94,E
59,1963-12,-4.58,E
60,1964-01,-3.2,E
61,1964-02,-10.11,E
62,1964-03,-6.18,E
63,1964-04,2.82,E
64,1964-05,8.77,E
65,1964-06,13.66,E
66,1964-07,15.2,E
67,1964-08,14.05,E
68,1964-09,9.74,E
69,1964-10,6.69,E
70,1964-11,-0.85,E
71,1964-12,-2.92,E
72,1965-01,-3.64,E
73,1965-02,-8.34,E
74,1965-03,-4.07,E
75,1965-04,3.15,E
76,1965-05,6.24,E
77,1965-06,14.25,E
78,1965-07,13.47,E
79,1965-08,13.63,E
80,1965-09,12.12,E
81,1965-10,5.35,E
82,1965-11,-5.02,E
83,1965-12,-4.57,E
84,1966-01,-14.03,E
85,1966-02,-14.07,E
86,1966-03,-3.1,E
87,1966-04,0.05,E
88,1966-05,8.74,E
89,1966-06,15.66,E
90,1966-07,16.89,E
