,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1959-01,, 
1,1959-02,, 
2,1959-03,, 
3,1959-04,, 
4,1959-05,1.76,k
5,1959-06,7.37,k
6,1959-07,10.62,k
7,1959-08,10.1,k
8,1959-09,4.05,k
9,1959-10,-0.02,k
10,1959-11,-6.1,k
11,1959-12,-10.04,k
12,1960-01,-15.47,k
13,1960-02,-16.38,k
14,1960-03,-5.77,k
15,1960-04,-1.46,k
16,1960-05,4.49,k
17,1960-06,8.39,k
18,1960-07,14.05,k
19,1960-08,11.26,k
20,1960-09,6.54,k
21,1960-10,-3.96,k
22,1960-11,, 
23,1960-12,-12.55,k
24,1961-01,-12.58,k
25,1961-02,-10.48,k
26,1961-03,-9.22,k
27,1961-04,-8.19,k
28,1961-05,1.22,k
29,1961-06,8.27,k
30,1961-07,12.58,k
31,1961-08,10.59,k
32,1961-09,5.96,k
33,1961-10,3.67,k
34,1961-11,-4.31,k
35,1961-12,-16.2,k
36,1962-01,-14.5,k
37,1962-02,-12.14,k
38,1962-03,-18.19,k
39,1962-04,-2.58,k
40,1962-05,0.91,k
41,1962-06,6.16,k
42,1962-07,8.68,k
43,1962-08,8.3,k
44,1962-09,4.75,k
45,1962-10,-0.14,k
46,1962-11,-5.37,k
47,1962-12,-16.55,k
48,1963-01,-12.55,k
49,1963-02,-14.66,k
50,1963-03,-12.42,k
51,1963-04,-3.39,k
52,1963-05,6.71,k
53,1963-06,7.14,k
54,1963-07,9.22,k
55,1963-08,10.64,k
56,1963-09,7.05,k
57,1963-10,0.31,k
58,1963-11,-8.17,k
59,1963-12,-9.97,k
60,1964-01,-5.23,k
61,1964-02,-14.48,k
62,1964-03,-10.83,k
63,1964-04,-5.65,k
64,1964-05,2.05,k
65,1964-06,6.23,k
66,1964-07,10.57,k
67,1964-08,8.49,k
68,1964-09,2.84,k
69,1964-10,2.05,k
70,1964-11,-7.46,k
71,1964-12,-9.56,k
72,1965-01,-14.76,k
73,1965-02,-10.65,k
74,1965-03,-12.63,k
75,1965-04,-4.09,k
76,1965-05,-1.8,k
77,1965-06,6.24,k
78,1965-07,7.89,k
79,1965-08,8.34,k
80,1965-09,6.19,k
81,1965-10,-0.94,k
82,1965-11,-10.8,k
83,1965-12,-16.67,k
84,1966-01,-18.37,k
85,1966-02,-22.79,k
86,1966-03,-15.81,k
87,1966-04,-8.36,k
88,1966-05,0.16,k
89,1966-06,8.39,k
90,1966-07,11.36,k
91,1966-08,8.29,k
92,1966-09,1.2,k
93,1966-10,-4.16,k
94,1966-11,-5.0,k
95,1966-12,-10.41,k
96,1967-01,-18.64,k
97,1967-02,-13.15,k
98,1967-03,-6.75,k
99,1967-04,-4.56,k
100,1967-05,1.29,k
101,1967-06,6.45,k
102,1967-07,9.93,k
103,1967-08,10.18,k
104,1967-09,7.22,k
105,1967-10,-1.88,k
106,1967-11,-2.89,k
107,1967-12,-18.11,k
108,1968-01,-20.06,k
109,1968-02,-15.38,k
110,1968-03,-11.02,k
111,1968-04,-3.76,k
112,1968-05,-2.26,k
113,1968-06,6.85,k
114,1968-07,8.62,k
115,1968-08,7.81,k
116,1968-09,3.76,k
117,1968-10,-7.62,k
118,1968-11,-5.22,k
119,1968-12,-6.33,k
120,1969-01,-16.01,k
121,1969-02,-17.7,k
122,1969-03,-11.19,k
123,1969-04,-6.54,k
124,1969-05,-0.93,k
125,1969-06,8.25,k
126,1969-07,11.56,k
127,1969-08,12.02,k
128,1969-09,4.63,k
129,1969-10,0.09,k
130,1969-11,-9.35,k
131,1969-12,-12.7,k
132,1970-01,-13.59,k
133,1970-02,-20.48,k
134,1970-03,-9.21,k
135,1970-04,-7.68,k
136,1970-05,1.95,k
137,1970-06,10.31,k
138,1970-07,12.3,k
139,1970-08,10.39,k
140,1970-09,4.71,k
141,1970-10,-0.26,k
142,1970-11,-9.85,k
143,1970-12,-9.12,k
144,1971-01,-13.01,k
145,1971-02,-14.24,k
146,1971-03,-14.64,k
147,1971-04,-6.94,k
148,1971-05,-0.33,k
149,1971-06,7.94,k
150,1971-07,9.25,k
151,1971-08,9.66,k
152,1971-09,4.22,k
153,1971-10,-1.82,k
154,1971-11,-11.75,k
155,1971-12,-8.19,k
156,1972-01,-10.01,k
157,1972-02,-12.39,k
158,1972-03,-7.74,k
159,1972-04,-4.72,k
160,1972-05,1.06,k
161,1972-06,10.08,k
162,1972-07,13.4,k
163,1972-08,10.46,k
164,1972-09,4.59,k
