,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1951-01,-8.8,""""
1,1951-02,-7.1,""""
2,1951-03,-6.1,""""
3,1951-04,2.1,""""
4,1951-05,5.3,""""
5,1951-06,12.0,""""
6,1951-07,14.0,""""
7,1951-08,16.8,""""
8,1951-09,11.6,""""
9,1951-10,7.5,""""
10,1951-11,-1.4,""""
11,1951-12,-1.3,""""
12,1952-01,-3.4,""""
13,1952-02,-3.6,""""
14,1952-03,-7.1,""""
15,1952-04,3.6,""""
16,1952-05,6.6,""""
17,1952-06,12.8,""""
18,1952-07,15.2,""""
19,1952-08,13.1,""""
20,1952-09,7.8,""""
21,1952-10,0.3,""""
22,1952-11,-3.1,""""
23,1952-12,-4.19,""""
24,1953-01,-6.6,""""
25,1953-02,-9.8,""""
26,1953-03,-0.5,""""
27,1953-04,4.1,""""
28,1953-05,8.0,""""
29,1953-06,16.6,""""
30,1953-07,15.7,""""
31,1953-08,14.4,""""
32,1953-09,9.2,""""
33,1953-10,6.5,""""
34,1953-11,1.9,""""
35,1953-12,0.3,""""
36,1954-01,-6.3,""""
37,1954-02,-9.89,""""
38,1954-03,-1.2,""""
39,1954-04,0.7,""""
40,1954-05,9.7,""""
41,1954-06,12.6,""""
42,1954-07,16.1,""""
43,1954-08,15.0,""""
44,1954-09,10.5,""""
45,1954-10,3.7,""""
46,1954-11,-1.4,""""
47,1954-12,-0.2,""""
48,1955-01,-5.4,""""
49,1955-02,-9.89,""""
50,1955-03,-5.6,""""
51,1955-04,-2.09,""""
52,1955-05,5.0,""""
53,1955-06,11.3,""""
54,1955-07,17.2,""""
55,1955-08,16.6,""""
56,1955-09,12.1,""""
57,1955-10,4.1,""""
58,1955-11,-1.8,""""
59,1955-12,-11.2,""""
60,1956-01,-9.7,""""
61,1956-02,-12.4,""""
62,1956-03,-3.5,""""
63,1956-04,-1.1,""""
64,1956-05,8.2,""""
65,1956-06,13.6,""""
66,1956-07,15.2,""""
67,1956-08,12.3,""""
68,1956-09,9.1,""""
69,1956-10,3.5,""""
70,1956-11,-5.0,""""
71,1956-12,-3.0,""""
72,1957-01,-2.8,""""
73,1957-02,-4.8,""""
74,1957-03,-6.8,""""
75,1957-04,0.4,""""
76,1957-05,6.8,""""
77,1957-06,11.2,""""
78,1957-07,16.9,""""
79,1957-08,14.1,""""
80,1957-09,8.6,""""
81,1957-10,4.3,""""
82,1957-11,0.6,""""
83,1957-12,-3.2,""""
84,1958-01,-10.5,""""
85,1958-02,-11.4,""""
86,1958-03,-8.2,""""
87,1958-04,-0.1,""""
88,1958-05,6.8,""""
89,1958-06,12.7,""""
90,1958-07,14.4,""""
91,1958-08,13.9,""""
92,1958-09,10.1,""""
93,1958-10,5.5,""""
94,1958-11,2.9,""""
95,1958-12,-7.7,""""
96,1959-01,-8.7,""""
97,1959-02,-2.09,""""
98,1959-03,0.5,""""
99,1959-04,3.4,""""
100,1959-05,8.3,""""
101,1959-06,14.0,""""
102,1959-07,16.4,""""
103,1959-08,15.1,""""
104,1959-09,8.4,""""
105,1959-10,3.9,""""
106,1959-11,0.0,""""
107,1959-12,-5.9,""""
108,1960-01,-8.1,""""
109,1960-02,-9.1,""""
110,1960-03,-3.7,""""
111,1960-04,2.1,""""
112,1960-05,9.9,""""
113,1960-06,15.0,""""
114,1960-07,17.1,""""
115,1960-08,14.4,""""
116,1960-09,9.5,""""
117,1960-10,1.1,""""
118,1960-11,-1.9,""""
119,1960-12,-2.7,""""
120,1961-01,-5.2,""""
121,1961-02,-2.09,""""
122,1961-03,-0.2,""""
123,1961-04,1.6,""""
124,1961-05,7.5,""""
125,1961-06,15.7,""""
126,1961-07,15.5,""""
127,1961-08,13.4,""""
128,1961-09,9.4,""""
129,1961-10,8.5,""""
130,1961-11,2.2,""""
131,1961-12,-6.1,""""
132,1962-01,-4.8,""""
133,1962-02,-5.9,""""
134,1962-03,-10.3,""""
135,1962-04,2.4,""""
136,1962-05,7.3,""""
137,1962-06,11.2,""""
138,1962-07,13.5,""""
139,1962-08,11.9,""""
140,1962-09,8.5,""""
141,1962-10,6.3,""""
142,1962-11,0.5,""""
143,1962-12,-8.89,""""
144,1963-01,-8.89,""""
145,1963-02,-11.5,""""
146,1963-03,-8.6,""""
147,1963-04,1.8,""""
148,1963-05,11.4,""""
149,1963-06,12.3,""""
150,1963-07,15.2,""""
151,1963-08,14.9,""""
152,1963-09,11.4,""""
153,1963-10,5.4,""""
154,1963-11,-0.7,""""
155,1963-12,-3.6,""""
156,1964-01,-1.9,""""
157,1964-02,-8.89,""""
158,1964-03,-5.0,""""
159,1964-04,2.0,""""
160,1964-05,8.2,""""
161,1964-06,11.9,""""
162,1964-07,14.8,""""
163,1964-08,13.3,""""
164,1964-09,8.5,""""
165,1964-10,6.8,""""
166,1964-11,-0.8,""""
167,1964-12,-4.1,""""
168,1965-01,-4.69,""""
169,1965-02,-7.0,""""
170,1965-03,-4.5,""""
171,1965-04,2.4,""""
172,1965-05,5.4,""""
173,1965-06,13.2,""""
174,1965-07,14.2,""""
175,1965-08,13.2,""""
176,1965-09,11.0,""""
177,1965-10,5.2,""""
178,1965-11,-5.9,""""
179,1965-12,-7.8,""""
180,1966-01,-14.8,""""
181,1966-02,-18.2,""""
182,1966-03,-7.0,""""
183,1966-04,-1.7,""""
184,1966-05,8.0,""""
185,1966-06,16.2,""""
186,1966-07,16.3,""""
187,1966-08,13.6,""""
188,1966-09,7.9,""""
189,1966-10,3.8,""""
190,1966-11,1.3,""""
191,1966-12,-4.69,""""
192,1967-01,-11.7,""""
193,1967-02,-5.2,""""
194,1967-03,0.3,""""
195,1967-04,2.2,""""
196,1967-05,7.9,""""
197,1967-06,12.4,""""
198,1967-07,15.8,""""
199,1967-08,14.9,""""
200,1967-09,10.7,""""
201,1967-10,6.1,""""
202,1967-11,3.1,""""
203,1967-12,-11.9,""""
204,1968-01,-15.1,""""
205,1968-02,-8.8,""""
206,1968-03,-2.9,""""
207,1968-04,2.7,""""
208,1968-05,5.9,""""
209,1968-06,14.9,""""
210,1968-07,15.0,""""
211,1968-08,14.2,""""
212,1968-09,9.1,""""
213,1968-10,0.5,""""
214,1968-11,-2.8,""""
215,1968-12,-1.9,""""
216,1969-01,-8.6,""""
217,1969-02,-11.8,""""
218,1969-03,-7.8,""""
219,1969-04,1.5,""""
220,1969-05,7.0,""""
221,1969-06,14.0,""""
222,1969-07,16.1,""""
223,1969-08,16.2,""""
224,1969-09,8.8,""""
225,1969-10,4.9,""""
226,1969-11,-1.7,""""
227,1969-12,-7.4,""""
228,1970-01,-9.2,""""
229,1970-02,-14.4,""""
230,1970-03,-3.2,""""
231,1970-04,0.3,""""
232,1970-05,7.9,""""
233,1970-06,15.3,""""
234,1970-07,15.9,""""
235,1970-08,14.6,""""
236,1970-09,9.2,""""
237,1970-10,4.1,""""
238,1970-11,-2.6,""""
239,1970-12,-2.6,""""
240,1971-01,-2.8,""""
241,1971-02,-7.3,""""
242,1971-03,-7.3,""""
243,1971-04,-0.1,""""
244,1971-05,7.8,""""
245,1971-06,13.2,""""
246,1971-07,15.7,""""
247,1971-08,14.2,""""
248,1971-09,8.2,""""
249,1971-10,3.7,""""
250,1971-11,-3.2,""""
251,1971-12,-2.7,""""
252,1972-01,-7.2,""""
253,1972-02,-5.9,""""
254,1972-03,-3.6,""""
255,1972-04,1.3,""""
256,1972-05,7.5,""""
257,1972-06,15.8,""""
258,1972-07,18.6,""""
259,1972-08,15.0,""""
260,1972-09,9.1,""""
261,1972-10,4.4,""""
262,1972-11,-0.2,""""
263,1972-12,1.6,""""
264,1973-01,-1.6,""""
265,1973-02,-4.1,""""
266,1973-03,-0.6,""""
267,1973-04,1.6,""""
268,1973-05,8.6,""""
269,1973-06,14.9,""""
270,1973-07,19.0,""""
271,1973-08,13.7,""""
272,1973-09,6.3,""""
273,1973-10,1.2,""""
274,1973-11,-4.0,""""
275,1973-12,-9.6,""""
276,1974-01,-2.9,""""
277,1974-02,-1.3,""""
278,1974-03,-2.5,""""
279,1974-04,2.1,""""
280,1974-05,6.9,""""
281,1974-06,14.4,""""
282,1974-07,15.1,""""
283,1974-08,13.9,""""
284,1974-09,11.6,""""
285,1974-10,3.5,""""
286,1974-11,0.0,""""
287,1974-12,-0.3,""""
288,1975-01,-1.9,""""
289,1975-02,-2.6,""""
290,1975-03,0.1,""""
291,1975-04,2.7,""""
292,1975-05,9.3,""""
293,1975-06,12.0,""""
294,1975-07,15.4,""""
295,1975-08,14.2,""""
296,1975-09,11.5,""""
297,1975-10,4.7,""""
298,1975-11,1.2,""""
299,1975-12,-3.0,""""
300,1976-01,-10.8,""""
301,1976-02,-5.5,""""
302,1976-03,-7.3,""""
303,1976-04,1.2,""""
304,1976-05,10.0,""""
305,1976-06,12.0,""""
306,1976-07,14.2,""""
307,1976-08,14.4,""""
308,1976-09,6.5,""""
309,1976-10,0.7,""""
310,1976-11,-0.6,""""
311,1976-12,-5.3,""""
312,1977-01,-5.3,""""
313,1977-02,-9.2,""""
314,1977-03,-2.5,""""
315,1977-04,-0.1,""""
316,1977-05,6.9,""""
317,1977-06,13.2,""""
318,1977-07,14.3,""""
319,1977-08,13.4,""""
320,1977-09,8.1,""""
321,1977-10,4.4,""""
322,1977-11,0.6,""""
323,1977-12,-5.0,""""
324,1978-01,-5.8,""""
325,1978-02,-12.7,""""
326,1978-03,-3.6,""""
327,1978-04,0.6,""""
328,1978-05,9.1,""""
329,1978-06,13.5,""""
330,1978-07,14.5,""""
331,1978-08,13.1,""""
332,1978-09,8.1,""""
333,1978-10,3.7,""""
334,1978-11,0.4,""""
335,1978-12,-12.5,""""
336,1979-01,-10.9,""""
337,1979-02,-10.6,""""
338,1979-03,-1.8,""""
339,1979-04,1.2,""""
340,1979-05,9.0,""""
341,1979-06,14.8,""""
342,1979-07,15.6,""""
343,1979-08,15.2,""""
344,1979-09,9.2,""""
345,1979-10,2.8,""""
346,1979-11,0.0,""""
347,1979-12,-4.5,""""
348,1980-01,-8.5,""""
349,1980-02,-9.8,""""
350,1980-03,-7.1,""""
351,1980-04,3.1,""""
352,1980-05,7.2,""""
353,1980-06,15.9,""""
354,1980-07,16.7,""""
355,1980-08,14.0,""""
356,1980-09,10.2,""""
357,1980-10,3.8,""""
358,1980-11,-4.69,""""
359,1980-12,, 
360,1981-01,-5.8,""""
361,1981-02,-7.9,""""
362,1981-03,-8.3,""""
363,1981-04,0.8,""""
364,1981-05,9.9,""""
365,1981-06,12.1,""""
366,1981-07,16.1,""""
367,1981-08,13.1,""""
368,1981-09,8.9,""""
369,1981-10,4.5,""""
370,1981-11,-1.3,""""
371,1981-12,-10.0,""""
372,1982-01,-12.6,""""
373,1982-02,-6.7,""""
374,1982-03,-0.7,""""
