,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1974-01,5.24,]
1,1974-02,, 
2,1974-03,, 
3,1974-04,, 
4,1974-05,, 
5,1974-06,, 
6,1974-07,, 
7,1974-08,, 
8,1974-09,, 
9,1974-10,6.35,]
10,1974-11,, 
11,1974-12,4.22,]
12,1975-01,3.73,]
13,1975-02,, 
14,1975-03,3.0,]
15,1975-04,, 
16,1975-05,, 
17,1975-06,, 
18,1975-07,, 
19,1975-08,, 
20,1975-09,, 
21,1975-10,, 
22,1975-11,5.28,]
23,1975-12,3.8,]
24,1976-01,2.65,]
25,1976-02,3.63,]
26,1976-03,, 
27,1976-04,4.83,]
28,1976-05,, 
29,1976-06,8.94,]
30,1976-07,, 
31,1976-08,10.88,]
32,1976-09,8.05,]
33,1976-10,8.38,]
34,1976-11,6.36,]
35,1976-12,3.2,]
36,1977-01,3.04,]
37,1977-02,, 
38,1977-03,, 
39,1977-04,3.41,]
40,1977-05,5.59,]
41,1977-06,, 
42,1977-07,9.44,]
43,1977-08,, 
44,1977-09,7.77,]
45,1977-10,7.81,]
46,1977-11,4.5,]
47,1977-12,5.13,]
48,1978-01,, 
49,1978-02,, 
50,1978-03,4.86,]
51,1978-04,, 
52,1978-05,, 
53,1978-06,7.89,]
54,1978-07,8.71,]
55,1978-08,9.29,]
56,1978-09,, 
57,1978-10,, 
58,1978-11,4.01,]
59,1978-12,3.85,]
60,1979-01,, 
61,1979-02,2.19,]
62,1979-03,1.8,]
63,1979-04,4.31,]
64,1979-05,, 
65,1979-06,, 
66,1979-07,8.87,]
67,1979-08,8.94,]
68,1979-09,7.91,]
69,1979-10,, 
70,1979-11,4.72,]
71,1979-12,4.33,]
72,1980-01,3.5,]
73,1980-02,3.28,]
74,1980-03,4.02,]
75,1980-04,5.54,]
76,1980-05,7.12,]
77,1980-06,8.86,]
78,1980-07,, 
79,1980-08,9.91,]
80,1980-09,9.32,]
81,1980-10,5.84,]
82,1980-11,3.54,]
83,1980-12,3.81,]
84,1981-01,, 
85,1981-02,, 
86,1981-03,3.42,]
87,1981-04,4.57,]
88,1981-05,6.14,]
89,1981-06,7.33,]
90,1981-07,9.18,]
91,1981-08,, 
92,1981-09,9.75,]
93,1981-10,4.82,]
94,1981-11,4.48,]
95,1981-12,1.94,]
96,1982-01,, 
97,1982-02,, 
98,1982-03,4.44,]
99,1982-04,5.09,]
100,1982-05,7.07,]
101,1982-06,8.27,]
102,1982-07,10.35,]
103,1982-08,10.05,]
104,1982-09,, 
105,1982-10,7.83,]
106,1982-11,5.04,]
107,1982-12,3.43,]
108,1983-01,3.35,]
109,1983-02,2.99,]
110,1983-03,, 
111,1983-04,, 
112,1983-05,, 
113,1983-06,, 
114,1983-07,, 
115,1983-08,, 
