,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1962-01,-8.82,E
1,1962-02,-14.11,E
2,1962-03,-4.33,E
3,1962-04,, 
4,1962-05,0.99,E
5,1962-06,4.98,E
6,1962-07,8.2,E
7,1962-08,6.64,E
8,1962-09,2.66,E
9,1962-10,-1.24,E
10,1962-11,-4.43,E
11,1962-12,, 
12,1963-01,, 
13,1963-02,-4.91,E
14,1963-03,-11.83,E
15,1963-04,-4.58,E
16,1963-05,-1.92,E
17,1963-06,3.69,E
18,1963-07,6.43,E
19,1963-08,7.75,E
20,1963-09,2.27,E
21,1963-10,-3.06,E
22,1963-11,-5.65,E
23,1963-12,-5.38,E
24,1964-01,-9.3,E
25,1964-02,-8.36,E
26,1964-03,-17.46,E
27,1964-04,-8.26,E
28,1964-05,-2.01,E
29,1964-06,4.29,E
30,1964-07,5.16,E
31,1964-08,6.11,E
32,1964-09,3.52,E
33,1964-10,-2.24,E
34,1964-11,-6.24,E
35,1964-12,-7.35,E
36,1965-01,-10.3,E
37,1965-02,-6.03,E
38,1965-03,-11.76,E
39,1965-04,-8.11,E
40,1965-05,2.24,E
41,1965-06,4.7,E
42,1965-07,8.81,E
43,1965-08,8.01,E
44,1965-09,3.34,E
45,1965-10,-0.98,E
46,1965-11,-2.36,E
47,1965-12,-8.93,E
48,1966-01,-13.85,E
49,1966-02,-11.33,E
50,1966-03,-15.11,E
51,1966-04,-7.84,E
52,1966-05,-2.0,E
53,1966-06,3.91,E
54,1966-07,6.88,E
55,1966-08,8.34,E
56,1966-09,3.99,E
57,1966-10,2.02,E
58,1966-11,-5.13,E
59,1966-12,-9.88,E
60,1967-01,-7.42,E
61,1967-02,-14.1,E
62,1967-03,-15.57,E
63,1967-04,-11.05,E
64,1967-05,1.01,E
65,1967-06,3.97,E
66,1967-07,7.03,E
67,1967-08,7.16,E
68,1967-09,2.34,E
69,1967-10,-3.2,E
70,1967-11,-7.31,E
71,1967-12,-8.68,E
72,1968-01,-14.12,E
73,1968-02,-14.05,E
74,1968-03,-18.36,E
75,1968-04,-6.29,E
76,1968-05,1.12,E
77,1968-06,4.37,E
78,1968-07,8.35,E
79,1968-08,6.81,E
80,1968-09,3.49,E
81,1968-10,-0.97,E
