,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1931-01,-17.29,w
1,1931-02,-17.7,w
2,1931-03,-18.7,w
3,1931-04,-8.0,w
4,1931-05,-5.1,w
5,1931-06,2.1,w
6,1931-07,5.6,w
7,1931-08,, 
8,1931-09,, 
9,1931-10,-7.7,w
10,1931-11,-8.2,w
11,1931-12,, 
12,1932-01,-16.0,w
13,1932-02,, 
14,1932-03,-13.6,w
15,1932-04,, 
16,1932-05,, 
17,1932-06,, 
18,1932-07,6.1,w
19,1932-08,, 
20,1932-09,, 
21,1932-10,-7.9,w
22,1932-11,-14.1,w
23,1932-12,-12.7,w
24,1933-01,-10.6,w
25,1933-02,-14.6,w
26,1933-03,-9.89,w
27,1933-04,-12.0,w
28,1933-05,-1.8,w
29,1933-06,3.5,w
30,1933-07,6.1,w
31,1933-08,, 
32,1933-09,2.1,w
33,1933-10,-5.7,w
34,1933-11,-6.2,w
35,1933-12,-7.6,w
36,1934-01,-14.7,w
37,1934-02,, 
38,1934-03,-13.2,w
39,1934-04,-9.39,w
40,1934-05,-3.3,w
41,1934-06,4.0,w
42,1934-07,6.0,w
43,1934-08,, 
44,1934-09,2.3,w
45,1934-10,-5.1,w
46,1934-11,-11.6,w
47,1934-12,-8.8,w
48,1935-01,-11.5,w
49,1935-02,-17.1,w
50,1935-03,-11.0,w
51,1935-04,-13.1,w
52,1935-05,-3.7,w
53,1935-06,1.5,w
54,1935-07,4.4,w
55,1935-08,3.9,w
56,1935-09,-0.7,w
57,1935-10,-6.0,w
58,1935-11,-5.9,w
59,1935-12,-12.3,w
60,1936-01,-22.6,w
61,1936-02,-19.79,w
62,1936-03,-20.0,w
63,1936-04,-9.2,w
64,1936-05,0.6,w
65,1936-06,2.9,w
66,1936-07,7.8,w
67,1936-08,, 
68,1936-09,2.2,w
69,1936-10,-4.1,w
70,1936-11,-10.0,w
71,1936-12,-17.6,w
72,1948-01,-20.0,w
73,1948-02,-15.3,w
74,1948-03,-14.7,w
75,1948-04,-10.8,w
76,1948-05,-3.7,w
77,1948-06,2.1,w
78,1948-07,5.0,w
79,1948-08,4.8,w
80,1948-09,1.3,w
81,1948-10,-7.2,w
82,1948-11,-15.9,w
83,1948-12,-16.79,w
84,1949-01,-12.2,w
85,1949-02,-14.1,w
86,1949-03,-17.0,w
87,1949-04,-14.1,w
88,1949-05,-4.4,w
89,1949-06,2.8,w
90,1949-07,5.4,w
91,1949-08,4.5,w
92,1949-09,1.3,w
93,1949-10,-9.8,w
94,1949-11,-12.3,w
95,1949-12,-17.6,w
96,1950-01,-12.2,w
97,1950-02,-21.1,w
98,1950-03,-20.1,w
99,1950-04,-12.9,w
100,1950-05,-4.1,w
101,1950-06,0.8,w
102,1950-07,3.0,w
103,1950-08,3.0,w
104,1950-09,0.3,w
105,1950-10,-5.4,w
106,1950-11,-8.5,w
107,1950-12,-14.7,w
108,1951-01,-17.79,w
109,1951-02,-14.6,w
110,1951-03,-19.9,w
111,1951-04,-16.1,w
112,1951-05,-4.1,w
113,1951-06,1.3,w
114,1951-07,2.7,w
115,1951-08,3.2,w
116,1951-09,-0.2,w
117,1951-10,-8.2,w
118,1951-11,-19.2,w
119,1951-12,-16.9,w
120,1952-01,-14.5,w
121,1952-02,-17.0,w
122,1952-03,-16.4,w
123,1952-04,-10.4,w
124,1952-05,-2.6,w
125,1952-06,0.8,w
126,1952-07,2.4,w
127,1952-08,1.6,w
128,1952-09,-0.5,w
129,1952-10,-3.4,w
130,1952-11,-9.7,w
131,1952-12,-14.2,w
132,1953-01,-18.0,w
133,1953-02,-20.8,w
134,1953-03,-18.5,w
135,1953-04,-12.2,w
136,1953-05,-3.4,w
137,1953-06,1.1,w
138,1953-07,1.5,w
139,1953-08,4.6,w
140,1953-09,1.8,w
141,1953-10,-3.8,w
142,1953-11,-8.3,w
143,1953-12,-12.5,w
144,1954-01,-13.7,w
145,1954-02,-12.4,w
146,1954-03,-20.1,w
147,1954-04,-11.7,w
148,1954-05,-3.4,w
149,1954-06,0.2,w
150,1954-07,1.9,w
151,1954-08,1.9,w
152,1954-09,-1.2,w
153,1954-10,-6.2,w
154,1954-11,-6.5,w
155,1954-12,-11.8,w
156,1955-01,-17.9,w
157,1955-02,-17.1,w
158,1955-03,-14.9,w
159,1955-04,-10.1,w
160,1955-05,-5.8,w
161,1955-06,0.1,w
162,1955-07,1.8,w
163,1955-08,2.0,w
164,1955-09,0.3,w
165,1955-10,-4.8,w
166,1955-11,-11.0,w
167,1955-12,-14.0,w
168,1956-01,-16.9,w
169,1956-02,-11.7,w
170,1956-03,-17.29,w
171,1956-04,-16.29,w
172,1956-05,-6.5,w
173,1956-06,-0.3,w
174,1956-07,2.2,w
175,1956-08,2.6,w
176,1956-09,-1.3,w
177,1956-10,-6.5,w
178,1956-11,-9.2,w
179,1956-12,-6.3,w
180,1957-01,-10.7,w
181,1957-02,-16.1,w
182,1957-03,-14.9,w
183,1957-04,-11.0,w
184,1957-05,-5.0,w
185,1957-06,0.3,w
186,1957-07,2.5,w
187,1957-08,3.7,w
188,1957-09,-0.9,w
189,1957-10,-4.5,w
190,1957-11,-9.1,w
191,1957-12,-15.5,w
192,1958-01,-13.4,w
193,1958-02,-16.9,w
194,1958-03,-10.9,w
195,1958-04,-8.8,w
196,1958-05,-3.4,w
197,1958-06,0.7,w
198,1958-07,5.4,w
199,1958-08,3.0,w
200,1958-09,-1.2,w
201,1958-10,-7.1,w
202,1958-11,-12.9,w
203,1958-12,-14.8,w
204,1959-01,-24.0,w
205,1959-02,-18.0,w
206,1959-03,-16.79,w
207,1959-04,-16.7,w
208,1959-05,-4.1,w
209,1959-06,0.0,w
210,1959-07,0.7,w
211,1959-08,2.1,w
212,1959-09,-0.5,w
213,1959-10,-2.4,w
214,1959-11,-9.8,w
215,1959-12,-13.2,w
216,1960-01,-13.8,w
217,1960-02,-15.6,w
218,1960-03,-13.7,w
219,1960-04,-9.0,w
220,1960-05,-3.2,w
221,1960-06,0.2,w
222,1960-07,3.7,w
223,1960-08,2.6,w
224,1960-09,1.2,w
225,1960-10,-4.19,w
226,1960-11,-8.1,w
227,1960-12,-14.7,w
228,1961-01,-13.4,w
229,1961-02,-16.7,w
230,1961-03,-17.7,w
231,1961-04,-13.2,w
232,1961-05,-2.9,w
233,1961-06,0.9,w
234,1961-07,2.7,w
235,1961-08,2.6,w
236,1961-09,-0.1,w
237,1961-10,-2.7,w
238,1961-11,-8.5,w
239,1961-12,-15.6,w
240,1962-01,-16.0,w
241,1962-02,-17.0,w
242,1962-03,-19.9,w
243,1962-04,-12.8,w
244,1962-05,-4.1,w
245,1962-06,-0.1,w
246,1962-07,2.7,w
247,1962-08,2.5,w
248,1962-09,-1.4,w
249,1962-10,-8.0,w
250,1962-11,-12.4,w
251,1962-12,-14.8,w
252,1963-01,-16.79,w
253,1963-02,-22.2,w
254,1963-03,-14.2,w
255,1963-04,-10.7,w
256,1963-05,-3.8,w
257,1963-06,1.0,w
258,1963-07,2.7,w
259,1963-08,2.2,w
260,1963-09,-1.1,w
261,1963-10,-4.0,w
262,1963-11,-13.4,w
263,1963-12,-14.3,w
264,1964-01,-13.6,w
265,1964-02,-13.5,w
266,1964-03,-13.3,w
267,1964-04,-10.7,w
268,1964-05,-4.9,w
269,1964-06,-0.1,w
270,1964-07,2.3,w
271,1964-08,3.6,w
272,1964-09,-1.8,w
273,1964-10,-5.7,w
274,1964-11,-12.8,w
275,1964-12,-12.4,w
276,1965-01,-16.6,w
277,1965-02,-9.8,w
278,1965-03,-17.79,w
279,1965-04,-9.89,w
280,1965-05,-3.0,w
281,1965-06,-0.4,w
282,1965-07,3.4,w
283,1965-08,2.9,w
284,1965-09,-1.5,w
285,1965-10,-4.5,w
286,1965-11,-9.6,w
287,1965-12,-20.6,w
288,1966-01,-22.2,w
289,1966-02,-18.9,w
290,1966-03,-21.2,w
291,1966-04,-10.8,w
292,1966-05,-6.0,w
293,1966-06,1.0,w
294,1966-07,3.2,w
295,1966-08,4.1,w
296,1966-09,-0.2,w
297,1966-10,-7.8,w
298,1966-11,-12.5,w
299,1966-12,-13.9,w
300,1967-01,-19.9,w
301,1967-02,-18.2,w
302,1967-03,-21.0,w
303,1967-04,-11.9,w
304,1967-05,-3.9,w
305,1967-06,0.8,w
306,1967-07,2.9,w
307,1967-08,1.9,w
308,1967-09,-0.3,w
309,1967-10,-8.1,w
310,1967-11,-13.8,w
311,1967-12,-14.4,w
312,1968-01,-21.8,w
313,1968-02,-22.2,w
314,1968-03,-22.8,w
315,1968-04,-11.9,w
316,1968-05,-5.7,w
317,1968-06,1.0,w
318,1968-07,2.3,w
319,1968-08,3.1,w
320,1968-09,-1.8,w
321,1968-10,-11.6,w
322,1968-11,-12.7,w
323,1968-12,-17.1,w
324,1969-01,-19.4,w
325,1969-02,-20.8,w
326,1969-03,-23.1,w
327,1969-04,-13.9,w
328,1969-05,-3.5,w
329,1969-06,0.7,w
330,1969-07,3.1,w
331,1969-08,3.8,w
332,1969-09,-0.6,w
333,1969-10,-8.1,w
334,1969-11,-10.7,w
335,1969-12,-14.2,w
336,1970-01,-14.3,w
337,1970-02,-21.1,w
338,1970-03,-16.7,w
339,1970-04,-11.6,w
340,1970-05,-2.09,w
341,1970-06,0.6,w
342,1970-07,2.1,w
343,1970-08,2.6,w
344,1970-09,0.1,w
345,1970-10,-5.1,w
346,1970-11,-11.9,w
347,1970-12,-12.8,w
348,1971-01,-19.5,w
349,1971-02,-14.0,w
350,1971-03,-18.9,w
351,1971-04,-12.2,w
352,1971-05,-3.4,w
353,1971-06,1.7,w
354,1971-07,2.7,w
355,1971-08,2.7,w
356,1971-09,-1.4,w
357,1971-10,-10.3,w
358,1971-11,-18.0,w
359,1971-12,-14.5,w
360,1972-01,-9.0,w
361,1972-02,-17.5,w
362,1972-03,-12.1,w
363,1972-04,-11.3,w
364,1972-05,-2.4,w
365,1972-06,1.0,w
366,1972-07,2.6,w
367,1972-08,2.6,w
368,1972-09,0.6,w
369,1972-10,-3.6,w
370,1972-11,-9.0,w
371,1972-12,-13.6,w
372,1973-01,-10.9,w
373,1973-02,-23.3,w
374,1973-03,-16.6,w
375,1973-04,-14.0,w
376,1973-05,-5.1,w
377,1973-06,0.3,w
378,1973-07,2.0,w
379,1973-08,3.5,w
380,1973-09,-0.3,w
381,1973-10,-8.6,w
382,1973-11,-16.9,w
383,1973-12,-18.1,w
384,1974-01,-8.39,w
385,1974-02,-15.3,w
386,1974-03,-11.7,w
387,1974-04,-8.8,w
388,1974-05,-2.7,w
389,1974-06,0.5,w
390,1974-07,3.2,w
391,1974-08,3.0,w
392,1974-09,-1.6,w
393,1974-10,-5.3,w
394,1974-11,-8.2,w
395,1974-12,-16.5,w
396,1975-01,-21.1,w
397,1975-02,-17.1,w
398,1975-03,-18.29,w
399,1975-04,-12.4,w
400,1975-05,-5.6,w
401,1975-06,-0.2,w
402,1975-07,2.0,w
403,1975-08,3.0,w
404,1975-09,-1.3,w
405,1975-10,-7.2,w
406,1975-11,-13.5,w
407,1975-12,-18.2,w
408,1976-01,-18.9,w
409,1976-02,-16.4,w
410,1976-03,-9.2,w
411,1976-04,-12.2,w
412,1976-05,-4.1,w
413,1976-06,0.1,w
414,1976-07,2.8,w
415,1976-08,2.6,w
416,1976-09,1.5,w
417,1976-10,-2.8,w
418,1976-11,-12.3,w
419,1976-12,-10.7,w
420,1977-01,-17.29,w
421,1977-02,-20.0,w
422,1977-03,-18.0,w
423,1977-04,-14.5,w
424,1977-05,-2.09,w
425,1977-06,0.7,w
426,1977-07,2.1,w
427,1977-08,, 
428,1977-09,-0.6,w
429,1977-10,-6.5,w
430,1977-11,-12.9,w
431,1977-12,-12.9,w
432,1978-01,-22.5,w
433,1978-02,-23.7,w
434,1978-03,-19.4,w
435,1978-04,-9.39,w
436,1978-05,-2.7,w
437,1978-06,-0.2,w
438,1978-07,2.4,w
439,1978-08,2.8,w
440,1978-09,-0.3,w
441,1978-10,-4.0,w
442,1978-11,-15.7,w
443,1978-12,-12.0,w
444,1979-01,-19.4,w
445,1979-02,-17.6,w
446,1979-03,-14.8,w
447,1979-04,-12.3,w
448,1979-05,-7.0,w
449,1979-06,0.1,w
450,1979-07,2.2,w
451,1979-08,3.1,w
452,1979-09,-0.3,w
453,1979-10,-6.8,w
454,1979-11,-11.5,w
455,1979-12,-10.6,w
456,1980-01,-14.4,w
457,1980-02,-16.1,w
458,1980-03,-11.9,w
459,1980-04,-10.4,w
460,1980-05,-2.5,w
461,1980-06,0.9,w
462,1980-07,1.9,w
463,1980-08,4.9,w
464,1980-09,0.9,w
465,1980-10,-7.4,w
466,1980-11,, 
467,1980-12,, 
468,1985-01,-12.2,[
469,1985-02,-16.4,[
470,1985-03,-15.3,[
471,1985-04,-12.8,[
472,1985-05,-2.2,[
473,1985-06,1.2,[
474,1985-07,3.9,[
475,1985-08,4.1,[
476,1985-09,0.4,[
477,1985-10,-6.0,[
478,1985-11,-13.2,[
479,1985-12,-19.2,[
480,1986-01,-20.2,[
481,1986-02,-19.2,[
482,1986-03,-18.79,[
483,1986-04,-11.4,[
484,1986-05,-4.4,[
485,1986-06,0.5,[
486,1986-07,1.5,[
487,1986-08,1.5,[
488,1986-09,0.6,[
489,1986-10,-4.5,[
490,1986-11,-10.8,[
491,1986-12,-9.3,[
492,1987-01,-9.3,[
493,1987-02,-18.2,[
494,1987-03,-15.4,[
495,1987-04,-7.2,[
496,1987-05,-3.5,[
497,1987-06,0.1,[
498,1987-07,2.0,[
499,1987-08,4.1,[
500,1987-09,-0.4,[
501,1987-10,-9.0,[
502,1987-11,-12.2,[
503,1987-12,-19.9,[
504,1988-01,-22.3,w
505,1988-02,-13.0,w
506,1988-03,-21.0,w
507,1988-04,-14.7,w
508,1988-05,-2.4,w
509,1988-06,, 
510,1988-07,, 
511,1988-08,, 
512,1988-09,, 
513,1988-10,, 
514,1988-11,, 
515,1988-12,, 
