,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1978-01,-1.22,]
1,1978-02,-0.88,]
2,1978-03,0.92,]
3,1978-04,3.76,]
4,1978-05,5.34,]
5,1978-06,7.21,]
6,1978-07,10.44,]
7,1978-08,11.2,]
8,1978-09,7.06,]
9,1978-10,4.91,]
10,1978-11,0.62,]
11,1978-12,2.11,]
12,1979-01,-3.01,]
13,1979-02,0.64,]
14,1979-03,-3.36,]
15,1979-04,1.71,]
16,1979-05,0.95,]
17,1979-06,7.64,]
18,1979-07,8.53,]
19,1979-08,9.21,]
20,1979-09,5.05,]
21,1979-10,4.87,]
22,1979-11,1.42,]
23,1979-12,0.01,]
24,1980-01,0.35,]
25,1980-02,1.45,]
26,1980-03,, 
27,1980-04,3.54,]
28,1980-05,6.28,]
29,1980-06,8.07,]
30,1980-07,10.05,]
31,1980-08,10.12,]
32,1980-09,7.63,]
33,1980-10,2.3,]
34,1980-11,1.59,]
35,1980-12,-1.16,]
36,1981-01,-1.86,]
37,1981-02,, 
38,1981-03,-2.0,]
39,1981-04,3.03,]
40,1981-05,4.69,]
41,1981-06,, 
42,1981-07,9.91,]
43,1981-08,, 
44,1981-09,6.32,]
45,1981-10,, 
46,1981-11,0.62,]
47,1981-12,, 
48,1982-01,, 
49,1982-02,1.43,]
50,1982-03,-0.02,]
51,1982-04,3.15,]
52,1982-05,3.85,]
53,1982-06,8.81,]
54,1982-07,9.79,]
55,1982-08,8.67,]
56,1982-09,5.43,]
57,1982-10,, 
58,1982-11,0.4,]
59,1982-12,, 
60,1983-01,, 
61,1983-02,0.95,]
62,1983-03,-1.26,]
63,1983-04,-0.57,]
64,1983-05,4.29,]
65,1983-06,6.95,]
66,1983-07,, 
67,1983-08,8.04,]
68,1983-09,6.29,]
69,1983-10,3.49,]
70,1983-11,1.68,]
71,1983-12,-0.21,]
72,1984-01,, 
73,1984-02,-0.58,]
74,1984-03,, 
75,1984-04,2.45,]
76,1984-05,, 
77,1984-06,, 
78,1984-07,, 
79,1984-08,, 
80,1984-09,6.84,]
81,1984-10,3.83,]
82,1984-11,1.49,]
83,1984-12,0.71,]
84,1985-01,0.38,]
85,1985-02,, 
86,1985-03,-0.17,]
87,1985-04,, 
88,1985-05,, 
89,1985-06,, 
90,1985-07,, 
91,1985-08,9.47,]
92,1985-09,6.51,]
93,1985-10,, 
94,1985-11,1.53,]
95,1985-12,-0.8,]
96,1986-01,-0.43,]
97,1986-02,1.91,]
98,1986-03,0.49,]
99,1986-04,2.95,]
100,1986-05,3.98,]
101,1986-06,7.62,]
102,1986-07,, 
103,1986-08,, 
104,1986-09,, 
105,1986-10,, 
106,1986-11,0.58,]
107,1986-12,, 
108,1987-01,, 
109,1987-02,, 
110,1987-03,0.06,]
111,1987-04,2.76,]
112,1987-05,, 
113,1987-06,, 
114,1987-07,, 
115,1987-08,, 
116,1987-09,, 
117,1987-10,, 
118,1987-11,, 
119,1987-12,, 
120,1988-01,-2.08,]
121,1988-02,, 
122,1988-03,, 
123,1988-04,, 
124,1988-05,, 
125,1988-06,, 
126,1988-07,, 
127,1988-08,10.01,]
128,1988-09,6.42,]
129,1988-10,, 
130,1988-11,3.33,]
131,1988-12,0.59,]
132,1989-01,-0.74,]
133,1989-02,, 
134,1989-03,, 
135,1989-04,1.04,]
136,1989-05,, 
137,1989-06,, 
138,1989-07,9.43,]
139,1989-08,, 
140,1989-09,6.44,]
141,1989-10,, 
142,1989-11,3.1,]
143,1989-12,0.37,]
144,1990-01,0.13,]
145,1990-02,-1.7,]
146,1990-03,-2.3,]
147,1990-04,0.21,]
148,1990-05,, 
149,1990-06,8.93,]
150,1990-07,, 
151,1990-08,, 
152,1990-09,6.6,]
153,1990-10,, 
154,1990-11,3.04,]
155,1990-12,, 
156,1991-01,1.05,]
157,1991-02,, 
158,1991-03,, 
159,1991-04,, 
160,1991-05,, 
161,1991-06,7.71,]
162,1991-07,, 
163,1991-08,, 
164,1991-09,6.91,]
165,1991-10,4.51,]
166,1991-11,0.53,]
167,1991-12,1.62,]
168,1992-01,2.29,]
169,1992-02,-0.63,]
170,1992-03,0.16,]
171,1992-04,1.88,]
172,1992-05,4.88,]
173,1992-06,7.4,]
174,1992-07,8.96,]
175,1992-08,9.03,]
176,1992-09,6.49,]
177,1992-10,, 
178,1992-11,1.27,]
179,1992-12,0.01,]
180,1993-01,-2.63,]
181,1993-02,0.43,]
182,1993-03,1.07,]
183,1993-04,3.1,]
184,1993-05,, 
185,1993-06,7.54,]
186,1993-07,8.44,]
187,1993-08,8.68,]
188,1993-09,8.53,]
189,1993-10,4.77,]
190,1993-11,3.56,]
191,1993-12,, 
192,1994-01,-1.39,]
193,1994-02,0.57,]
194,1994-03,-1.16,]
195,1994-04,1.35,]
196,1994-05,5.85,]
197,1994-06,6.96,]
198,1994-07,, 
199,1994-08,, 
200,1994-09,, 
201,1994-10,3.12,]
202,1994-11,1.64,]
203,1994-12,-0.16,]
204,1995-01,5.63,]
205,1995-02,6.32,]
206,1995-03,5.62,]
207,1995-04,8.22,]
208,1995-05,10.54,]
209,1995-06,12.29,]
210,1995-07,15.52,]
211,1995-08,16.63,]
212,1995-09,13.45,]
213,1995-10,12.42,]
214,1995-11,9.7,]
215,1995-12,5.27,]
216,1996-01,6.79,]
217,1996-02,4.71,]
218,1996-03,5.6,]
219,1996-04,8.7,]
220,1996-05,8.77,]
221,1996-06,12.66,]
222,1996-07,13.83,]
223,1996-08,14.56,]
224,1996-09,13.54,]
225,1996-10,11.57,]
226,1996-11,7.45,]
227,1996-12,6.08,]
228,1997-01,5.84,]
229,1997-02,6.81,]
230,1997-03,8.24,]
231,1997-04,9.05,]
232,1997-05,10.57,]
233,1997-06,12.09,]
234,1997-07,14.6,]
235,1997-08,16.31,]
236,1997-09,13.43,]
237,1997-10,11.2,]
238,1997-11,9.68,]
239,1997-12,7.84,]
240,1998-01,, 
241,1998-02,8.72,]
242,1998-03,7.83,]
243,1998-04,7.37,]
244,1998-05,10.66,]
245,1998-06,12.14,]
246,1998-07,13.76,]
247,1998-08,, 
248,1998-09,14.35,]
249,1998-10,10.58,]
250,1998-11,8.55,]
251,1998-12,7.45,]
252,1999-01,5.99,]
253,1999-02,7.08,]
254,1999-03,7.54,]
255,1999-04,8.83,]
256,1999-05,11.19,]
