,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1982-01,, 
1,1982-02,2.59,]
2,1982-03,, 
3,1982-04,3.84,]
4,1982-05,, 
5,1982-06,, 
6,1982-07,, 
7,1982-08,, 
8,1982-09,5.94,]
9,1982-10,, 
10,1982-11,, 
11,1982-12,, 
12,1985-01,, 
13,1985-02,, 
14,1985-03,, 
15,1985-04,, 
16,1985-05,6.13,]
17,1985-06,, 
18,1985-07,, 
19,1985-08,8.05,]
20,1985-09,, 
21,1985-10,, 
22,1985-11,, 
23,1985-12,, 
24,1987-01,, 
25,1987-02,, 
26,1987-03,-0.29,]
27,1987-04,, 
28,1987-05,, 
29,1987-06,7.54,]
30,1987-07,, 
31,1987-08,, 
32,1987-09,, 
33,1987-10,, 
34,1987-11,, 
35,1987-12,, 
36,1988-01,, 
37,1988-02,, 
38,1988-03,, 
39,1988-04,, 
40,1988-05,, 
41,1988-06,, 
42,1988-07,, 
43,1988-08,10.67,]
44,1988-09,6.32,]
45,1988-10,, 
46,1988-11,, 
47,1988-12,, 
48,1989-01,, 
49,1989-02,-3.6,]
50,1989-03,-2.41,]
51,1989-04,1.69,]
52,1989-05,, 
53,1989-06,, 
54,1989-07,12.26,]
55,1989-08,, 
56,1989-09,, 
57,1989-10,3.51,]
58,1989-11,, 
59,1989-12,, 
60,1990-01,, 
61,1990-02,, 
62,1990-03,, 
63,1990-04,-0.28,]
64,1990-05,, 
65,1990-06,, 
66,1990-07,, 
67,1990-08,, 
68,1990-09,, 
69,1990-10,, 
70,1990-11,, 
71,1990-12,, 
72,1991-01,0.38,]
73,1991-02,-0.15,]
74,1991-03,, 
75,1991-04,, 
76,1991-05,7.9,]
77,1991-06,7.77,]
78,1991-07,, 
79,1991-08,, 
80,1991-09,7.18,]
81,1991-10,, 
82,1991-11,, 
83,1991-12,, 
84,1992-01,, 
85,1992-02,, 
86,1992-03,, 
87,1992-04,, 
88,1992-05,, 
89,1992-06,, 
90,1992-07,9.64,]
91,1992-08,9.03,]
92,1992-09,6.96,]
93,1992-10,, 
94,1992-11,, 
95,1992-12,, 
96,1993-01,-5.15,]
97,1993-02,-0.5,]
98,1993-03,, 
99,1993-04,, 
100,1993-05,, 
101,1993-06,7.45,]
102,1993-07,, 
103,1993-08,, 
104,1993-09,, 
105,1993-10,, 
106,1993-11,, 
107,1993-12,, 
108,1994-01,, 
109,1994-02,0.35,]
110,1994-03,-2.85,]
111,1994-04,, 
112,1994-05,, 
113,1994-06,, 
114,1994-07,, 
115,1994-08,, 
116,1994-09,, 
117,1994-10,, 
118,1994-11,, 
119,1994-12,, 
120,1995-01,, 
121,1995-02,-3.71,]
122,1995-03,, 
123,1995-04,, 
124,1995-05,, 
125,1995-06,, 
126,1995-07,, 
127,1995-08,, 
128,1995-09,, 
129,1995-10,, 
130,1995-11,, 
131,1995-12,-0.51,]
132,1996-01,, 
133,1996-02,-2.49,]
134,1996-03,2.64,]
135,1996-04,2.32,]
136,1996-05,4.86,]
137,1996-06,9.14,]
138,1996-07,11.21,]
139,1996-08,10.22,]
140,1996-09,11.23,]
141,1996-10,3.4,]
142,1996-11,-4.76,]
143,1996-12,-3.77,]
144,1997-01,-1.84,]
145,1997-02,-2.34,]
146,1997-03,-1.27,]
147,1997-04,2.31,]
148,1997-05,4.37,]
149,1997-06,7.86,]
150,1997-07,12.56,]
151,1997-08,11.34,]
152,1997-09,7.6,]
153,1997-10,3.1,]
154,1997-11,2.6,]
155,1997-12,-0.02,]
156,1998-01,, 
157,1998-02,-3.23,]
158,1998-03,-3.29,]
159,1998-04,0.23,]
160,1998-05,, 
161,1998-06,, 
162,1998-07,, 
163,1998-08,, 
164,1998-09,6.66,]
165,1998-10,, 
166,1998-11,, 
167,1998-12,, 
168,1999-01,, 
169,1999-02,-1.82,]
170,1999-03,, 
171,1999-04,, 
172,1999-05,, 
173,1999-06,9.83,]
174,1999-07,, 
175,1999-08,11.77,]
176,1999-09,, 
177,1999-10,, 
178,1999-11,, 
179,1999-12,, 
180,2000-01,, 
181,2000-02,-2.29,]
182,2000-03,-0.5,]
183,2000-04,, 
184,2000-05,, 
185,2000-06,, 
186,2000-07,, 
187,2000-08,, 
188,2000-09,8.96,]
189,2000-10,4.59,]
190,2000-11,0.53,]
191,2000-12,-0.79,]
192,2001-01,1.28,]
193,2001-02,-0.53,]
194,2001-03,, 
195,2001-04,, 
196,2001-05,, 
197,2001-06,, 
198,2001-07,, 
199,2001-08,9.8,]
200,2001-09,8.52,]
201,2001-10,, 
202,2001-11,1.15,]
203,2001-12,0.07,]
204,2002-01,, 
205,2002-02,-4.05,]
206,2002-03,-2.74,]
207,2002-04,, 
208,2002-05,, 
209,2002-06,, 
210,2002-07,11.3,]
211,2002-08,10.71,]
212,2002-09,9.15,]
213,2002-10,, 
214,2002-11,3.61,]
215,2002-12,2.06,]
216,2003-01,-2.33,]
217,2003-02,2.08,]
218,2003-03,3.73,]
219,2003-04,5.43,]
220,2003-05,4.7,]
221,2003-06,9.26,]
222,2003-07,11.38,]
223,2003-08,12.88,]
224,2003-09,8.17,]
225,2003-10,, 
226,2003-11,1.04,]
227,2003-12,-1.94,]
228,2004-01,, 
229,2004-02,, 
230,2004-03,3.66,]
231,2004-04,4.27,]
232,2004-05,5.72,]
233,2004-06,8.92,]
234,2004-07,11.52,]
235,2004-08,11.25,]
236,2004-09,8.56,]
237,2004-10,, 
238,2004-11,-0.03,]
239,2004-12,-1.5,]
240,2005-01,-1.34,]
241,2005-02,-0.48,]
242,2005-03,0.57,]
243,2005-04,1.63,]
244,2005-05,3.01,]
245,2005-06,8.68,]
246,2005-07,11.39,]
247,2005-08,9.76,]
248,2005-09,4.23,]
249,2005-10,1.95,]
250,2005-11,-0.96,]
251,2005-12,0.52,]
252,2006-01,, 
253,2006-02,1.01,]
254,2006-03,-1.69,]
255,2006-04,1.13,]
256,2006-05,3.85,]
257,2006-06,10.03,]
258,2006-07,11.22,]
259,2006-08,11.16,]
260,2006-09,8.09,]
261,2006-10,3.8,]
262,2006-11,, 
263,2006-12,1.33,]
264,2007-01,-2.76,]
265,2007-02,-1.5,]
266,2007-03,1.73,]
267,2007-04,3.5,]
268,2007-05,4.03,]
269,2007-06,9.25,]
270,2007-07,9.39,]
271,2007-08,9.33,]
272,2007-09,6.25,]
273,2007-10,5.35,]
274,2007-11,0.07,]
275,2007-12,0.58,]
276,2008-01,-2.05,]
277,2008-02,-0.82,]
278,2008-03,-2.45,]
279,2008-04,-0.26,]
280,2008-05,6.66,]
281,2008-06,7.66,]
282,2008-07,11.61,]
283,2008-08,10.31,]
284,2008-09,9.26,]
285,2008-10,1.25,]
286,2008-11,0.69,]
287,2008-12,-1.96,]
288,2009-01,0.63,]
289,2009-02,-3.71,]
290,2009-03,-1.24,]
291,2009-04,3.31,]
292,2009-05,6.29,]
293,2009-06,8.46,]
294,2009-07,9.82,]
295,2009-08,10.5,]
296,2009-09,8.0,]
297,2009-10,3.26,]
298,2009-11,1.53,]
299,2009-12,-0.88,]
300,2010-01,-0.79,]
301,2010-02,-3.83,]
302,2010-03,-0.25,]
303,2010-04,0.14,]
304,2010-05,6.14,]
305,2010-06,9.81,]
306,2010-07,10.77,]
307,2010-08,10.08,]
308,2010-09,9.23,]
309,2010-10,4.31,]
310,2010-11,-1.19,]
311,2010-12,-2.73,]
312,2011-01,-0.92,]
313,2011-02,0.42,]
314,2011-03,-0.82,]
315,2011-04,5.39,]
316,2011-05,4.43,]
317,2011-06,5.83,]
318,2011-07,10.22,]
319,2011-08,8.73,]
320,2011-09,7.91,]
321,2011-10,4.0,]
322,2011-11,3.22,]
323,2011-12,-4.1,]
324,2012-01,-0.34,]
325,2012-02,2.11,]
326,2012-03,2.8,]
327,2012-04,0.66,]
328,2012-05,4.42,]
329,2012-06,6.94,]
330,2012-07,10.11,]
331,2012-08,10.69,]
332,2012-09,5.98,]
333,2012-10,1.85,]
334,2012-11,-0.87,]
335,2012-12,-2.1,]
336,2013-01,1.25,]
337,2013-02,2.0,]
338,2013-03,-1.93,]
339,2013-04,-1.21,]
340,2013-05,4.4,]
341,2013-06,10.14,]
342,2013-07,11.69,]
343,2013-08,10.21,]
344,2013-09,6.22,]
345,2013-10,3.07,]
346,2013-11,0.17,]
347,2013-12,-2.24,]
