,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1973-01,, 
1,1973-02,, 
2,1973-03,2.38,]
3,1973-04,, 
4,1973-05,, 
5,1973-06,, 
6,1973-07,, 
7,1973-08,, 
8,1973-09,, 
9,1973-10,, 
10,1973-11,, 
11,1973-12,, 
12,1974-01,0.2,]
13,1974-02,-1.86,]
14,1974-03,, 
15,1974-04,, 
16,1974-05,, 
17,1974-06,, 
18,1974-07,, 
19,1974-08,, 
20,1974-09,, 
21,1974-10,5.0,]
22,1974-11,3.35,]
23,1974-12,, 
24,1975-01,-3.59,]
25,1975-02,, 
26,1975-03,-1.52,]
27,1975-04,, 
28,1975-05,4.12,]
29,1975-06,, 
30,1975-07,, 
31,1975-08,, 
32,1975-09,, 
33,1975-10,5.22,]
34,1975-11,, 
35,1975-12,, 
36,1976-01,-3.08,]
37,1976-02,0.19,]
38,1976-03,0.83,]
39,1976-04,1.98,]
40,1976-05,3.12,]
41,1976-06,8.37,]
42,1976-07,, 
43,1976-08,, 
44,1976-09,, 
45,1976-10,6.03,]
46,1976-11,2.67,]
47,1976-12,-0.14,]
48,1977-01,-1.83,]
49,1977-02,0.57,]
50,1977-03,-0.16,]
51,1977-04,-0.19,]
52,1977-05,5.86,]
53,1977-06,7.2,]
54,1977-07,, 
55,1977-08,9.72,]
56,1977-09,7.07,]
57,1977-10,, 
58,1977-11,, 
59,1977-12,, 
60,1978-01,-1.14,]
61,1978-02,-1.73,]
62,1978-03,-0.61,]
63,1978-04,3.15,]
64,1978-05,5.13,]
65,1978-06,6.76,]
66,1978-07,8.89,]
67,1978-08,10.41,]
68,1978-09,5.91,]
69,1978-10,4.25,]
70,1978-11,0.29,]
71,1978-12,2.27,]
72,1979-01,-3.18,]
73,1979-02,0.18,]
74,1979-03,-4.1,]
75,1979-04,-0.23,]
76,1979-05,-0.25,]
77,1979-06,6.57,]
78,1979-07,7.37,]
79,1979-08,, 
80,1979-09,3.58,]
81,1979-10,4.08,]
82,1979-11,0.8,]
83,1979-12,0.41,]
84,1980-01,-0.1,]
85,1980-02,1.01,]
86,1980-03,0.22,]
87,1980-04,2.32,]
88,1980-05,5.91,]
89,1980-06,6.81,]
90,1980-07,9.09,]
91,1980-08,9.21,]
92,1980-09,6.58,]
93,1980-10,1.93,]
94,1980-11,0.85,]
95,1980-12,-2.59,]
96,1981-01,-3.3,]
97,1981-02,-3.08,]
98,1981-03,-2.61,]
99,1981-04,2.36,]
100,1981-05,3.57,]
101,1981-06,6.51,]
102,1981-07,8.43,]
103,1981-08,9.93,]
104,1981-09,4.73,]
105,1981-10,0.26,]
106,1981-11,-0.57,]
107,1981-12,-2.39,]
108,1982-01,-2.58,]
109,1982-02,0.33,]
110,1982-03,-0.12,]
111,1982-04,2.06,]
112,1982-05,2.73,]
113,1982-06,6.95,]
114,1982-07,9.17,]
115,1982-08,, 
