,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1937-01,-0.8,G
1,1937-02,-5.72,G
2,1937-03,-7.21,G
3,1937-04,-1.03,G
4,1937-05,0.95,G
5,1937-06,3.27,G
6,1937-07,5.73,G
7,1937-08,6.35,G
8,1937-09,4.31,G
9,1937-10,-0.2,G
10,1937-11,-1.6,G
11,1937-12,-0.61,G
12,1938-01,-5.11,G
13,1938-02,-3.5,G
14,1938-03,-5.85,G
15,1938-04,-3.72,G
16,1938-05,-0.81,G
17,1938-06,4.22,G
18,1938-07,6.17,G
19,1938-08,6.46,G
20,1938-09,4.15,G
21,1938-10,4.31,G
22,1938-11,1.44,G
23,1938-12,1.77,G
24,1939-01,-2.91,G
25,1939-02,-3.32,G
26,1939-03,-1.39,G
27,1939-04,-2.98,G
28,1939-05,1.25,G
29,1939-06,3.49,G
30,1939-07,6.08,G
31,1939-08,7.8,G
32,1939-09,4.64,G
33,1939-10,2.05,G
34,1939-11,-3.69,G
35,1939-12,-5.76,G
36,1940-01,-3.02,G
37,1940-02,-7.29,G
38,1940-03,-4.88,G
39,1940-04,-3.94,G
40,1940-05,0.95,G
41,1940-06,3.91,G
42,1940-07,, 
43,1940-08,, 
44,1940-09,, 
45,1940-10,, 
46,1940-11,, 
47,1940-12,, 
48,1950-01,, 
49,1950-02,, 
50,1950-03,, 
51,1950-04,, 
52,1950-05,, 
53,1950-06,, 
54,1950-07,5.58,G
55,1950-08,7.47,G
56,1950-09,4.52,G
57,1950-10,2.37,G
58,1950-11,-0.66,G
59,1950-12,-4.28,G
60,1951-01,-4.93,G
61,1951-02,-2.11,G
62,1951-03,-7.24,G
63,1951-04,-5.35,G
64,1951-05,-0.57,G
65,1951-06,0.47,G
66,1951-07,4.16,G
67,1951-08,6.78,G
68,1951-09,4.04,G
69,1951-10,0.4,G
70,1951-11,-3.71,G
71,1951-12,-3.84,G
72,1952-01,-4.26,G
73,1952-02,-5.89,G
74,1952-03,-5.08,G
75,1952-04,-1.15,G
76,1952-05,0.01,G
77,1952-06,3.03,G
