,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1963-01,1.26,k
1,1963-02,0.15,k
2,1963-03,3.3,k
3,1963-04,, 
4,1963-05,8.7,E
5,1963-06,10.83,E
6,1963-07,11.33,E
7,1963-08,14.38,E
8,1963-09,11.97,E
9,1963-10,9.38,E
10,1963-11,5.16,E
11,1963-12,4.38,E
12,1964-01,4.47,E
13,1964-02,2.89,E
14,1964-03,4.38,E
15,1964-04,5.79,E
16,1964-05,8.44,E
17,1964-06,9.78,E
18,1964-07,11.67,E
19,1964-08,11.86,E
20,1964-09,9.75,E
21,1964-10,9.33,E
22,1964-11,5.92,E
23,1964-12,3.54,E
24,1965-01,2.35,E
25,1965-02,2.74,E
26,1965-03,2.68,E
27,1965-04,6.13,E
28,1965-05,7.46,E
29,1965-06,10.64,E
30,1965-07,10.43,E
31,1965-08,11.23,E
32,1965-09,12.81,E
33,1965-10,10.15,E
34,1965-11,3.7,E
35,1965-12,0.78,E
36,1966-01,0.54,E
37,1966-02,-0.99,E
38,1966-03,2.49,E
39,1966-04,3.25,E
40,1966-05,7.38,E
41,1966-06,12.03,E
42,1966-07,12.32,E
43,1966-08,12.8,E
44,1966-09,10.01,E
45,1966-10,8.13,E
46,1966-11,5.06,E
47,1966-12,3.77,E
48,1967-01,1.48,E
49,1967-02,3.7,E
50,1967-03,3.68,E
51,1967-04,4.02,E
52,1967-05,8.03,E
53,1967-06,9.97,E
54,1967-07,12.23,E
55,1967-08,12.86,E
56,1967-09,13.4,E
57,1967-10,8.36,E
58,1967-11,7.35,E
59,1967-12,3.11,E
60,1968-01,2.08,E
61,1968-02,1.66,E
62,1968-03,2.67,E
63,1968-04,4.57,E
64,1968-05,6.57,E
65,1968-06,11.68,E
66,1968-07,12.64,E
67,1968-08,12.71,E
68,1968-09,11.75,E
69,1968-10,7.24,E
70,1968-11,4.0,E
71,1968-12,3.57,E
72,1969-01,3.4,E
73,1969-02,0.35,E
74,1969-03,1.16,E
75,1969-04,5.54,E
76,1969-05,7.48,E
77,1969-06,11.84,E
78,1969-07,12.77,E
79,1969-08,16.31,E
80,1969-09,10.63,E
81,1969-10,8.87,E
82,1969-11,3.34,E
83,1969-12,2.52,E
84,1970-01,1.54,E
85,1970-02,0.15,E
86,1970-03,2.19,E
87,1970-04,3.68,E
88,1970-05,7.95,E
89,1970-06,11.63,E
90,1970-07,12.54,E
91,1970-08,13.77,E
92,1970-09,11.29,E
93,1970-10,8.5,E
94,1970-11,4.21,E
95,1970-12,4.1,E
96,1971-01,3.3,E
97,1971-02,3.8,E
98,1971-03,2.15,E
99,1971-04,4.33,E
100,1971-05,8.87,E
101,1971-06,9.83,E
102,1971-07,11.96,E
103,1971-08,12.86,E
104,1971-09,10.8,E
105,1971-10,8.11,E
106,1971-11,3.85,E
107,1971-12,5.38,E
108,1972-01,2.48,E
109,1972-02,2.9,E
110,1972-03,4.31,E
111,1972-04,5.24,E
112,1972-05,8.99,E
113,1972-06,11.65,E
114,1972-07,14.0,E
115,1972-08,13.07,E
116,1972-09,9.66,E
117,1972-10,8.62,E
118,1972-11,5.25,E
119,1972-12,6.59,E
120,1973-01,5.44,E
121,1973-02,3.11,E
122,1973-03,5.15,E
123,1973-04,3.22,E
124,1973-05,7.59,E
125,1973-06,10.88,E
126,1973-07,13.09,E
127,1973-08,11.95,E
128,1973-09,10.71,E
129,1973-10,6.82,E
130,1973-11,3.87,E
131,1973-12,2.89,E
132,1974-01,5.7,E
133,1974-02,3.78,E
134,1974-03,4.49,E
135,1974-04,5.34,E
136,1974-05,8.86,E
137,1974-06,12.22,E
138,1974-07,12.62,E
139,1974-08,13.31,E
140,1974-09,12.29,E
141,1974-10,7.74,E
142,1974-11,6.18,E
143,1974-12,4.68,E
144,1975-01,4.39,E
145,1975-02,4.76,E
146,1975-03,3.89,E
147,1975-04,4.27,E
148,1975-05,7.12,E
149,1975-06,9.47,E
150,1975-07,11.75,E
151,1975-08,14.13,E
152,1975-09,11.52,E
153,1975-10,9.29,E
154,1975-11,6.93,E
155,1975-12,4.04,E
156,1976-01,1.48,E
157,1976-02,3.56,E
158,1976-03,2.81,E
159,1976-04,3.72,E
160,1976-05,9.46,E
161,1976-06,11.0,E
162,1976-07,12.5,E
163,1976-08,13.23,E
164,1976-09,8.77,E
165,1976-10,9.32,E
166,1976-11,6.63,E
167,1976-12,2.43,E
168,1977-01,1.64,E
169,1977-02,1.12,E
170,1977-03,3.87,E
171,1977-04,3.5,E
172,1977-05,6.84,E
173,1977-06,9.6,E
174,1977-07,11.11,E
175,1977-08,12.08,E
176,1977-09,9.66,E
177,1977-10,9.42,E
178,1977-11,5.67,E
179,1977-12,5.44,E
180,1978-01,2.52,E
181,1978-02,0.02,E
182,1978-03,3.33,E
183,1978-04,4.14,E
184,1978-05,7.62,E
185,1978-06,11.3,E
186,1978-07,, 
187,1978-08,, 
188,1978-09,9.82,G
189,1978-10,8.01,G
190,1978-11,5.84,G
191,1978-12,0.46,G
192,1979-01,0.24,G
193,1979-02,1.0,G
194,1979-03,2.4,G
195,1979-04,4.62,G
196,1979-05,6.37,G
197,1979-06,10.57,G
198,1979-07,11.29,G
199,1979-08,12.05,G
200,1979-09,9.72,G
