,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1974-01,, 
1,1974-02,, 
2,1974-03,, 
3,1974-04,, 
4,1974-05,, 
5,1974-06,, 
6,1974-07,, 
7,1974-08,5.33,E
8,1974-09,0.24,E
9,1974-10,-3.33,E
10,1974-11,-6.88,E
11,1974-12,-7.47,E
12,1975-01,-13.5,E
13,1975-02,-11.02,E
14,1975-03,-14.71,E
15,1975-04,-9.88,E
16,1975-05,-4.57,E
17,1975-06,1.84,E
18,1975-07,5.4,E
19,1975-08,4.17,E
20,1975-09,0.53,E
21,1975-10,-7.33,E
22,1975-11,-9.45,E
23,1975-12,-18.3,E
24,1976-01,-13.78,E
25,1976-02,-11.37,E
26,1976-03,-6.32,E
27,1976-04,-8.77,E
28,1976-05,-2.07,E
29,1976-06,3.04,E
30,1976-07,5.68,E
31,1976-08,4.16,E
32,1976-09,-1.04,E
33,1976-10,-3.74,E
34,1976-11,-7.93,E
35,1976-12,-9.0,E
36,1977-01,-10.36,E
37,1977-02,-16.45,E
38,1977-03,-20.86,E
39,1977-04,-15.66,E
40,1977-05,-4.63,E
41,1977-06,1.12,E
42,1977-07,4.8,E
43,1977-08,4.09,E
44,1977-09,-0.12,E
45,1977-10,-4.28,E
46,1977-11,-6.43,E
47,1977-12,-9.15,E
48,1978-01,-18.82,E
49,1978-02,-18.77,E
50,1978-03,-15.62,E
51,1978-04,-8.82,E
52,1978-05,-2.55,E
53,1978-06,2.14,E
54,1978-07,4.56,E
55,1978-08,4.52,E
56,1978-09,-1.89,E
57,1978-10,-6.07,E
58,1978-11,-10.6,E
59,1978-12,-10.07,E
60,1979-01,-19.43,E
61,1979-02,-19.32,E
62,1979-03,-12.77,E
63,1979-04,-16.03,E
64,1979-05,-6.8,E
65,1979-06,-0.32,E
66,1979-07,6.14,E
67,1979-08,4.59,E
68,1979-09,1.29,E
69,1979-10,-4.44,E
70,1979-11,-6.56,E
71,1979-12,-11.92,E
72,1980-01,-15.34,E
73,1980-02,-13.61,E
74,1980-03,-12.68,E
75,1980-04,-8.4,E
76,1980-05,-3.17,E
77,1980-06,2.78,E
78,1980-07,4.62,E
79,1980-08,4.15,E
80,1980-09,0.42,E
81,1980-10,-6.96,E
82,1980-11,-13.62,E
83,1980-12,-16.95,E
84,1981-01,-22.16,E
85,1981-02,-12.69,E
86,1981-03,-18.64,E
