,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1972-01,, 
1,1972-02,, 
2,1972-03,, 
3,1972-04,, 
4,1972-05,, 
5,1972-06,, 
6,1972-07,20.04,=
7,1972-08,13.75,=
8,1972-09,8.75,=
9,1972-10,4.05,=
10,1972-11,0.0,=
11,1972-12,2.75,=
12,1973-01,0.3,=
13,1973-02,-3.8,=
14,1973-03,-0.59,=
15,1973-04,1.2,=
16,1973-05,10.65,=
17,1973-06,13.4,=
18,1973-07,18.75,=
19,1973-08,13.1,=
20,1973-09,8.7,=
21,1973-10,0.3,=
22,1973-11,-1.75,=
23,1973-12,-4.2,=
24,1974-01,-2.3,=
25,1974-02,-2.85,=
26,1974-03,-1.0,=
27,1974-04,1.5,=
28,1974-05,7.25,=
29,1974-06,15.85,=
30,1974-07,14.7,=
31,1974-08,12.95,=
32,1974-09,11.65,=
33,1974-10,3.2,=
34,1974-11,1.25,=
35,1974-12,-3.0,=
36,1975-01,-2.25,=
37,1975-02,-3.4,=
38,1975-03,-1.19,=
39,1975-04,3.25,=
40,1975-05,8.45,=
41,1975-06,9.45,=
42,1975-07,12.4,=
43,1975-08,13.5,=
44,1975-09,9.5,=
45,1975-10,3.8,=
46,1975-11,0.5,=
47,1975-12,-2.5,=
48,1976-01,-6.8,=
49,1976-02,-4.44,=
50,1976-03,-1.44,=
51,1976-04,0.0,=
52,1976-05,9.75,=
53,1976-06,10.75,=
54,1976-07,15.15,=
55,1976-08,12.95,=
56,1976-09,5.65,=
57,1976-10,4.75,=
58,1976-11,-0.9,=
59,1976-12,-5.2,=
60,1977-01,-3.35,=
61,1977-02,-5.85,=
62,1977-03,-2.6,=
63,1977-04,-0.25,=
64,1977-05,3.65,=
65,1977-06,10.6,=
66,1977-07,15.15,=
67,1977-08,15.5,=
68,1977-09,8.2,=
69,1977-10,5.0,=
70,1977-11,0.75,=
71,1977-12,-1.59,=
72,1978-01,-5.4,=
73,1978-02,-6.39,=
74,1978-03,-3.94,=
75,1978-04,1.74,=
76,1978-05,9.25,=
77,1978-06,13.75,=
78,1978-07,15.25,=
79,1978-08,12.75,=
80,1978-09,10.0,=
81,1978-10,2.75,=
