,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1871-01,-5.0,""""
1,1871-02,-4.0,""""
2,1871-03,-2.2,""""
3,1871-04,-3.9,""""
4,1871-05,0.7,""""
5,1871-06,5.1,""""
6,1871-07,10.4,""""
7,1871-08,9.0,""""
8,1871-09,5.0,""""
9,1871-10,1.6,""""
10,1871-11,-6.0,""""
11,1871-12,-10.7,""""
12,1872-01,-6.6,""""
13,1872-02,-7.9,""""
14,1872-03,-8.6,""""
15,1872-04,0.5,""""
16,1872-05,2.4,""""
17,1872-06,10.6,""""
18,1872-07,12.1,""""
19,1872-08,10.4,""""
20,1872-09,3.9,""""
21,1872-10,1.3,""""
22,1872-11,-4.8,""""
23,1872-12,-11.1,""""
24,1873-01,-9.3,""""
25,1873-02,-9.1,""""
26,1873-03,-5.4,""""
27,1873-04,-3.3,""""
28,1873-05,1.7,""""
29,1873-06,10.4,""""
30,1873-07,13.7,""""
31,1873-08,13.0,""""
32,1873-09,8.2,""""
33,1873-10,-0.9,""""
34,1873-11,-3.7,""""
35,1873-12,-7.8,""""
36,1874-01,-4.5,""""
37,1874-02,-6.2,""""
38,1874-03,-4.6,""""
39,1874-04,-0.6,""""
40,1874-05,2.3,""""
41,1874-06,6.7,""""
42,1874-07,10.4,""""
43,1874-08,11.3,""""
44,1874-09,6.8,""""
45,1874-10,3.8,""""
46,1874-11,-5.1,""""
47,1874-12,-10.2,""""
48,1875-01,-13.0,""""
49,1875-02,-8.39,""""
50,1875-03,-5.0,""""
51,1875-04,-2.7,""""
52,1875-05,6.3,""""
53,1875-06,9.0,""""
54,1875-07,12.4,""""
55,1875-08,10.1,""""
56,1875-09,5.9,""""
57,1875-10,0.7,""""
58,1875-11,-6.5,""""
59,1875-12,-9.39,""""
60,1876-01,-4.6,""""
61,1876-02,-5.2,""""
62,1876-03,-8.3,""""
63,1876-04,-2.09,""""
64,1876-05,1.9,""""
65,1876-06,10.9,""""
66,1876-07,15.0,""""
67,1876-08,11.3,""""
68,1876-09,6.8,""""
69,1876-10,2.1,""""
70,1876-11,-8.0,""""
71,1876-12,-10.5,""""
72,1877-01,-8.89,""""
73,1877-02,-13.5,""""
74,1877-03,-9.1,""""
75,1877-04,-4.5,""""
76,1877-05,2.6,""""
77,1877-06,8.3,""""
78,1877-07,12.1,""""
79,1877-08,8.8,""""
80,1877-09,4.5,""""
81,1877-10,-0.8,""""
82,1877-11,-1.5,""""
83,1877-12,-4.4,""""
84,1878-01,-5.1,""""
85,1878-02,-5.8,""""
86,1878-03,-6.4,""""
87,1878-04,-0.9,""""
88,1878-05,4.3,""""
89,1878-06,9.6,""""
90,1878-07,11.1,""""
91,1878-08,9.0,""""
92,1878-09,8.6,""""
93,1878-10,3.1,""""
94,1878-11,-5.7,""""
95,1878-12,-7.7,""""
96,1879-01,-5.6,""""
97,1879-02,-13.0,""""
98,1879-03,-5.6,""""
99,1879-04,-1.3,""""
100,1879-05,4.3,""""
101,1879-06,6.3,""""
102,1879-07,12.5,""""
103,1879-08,13.8,""""
104,1879-09,9.2,""""
105,1879-10,0.8,""""
106,1879-11,-5.7,""""
107,1879-12,-5.5,""""
108,1880-01,-3.0,""""
109,1880-02,-6.5,""""
110,1880-03,-5.1,""""
111,1880-04,-1.4,""""
112,1880-05,3.5,""""
113,1880-06,7.3,""""
114,1880-07,10.4,""""
115,1880-08,12.6,""""
116,1880-09,8.0,""""
117,1880-10,-4.4,""""
118,1880-11,-8.39,""""
119,1880-12,-10.9,""""
120,1881-01,-12.6,""""
121,1881-02,-12.7,""""
122,1881-03,-9.6,""""
123,1881-04,-3.4,""""
124,1881-05,0.5,""""
125,1881-06,6.3,""""
126,1881-07,11.5,""""
127,1881-08,11.6,""""
128,1881-09,6.4,""""
129,1881-10,1.2,""""
130,1881-11,-4.19,""""
131,1881-12,-4.6,""""
132,1882-01,-5.0,""""
133,1882-02,-6.8,""""
134,1882-03,-6.1,""""
135,1882-04,-0.9,""""
136,1882-05,3.9,""""
137,1882-06,7.7,""""
138,1882-07,14.0,""""
139,1882-08,13.6,""""
140,1882-09,8.6,""""
141,1882-10,3.7,""""
142,1882-11,-8.3,""""
143,1882-12,-10.6,""""
144,1883-01,-6.1,""""
145,1883-02,-4.69,""""
146,1883-03,-4.4,""""
147,1883-04,1.8,""""
148,1883-05,6.2,""""
149,1883-06,12.1,""""
150,1883-07,12.1,""""
151,1883-08,11.6,""""
152,1883-09,6.6,""""
153,1883-10,0.5,""""
154,1883-11,-1.2,""""
155,1883-12,-4.69,""""
156,1884-01,-9.2,""""
157,1884-02,-3.1,""""
158,1884-03,-2.3,""""
159,1884-04,-3.0,""""
160,1884-05,1.7,""""
161,1884-06,9.1,""""
162,1884-07,11.3,""""
163,1884-08,11.8,""""
164,1884-09,8.2,""""
165,1884-10,1.9,""""
166,1884-11,-2.7,""""
167,1884-12,-9.0,""""
168,1885-01,-9.7,""""
169,1885-02,-6.7,""""
170,1885-03,-5.0,""""
171,1885-04,-1.2,""""
172,1885-05,1.2,""""
173,1885-06,6.7,""""
174,1885-07,11.9,""""
175,1885-08,10.6,""""
176,1885-09,5.3,""""
177,1885-10,-3.6,""""
178,1885-11,-5.9,""""
179,1885-12,-9.2,""""
180,1886-01,-13.8,""""
181,1886-02,-6.2,""""
182,1886-03,-1.0,""""
183,1886-04,-0.6,""""
184,1886-05,4.6,""""
185,1886-06,10.3,""""
186,1886-07,13.9,""""
187,1886-08,13.2,""""
188,1886-09,6.2,""""
189,1886-10,4.0,""""
190,1886-11,-1.7,""""
191,1886-12,-10.6,""""
192,1887-01,-3.1,""""
193,1887-02,-1.3,""""
194,1887-03,-5.2,""""
195,1887-04,-0.7,""""
196,1887-05,5.2,""""
197,1887-06,7.6,""""
198,1887-07,11.6,""""
199,1887-08,11.2,""""
200,1887-09,8.2,""""
201,1887-10,-1.8,""""
202,1887-11,-5.9,""""
203,1887-12,-10.7,""""
204,1888-01,-8.0,""""
205,1888-02,-9.3,""""
206,1888-03,-10.6,""""
207,1888-04,-3.4,""""
208,1888-05,3.2,""""
209,1888-06,7.2,""""
210,1888-07,11.7,""""
211,1888-08,11.5,""""
212,1888-09,5.8,""""
213,1888-10,-1.9,""""
214,1888-11,-3.4,""""
215,1888-12,-5.7,""""
216,1889-01,-4.6,""""
217,1889-02,-9.3,""""
218,1889-03,-8.3,""""
219,1889-04,-0.5,""""
220,1889-05,6.2,""""
221,1889-06,11.1,""""
222,1889-07,11.4,""""
223,1889-08,11.6,""""
224,1889-09,7.8,""""
225,1889-10,3.5,""""
226,1889-11,-0.8,""""
227,1889-12,-2.09,""""
228,1890-01,-7.5,""""
229,1890-02,-3.3,""""
230,1890-03,-4.1,""""
231,1890-04,-1.1,""""
232,1890-05,5.0,""""
233,1890-06,10.2,""""
234,1890-07,11.7,""""
235,1890-08,12.1,""""
236,1890-09,8.3,""""
237,1890-10,-1.1,""""
238,1890-11,-5.1,""""
239,1890-12,-0.9,""""
240,1891-01,-7.5,""""
241,1891-02,-1.7,""""
242,1891-03,-7.0,""""
243,1891-04,-0.2,""""
244,1891-05,2.4,""""
245,1891-06,5.7,""""
246,1891-07,11.4,""""
247,1891-08,9.5,""""
248,1891-09,5.3,""""
249,1891-10,1.7,""""
250,1891-11,-4.19,""""
251,1891-12,-6.3,""""
252,1892-01,-13.0,""""
253,1892-02,-9.8,""""
254,1892-03,-1.9,""""
255,1892-04,-3.3,""""
256,1892-05,1.6,""""
257,1892-06,6.2,""""
258,1892-07,9.9,""""
259,1892-08,9.1,""""
260,1892-09,6.6,""""
261,1892-10,-2.9,""""
262,1892-11,-1.2,""""
263,1892-12,-13.2,""""
264,1893-01,-13.6,""""
265,1893-02,-14.2,""""
266,1893-03,-8.39,""""
267,1893-04,-2.3,""""
268,1893-05,3.4,""""
269,1893-06,8.2,""""
270,1893-07,9.6,""""
271,1893-08,9.9,""""
272,1893-09,2.9,""""
273,1893-10,1.0,""""
274,1893-11,-6.4,""""
275,1893-12,-5.0,""""
276,1894-01,-5.3,""""
277,1894-02,-7.1,""""
278,1894-03,-4.5,""""
279,1894-04,3.6,""""
280,1894-05,5.8,""""
281,1894-06,14.3,""""
282,1894-07,12.6,""""
283,1894-08,11.9,""""
284,1894-09,4.5,""""
285,1894-10,-1.0,""""
286,1894-11,-3.2,""""
287,1894-12,-6.3,""""
288,1895-01,-10.4,""""
289,1895-02,-8.39,""""
290,1895-03,-9.39,""""
291,1895-04,-1.0,""""
292,1895-05,6.1,""""
293,1895-06,10.6,""""
294,1895-07,11.8,""""
295,1895-08,10.4,""""
296,1895-09,6.8,""""
297,1895-10,0.1,""""
298,1895-11,-2.6,""""
299,1895-12,-3.6,""""
300,1896-01,-7.1,""""
301,1896-02,-4.5,""""
302,1896-03,-5.5,""""
303,1896-04,0.1,""""
304,1896-05,4.7,""""
305,1896-06,9.1,""""
306,1896-07,14.3,""""
307,1896-08,10.7,""""
308,1896-09,7.1,""""
309,1896-10,-0.1,""""
310,1896-11,-4.9,""""
311,1896-12,-6.9,""""
312,1897-01,-6.6,""""
313,1897-02,-11.4,""""
314,1897-03,-9.89,""""
315,1897-04,2.0,""""
316,1897-05,7.7,""""
317,1897-06,8.1,""""
318,1897-07,10.6,""""
319,1897-08,11.2,""""
320,1897-09,7.6,""""
321,1897-10,3.8,""""
322,1897-11,-4.5,""""
323,1897-12,-7.1,""""
324,1898-01,-4.9,""""
325,1898-02,-11.2,""""
326,1898-03,-7.9,""""
327,1898-04,-0.5,""""
328,1898-05,5.5,""""
329,1898-06,9.7,""""
330,1898-07,12.4,""""
331,1898-08,11.1,""""
332,1898-09,8.1,""""
333,1898-10,1.3,""""
334,1898-11,-4.0,""""
335,1898-12,-11.2,""""
336,1899-01,-13.7,""""
337,1899-02,-7.8,""""
338,1899-03,-11.6,""""
339,1899-04,-5.3,""""
340,1899-05,0.9,""""
341,1899-06,9.0,""""
342,1899-07,13.5,""""
343,1899-08,8.8,""""
344,1899-09,7.3,""""
345,1899-10,-0.5,""""
346,1899-11,-1.4,""""
347,1899-12,-8.3,""""
348,1900-01,-8.89,""""
349,1900-02,-15.1,""""
350,1900-03,-5.1,""""
351,1900-04,-2.5,""""
352,1900-05,2.4,""""
353,1900-06,7.0,""""
354,1900-07,8.3,""""
355,1900-08,10.6,""""
356,1900-09,5.2,""""
357,1900-10,-0.2,""""
358,1900-11,-1.1,""""
359,1900-12,-11.2,""""
360,1901-01,-2.09,""""
361,1901-02,-10.3,""""
362,1901-03,-4.8,""""
363,1901-04,-0.6,""""
364,1901-05,3.3,""""
365,1901-06,10.6,""""
366,1901-07,13.0,""""
367,1901-08,11.3,""""
368,1901-09,9.0,""""
369,1901-10,5.7,""""
370,1901-11,-5.5,""""
371,1901-12,-11.1,""""
372,1902-01,-10.2,""""
373,1902-02,-10.1,""""
374,1902-03,-10.0,""""
375,1902-04,-1.8,""""
376,1902-05,2.1,""""
377,1902-06,5.9,""""
378,1902-07,9.4,""""
379,1902-08,10.8,""""
380,1902-09,5.7,""""
381,1902-10,-1.9,""""
382,1902-11,-2.9,""""
383,1902-12,-2.4,""""
384,1903-01,-6.6,""""
385,1903-02,-5.0,""""
386,1903-03,-1.5,""""
387,1903-04,-1.5,""""
388,1903-05,4.1,""""
389,1903-06,8.2,""""
390,1903-07,9.9,""""
391,1903-08,11.6,""""
392,1903-09,6.3,""""
393,1903-10,-3.6,""""
394,1903-11,-3.9,""""
395,1903-12,-4.0,""""
396,1904-01,-3.7,""""
397,1904-02,-13.5,""""
398,1904-03,-4.0,""""
399,1904-04,1.7,""""
400,1904-05,3.3,""""
401,1904-06,8.5,""""
402,1904-07,11.0,""""
403,1904-08,10.6,""""
404,1904-09,8.1,""""
