,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1949-01,, 
1,1949-02,, 
2,1949-03,, 
3,1949-04,, 
4,1949-05,, 
5,1949-06,, 
6,1949-07,, 
7,1949-08,, 
8,1949-09,, 
9,1949-10,-12.7,[
10,1949-11,-28.4,[
11,1949-12,-29.3,[
12,1950-01,-26.2,[
13,1950-02,-31.1,[
14,1950-03,-32.5,[
15,1950-04,-24.5,[
16,1950-05,-10.0,[
17,1950-06,6.5,[
18,1950-07,9.0,[
19,1950-08,5.7,[
20,1950-09,0.4,[
21,1950-10,-12.4,[
22,1950-11,-25.3,[
23,1950-12,-36.4,[
24,1951-01,-36.8,[
25,1951-02,-35.0,[
26,1951-03,-36.0,[
27,1951-04,-20.2,[
28,1951-05,, 
29,1951-06,10.0,[
30,1951-07,11.7,[
31,1951-08,7.7,[
32,1951-09,2.5,[
33,1951-10,-10.8,[
34,1951-11,-28.4,[
35,1951-12,-28.0,[
36,1952-01,-38.9,[
37,1952-02,-37.3,[
38,1952-03,-25.8,[
39,1952-04,-18.1,[
40,1952-05,-7.6,[
41,1952-06,8.0,[
42,1952-07,13.2,[
43,1952-08,11.5,[
44,1952-09,2.5,[
45,1952-10,-9.0,[
46,1952-11,-26.7,[
47,1952-12,-31.0,[
48,1953-01,-31.9,[
49,1953-02,-35.4,[
50,1953-03,-29.2,[
51,1953-04,-19.29,[
52,1953-05,-6.6,[
53,1953-06,10.8,[
54,1953-07,12.6,[
55,1953-08,10.1,[
56,1953-09,2.6,[
57,1953-10,-8.39,[
58,1953-11,-36.7,[
59,1953-12,-35.2,[
60,1954-01,-34.09,[
61,1954-02,-34.59,[
62,1954-03,-29.1,[
63,1954-04,-7.8,[
64,1954-05,-2.4,[
65,1954-06,6.0,[
66,1954-07,10.6,[
67,1954-08,6.1,[
68,1954-09,1.1,[
69,1954-10,-10.0,[
70,1954-11,-23.9,[
71,1954-12,-34.4,[
72,1955-01,-34.09,[
73,1955-02,-32.4,[
74,1955-03,-30.4,[
75,1955-04,-19.6,[
76,1955-05,-5.7,[
77,1955-06,6.0,[
78,1955-07,9.4,[
79,1955-08,10.4,[
80,1955-09,1.2,[
81,1955-10,-15.1,[
82,1955-11,-27.6,[
83,1955-12,-25.9,[
84,1956-01,-30.0,[
85,1956-02,-31.3,[
86,1956-03,-28.1,[
87,1956-04,-22.9,[
88,1956-05,-4.4,[
89,1956-06,9.6,[
90,1956-07,12.4,[
91,1956-08,5.5,[
92,1956-09,1.1,[
93,1956-10,-12.3,[
94,1956-11,-25.9,[
95,1956-12,-31.2,[
96,1957-01,-33.9,[
97,1957-02,-36.8,[
98,1957-03,-30.0,[
99,1957-04,-18.7,[
100,1957-05,-1.7,[
101,1957-06,9.1,[
102,1957-07,10.3,[
103,1957-08,6.9,[
104,1957-09,3.3,[
105,1957-10,-10.1,[
106,1957-11,-23.1,[
107,1957-12,-35.2,[
108,1958-01,-32.09,[
109,1958-02,-35.7,[
