,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1975-01,, 
1,1975-02,, 
2,1975-03,, 
3,1975-04,, 
4,1975-05,, 
5,1975-06,, 
6,1975-07,, 
7,1975-08,5.51,E
8,1975-09,1.14,E
9,1975-10,-7.13,E
10,1975-11,-10.52,E
11,1975-12,-19.01,E
12,1976-01,-14.68,E
13,1976-02,-12.47,E
14,1976-03,-7.51,E
15,1976-04,-10.74,E
16,1976-05,-2.05,E
17,1976-06,3.62,E
18,1976-07,6.3,E
19,1976-08,5.07,E
20,1976-09,-0.58,E
21,1976-10,-3.72,E
22,1976-11,-7.52,E
23,1976-12,-7.82,E
24,1977-01,-10.82,E
25,1977-02,-17.37,E
26,1977-03,-23.15,E
27,1977-04,-15.7,E
28,1977-05,-4.19,E
29,1977-06,1.98,E
30,1977-07,6.5,E
31,1977-08,5.35,E
32,1977-09,0.4,E
33,1977-10,-4.2,E
34,1977-11,-6.53,E
35,1977-12,-8.92,E
36,1978-01,-20.29,E
37,1978-02,-19.93,E
38,1978-03,-17.24,E
39,1978-04,-9.97,E
40,1978-05,-3.37,E
41,1978-06,2.21,E
42,1978-07,6.57,E
43,1978-08,5.48,E
44,1978-09,-1.49,E
45,1978-10,-5.53,E
46,1978-11,-10.75,E
47,1978-12,-12.23,E
48,1979-01,-19.9,E
49,1979-02,-20.25,E
50,1979-03,-16.43,E
51,1979-04,-17.24,E
52,1979-05,-7.5,E
53,1979-06,-0.06,E
54,1979-07,8.43,E
55,1979-08,5.32,E
56,1979-09,1.25,E
57,1979-10,-4.03,E
58,1979-11,-6.42,E
59,1979-12,-12.2,E
60,1980-01,-16.5,E
61,1980-02,-14.43,E
62,1980-03,-14.9,E
63,1980-04,-9.47,E
64,1980-05,-2.93,E
65,1980-06,3.82,E
66,1980-07,6.46,E
67,1980-08,4.67,E
68,1980-09,1.24,E
69,1980-10,-7.1,E
70,1980-11,-14.53,E
71,1980-12,-18.41,E
72,1981-01,-21.54,E
73,1981-02,-12.39,E
74,1981-03,-19.29,E
75,1981-04,-12.07,E
76,1981-05,-4.83,E
77,1981-06,0.38,E
78,1981-07,5.8,E
79,1981-08,5.89,E
80,1981-09,1.51,E
81,1981-10,-3.59,E
82,1981-11,-7.43,E
83,1981-12,-14.81,E
84,1982-01,-19.47,E
85,1982-02,-15.46,E
86,1982-03,-8.71,E
87,1982-04,-9.94,E
88,1982-05,-3.8,E
89,1982-06,1.32,E
90,1982-07,5.63,E
91,1982-08,4.29,E
92,1982-09,-2.62,E
93,1982-10,-5.27,E
94,1982-11,-8.42,E
95,1982-12,-13.29,E
96,1983-01,-10.81,E
97,1983-02,-16.1,E
98,1983-03,-9.84,E
99,1983-04,-11.48,E
100,1983-05,-3.21,E
101,1983-06,1.53,E
102,1983-07,6.46,E
103,1983-08,4.52,E
104,1983-09,1.47,E
105,1983-10,-6.23,E
106,1983-11,-14.23,E
107,1983-12,-17.04,E
108,1984-01,-8.87,E
109,1984-02,-9.22,E
110,1984-03,-14.61,E
111,1984-04,-7.86,E
112,1984-05,-2.37,E
113,1984-06,3.08,E
114,1984-07,7.09,E
115,1984-08,5.33,E
116,1984-09,1.76,E
117,1984-10,-2.43,E
118,1984-11,-4.62,E
119,1984-12,-2.49,E
120,1985-01,-12.54,E
121,1985-02,-9.57,E
122,1985-03,-11.93,E
123,1985-04,-13.54,E
124,1985-05,-3.29,E
125,1985-06,3.48,E
126,1985-07,7.62,E
127,1985-08,5.04,E
128,1985-09,0.65,E
129,1985-10,-6.87,E
130,1985-11,-9.39,E
131,1985-12,-13.59,E
132,1986-01,-15.95,E
133,1986-02,-22.41,E
134,1986-03,-14.38,E
135,1986-04,-14.59,E
136,1986-05,-2.84,E
137,1986-06,4.23,E
138,1986-07,7.0,E
139,1986-08,5.57,E
140,1986-09,-1.27,E
141,1986-10,-4.07,E
142,1986-11,-9.15,E
143,1986-12,-11.44,E
144,1987-01,-11.8,E
145,1987-02,-18.17,E
146,1987-03,-14.06,E
147,1987-04,-9.21,E
148,1987-05,-3.19,E
149,1987-06,2.41,E
150,1987-07,5.2,E
151,1987-08,4.44,E
152,1987-09,-1.12,E
153,1987-10,-6.52,E
154,1987-11,-10.05,E
155,1987-12,-17.82,E
156,1988-01,-17.08,E
157,1988-02,-14.99,E
158,1988-03,-19.91,E
159,1988-04,-18.15,E
160,1988-05,-2.2,E
161,1988-06,3.45,E
162,1988-07,7.07,E
163,1988-08,5.92,E
164,1988-09,-1.23,E
165,1988-10,-9.41,E
166,1988-11,-16.85,E
167,1988-12,-22.41,E
168,1989-01,-18.72,E
169,1989-02,-19.18,E
170,1989-03,-15.36,E
171,1989-04,-7.71,E
172,1989-05,-1.24,E
173,1989-06,2.87,E
174,1989-07,5.77,E
175,1989-08,5.37,E
176,1989-09,1.39,E
177,1989-10,-5.57,E
178,1989-11,-9.14,E
179,1989-12,-15.32,E
180,1990-01,-6.23,E
181,1990-02,-9.88,E
182,1990-03,-15.46,E
183,1990-04,-8.05,E
184,1990-05,-3.81,E
185,1990-06,3.06,E
186,1990-07,7.04,E
187,1990-08,5.83,E
188,1990-09,5.48,E
189,1990-10,-2.39,E
190,1990-11,-11.93,E
191,1990-12,-8.86,E
192,1991-01,-12.33,E
193,1991-02,-9.19,E
194,1991-03,-8.32,E
195,1991-04,-11.82,E
196,1991-05,-3.49,E
197,1991-06,2.9,E
198,1991-07,5.99,E
199,1991-08,6.7,E
200,1991-09,0.77,E
201,1991-10,-5.28,E
202,1991-11,-11.65,E
203,1991-12,-12.75,E
204,1992-01,-12.61,E
205,1992-02,-18.0,E
206,1992-03,-11.66,E
207,1992-04,-6.75,E
208,1992-05,-2.23,E
209,1992-06,3.53,E
210,1992-07,6.48,E
211,1992-08,4.85,E
212,1992-09,3.09,E
213,1992-10,-8.25,E
214,1992-11,-6.75,E
215,1992-12,-12.1,E
216,1993-01,-17.1,E
217,1993-02,-16.67,E
218,1993-03,-16.73,E
219,1993-04,-14.63,E
220,1993-05,-3.59,E
221,1993-06,2.77,E
222,1993-07,8.52,E
223,1993-08,6.88,E
224,1993-09,0.09,E
225,1993-10,-8.4,E
226,1993-11,-2.54,E
227,1993-12,-10.95,E
228,1994-01,-16.69,E
229,1994-02,-16.09,E
230,1994-03,-9.84,E
231,1994-04,-6.53,E
232,1994-05,-3.55,E
233,1994-06,3.46,E
234,1994-07,5.58,E
235,1994-08,3.77,E
236,1994-09,0.61,E
237,1994-10,-8.82,E
238,1994-11,-14.15,E
239,1994-12,-7.99,E
240,1995-01,-16.55,E
241,1995-02,-14.37,E
242,1995-03,-15.03,E
243,1995-04,-7.03,E
244,1995-05,-2.28,E
245,1995-06,3.79,E
246,1995-07,6.65,E
247,1995-08,5.73,E
248,1995-09,2.31,E
249,1995-10,-6.12,E
250,1995-11,-14.28,E
251,1995-12,-14.24,E
252,1996-01,-9.53,E
253,1996-02,-17.37,E
254,1996-03,-6.78,E
255,1996-04,-9.63,E
256,1996-05,-4.53,E
257,1996-06,2.75,E
258,1996-07,5.77,E
259,1996-08,5.49,E
260,1996-09,1.1,E
261,1996-10,-3.83,E
262,1996-11,-5.16,E
263,1996-12,-15.91,E
264,1997-01,-17.91,E
265,1997-02,-16.14,E
266,1997-03,-12.25,E
267,1997-04,-13.83,E
268,1997-05,-3.06,E
269,1997-06,2.96,E
270,1997-07,5.79,E
271,1997-08,5.09,E
272,1997-09,0.73,E
273,1997-10,-4.96,E
274,1997-11,-8.27,E
275,1997-12,-9.95,E
276,1998-01,-20.02,E
277,1998-02,-19.83,E
278,1998-03,-13.39,E
279,1998-04,-12.61,E
280,1998-05,-5.3,E
281,1998-06,2.96,E
282,1998-07,8.97,E
283,1998-08,7.27,E
284,1998-09,0.62,E
285,1998-10,-3.69,E
286,1998-11,-5.49,E
287,1998-12,-11.69,E
288,1999-01,-10.19,E
