,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1917-01,, 
1,1917-02,, 
2,1917-03,, 
3,1917-04,, 
4,1917-05,1.86,E
5,1917-06,12.02,E
6,1917-07,11.84,E
7,1917-08,14.68,E
8,1917-09,5.51,E
9,1917-10,-1.59,E
10,1917-11,-10.04,E
11,1917-12,-15.2,E
12,1918-01,-20.87,E
13,1918-02,-9.77,E
14,1918-03,-5.18,E
15,1918-04,-0.88,E
16,1918-05,5.09,E
17,1918-06,10.07,E
18,1918-07,14.83,E
19,1918-08,9.95,E
20,1918-09,5.58,E
21,1918-10,0.49,E
22,1918-11,-1.18,E
23,1918-12,-13.03,E
24,1919-01,-11.54,E
25,1919-02,-12.86,E
26,1919-03,-9.26,E
27,1919-04,-3.72,E
28,1919-05,6.72,E
29,1919-06,11.55,E
30,1919-07,16.17,E
31,1919-08,9.57,E
32,1919-09,5.74,E
33,1919-10,-2.12,E
34,1919-11,-12.47,E
35,1919-12,-17.53,E
36,1920-01,-11.58,E
37,1920-02,-7.77,E
38,1920-03,-0.91,E
39,1920-04,0.81,E
40,1920-05,6.78,E
41,1920-06,9.79,E
42,1920-07,14.69,E
43,1920-08,10.18,E
44,1920-09,7.91,E
45,1920-10,0.35,E
46,1920-11,-5.27,E
47,1920-12,-10.24,E
48,1921-01,-13.64,E
49,1921-02,-10.77,E
50,1921-03,-4.97,E
51,1921-04,2.46,E
52,1921-05,6.58,E
53,1921-06,8.89,E
54,1921-07,12.05,E
55,1921-08,11.08,E
56,1921-09,5.51,E
57,1921-10,-2.98,E
58,1921-11,-11.77,E
59,1921-12,-12.52,E
60,1922-01,-19.96,E
61,1922-02,-16.44,E
62,1922-03,-9.72,E
63,1922-04,-1.64,E
64,1922-05,5.45,E
65,1922-06,10.66,E
66,1922-07,14.32,E
67,1922-08,10.98,E
68,1922-09,6.09,E
69,1922-10,-0.24,E
70,1922-11,-7.86,E
71,1922-12,-14.21,E
72,1923-01,-10.07,E
73,1923-02,-15.68,E
74,1923-03,-5.86,E
75,1923-04,-3.92,E
76,1923-05,2.67,E
77,1923-06,5.4,E
78,1923-07,11.77,E
79,1923-08,9.21,E
80,1923-09,5.54,E
81,1923-10,-1.02,E
82,1923-11,-7.8,E
83,1923-12,-13.42,E
84,1924-01,-13.23,E
85,1924-02,-16.9,E
86,1924-03,-10.39,E
87,1924-04,-3.16,E
88,1924-05,3.89,E
89,1924-06,7.28,E
90,1924-07,14.19,E
91,1924-08,12.51,E
92,1924-09,7.13,E
93,1924-10,1.97,E
94,1924-11,-4.89,E
95,1924-12,-7.6,E
96,1925-01,-5.01,E
97,1925-02,-11.64,E
98,1925-03,-10.67,E
99,1925-04,-0.41,E
100,1925-05,3.15,E
101,1925-06,9.02,E
102,1925-07,15.37,E
103,1925-08,11.42,E
104,1925-09,6.47,E
105,1925-10,-3.2,E
106,1925-11,-12.42,E
107,1925-12,-14.55,E
108,1926-01,-16.73,E
109,1926-02,-17.04,E
110,1926-03,-6.14,E
111,1926-04,-2.41,E
112,1926-05,2.47,E
113,1926-06,9.44,E
114,1926-07,12.36,E
115,1926-08,11.79,E
116,1926-09,5.54,E
117,1926-10,-4.91,E
118,1926-11,-7.43,E
119,1926-12,-15.35,E
120,1927-01,-16.05,E
121,1927-02,-9.81,E
122,1927-03,-7.68,E
123,1927-04,-3.5,E
124,1927-05,1.8,E
125,1927-06,8.85,E
126,1927-07,15.75,E
127,1927-08,11.82,E
128,1927-09,4.95,E
129,1927-10,-2.63,E
130,1927-11,-15.99,E
131,1927-12,-12.88,E
132,1928-01,-14.71,E
133,1928-02,-9.67,E
134,1928-03,-5.02,E
135,1928-04,-1.76,E
136,1928-05,3.04,E
137,1928-06,8.14,E
138,1928-07,9.23,E
139,1928-08,11.08,E
140,1928-09,5.57,E
141,1928-10,-1.96,E
142,1928-11,-9.8,E
143,1928-12,-15.14,E
144,1929-01,-12.28,E
145,1929-02,-14.98,E
146,1929-03,-3.24,E
147,1929-04,-5.55,E
148,1929-05,4.55,E
149,1929-06,8.6,E
150,1929-07,10.11,E
151,1929-08,8.77,E
152,1929-09,6.17,E
153,1929-10,-1.26,E
154,1929-11,-7.25,E
155,1929-12,-4.36,E
156,1930-01,-10.22,E
157,1930-02,-8.02,E
158,1930-03,-6.74,E
159,1930-04,-0.47,E
160,1930-05,5.46,E
161,1930-06,10.62,E
162,1930-07,15.11,E
163,1930-08,13.39,E
164,1930-09,4.57,E
165,1930-10,-0.76,E
166,1930-11,-9.22,E
167,1930-12,-11.14,E
168,1931-01,-15.73,E
169,1931-02,-16.71,E
170,1931-03,-9.34,E
171,1931-04,-1.53,E
172,1931-05,5.38,E
173,1931-06,6.9,E
174,1931-07,14.17,E
175,1931-08,10.31,E
176,1931-09,4.02,E
177,1931-10,-2.53,E
178,1931-11,-4.24,E
179,1931-12,-7.63,E
180,1932-01,-7.97,E
181,1932-02,-5.1,E
182,1932-03,-6.26,E
183,1932-04,-2.56,E
184,1932-05,3.13,E
185,1932-06,8.36,E
186,1932-07,13.46,E
187,1932-08,10.21,E
188,1932-09,3.6,E
189,1932-10,-4.48,E
190,1932-11,-6.17,E
191,1932-12,-6.16,E
192,1933-01,-8.79,E
193,1933-02,-15.58,E
194,1933-03,-8.07,E
195,1933-04,-3.77,E
196,1933-05,2.26,E
197,1933-06,12.03,E
198,1933-07,14.43,E
199,1933-08,10.86,E
200,1933-09,6.84,E
201,1933-10,-1.64,E
202,1933-11,-9.33,E
203,1933-12,-6.61,E
204,1934-01,-5.04,E
205,1934-02,-8.9,E
206,1934-03,-8.11,E
207,1934-04,-3.79,E
208,1934-05,4.38,E
209,1934-06,8.17,E
210,1934-07,15.05,E
211,1934-08,12.84,E
212,1934-09,8.94,E
213,1934-10,-0.07,E
214,1934-11,-6.45,E
215,1934-12,-12.31,E
216,1935-01,-11.34,E
217,1935-02,-12.95,E
218,1935-03,-7.6,E
219,1935-04,-2.15,E
220,1935-05,1.03,E
221,1935-06,8.51,E
222,1935-07,11.93,E
223,1935-08,9.75,E
224,1935-09,4.0,E
225,1935-10,-1.07,E
226,1935-11,-6.21,E
227,1935-12,-8.54,E
228,1936-01,-16.18,E
229,1936-02,-19.02,E
230,1936-03,-9.95,E
231,1936-04,-3.52,E
232,1936-05,4.84,E
233,1936-06,12.01,E
234,1936-07,14.02,E
235,1936-08,11.35,E
236,1936-09,6.46,E
237,1936-10,-2.57,E
238,1936-11,-3.78,E
239,1936-12,-5.25,E
240,1937-01,-10.53,E
241,1937-02,-18.44,E
242,1937-03,-11.05,E
243,1937-04,1.79,E
244,1937-05,6.78,E
245,1937-06,11.5,E
246,1937-07,16.62,E
247,1937-08,14.06,E
248,1937-09,5.04,E
249,1937-10,1.84,E
250,1937-11,-6.7,E
251,1937-12,-12.57,E
252,1938-01,-12.47,E
253,1938-02,-4.57,E
254,1938-03,-5.46,E
255,1938-04,-2.59,E
256,1938-05,3.0,E
257,1938-06,9.46,E
258,1938-07,14.88,E
259,1938-08,11.38,E
260,1938-09,6.65,E
261,1938-10,1.99,E
262,1938-11,-6.3,E
263,1938-12,-8.62,E
264,1939-01,-14.39,E
265,1939-02,-7.96,E
266,1939-03,-8.71,E
267,1939-04,-4.62,E
268,1939-05,2.14,E
269,1939-06,7.92,E
270,1939-07,13.23,E
271,1939-08,12.27,E
272,1939-09,5.36,E
273,1939-10,-1.04,E
274,1939-11,-6.35,E
275,1939-12,-15.86,E
276,1940-01,-16.57,E
277,1940-02,-14.65,E
278,1940-03,-13.99,E
279,1940-04,-3.54,E
280,1940-05,6.56,E
281,1940-06,10.64,E
282,1940-07,11.37,E
283,1940-08,9.7,E
284,1940-09,5.37,E
285,1940-10,0.37,E
286,1940-11,-10.34,E
287,1940-12,-12.84,E
288,1941-01,-14.05,E
289,1941-02,-16.64,E
290,1941-03,-9.4,E
291,1941-04,-4.96,E
292,1941-05,2.3,E
293,1941-06,8.63,E
294,1941-07,15.18,E
295,1941-08,10.24,E
296,1941-09,5.41,E
297,1941-10,-1.77,E
298,1941-11,-7.97,E
299,1941-12,-16.29,E
300,1942-01,-20.36,E
301,1942-02,-16.77,E
302,1942-03,-11.59,E
303,1942-04,-1.75,E
304,1942-05,2.3,E
305,1942-06,9.23,E
306,1942-07,12.23,E
307,1942-08,10.14,E
308,1942-09,5.0,E
309,1942-10,-1.78,E
310,1942-11,-4.27,E
311,1942-12,-14.0,E
312,1943-01,-18.79,E
313,1943-02,-8.91,E
314,1943-03,-4.31,E
315,1943-04,-3.04,E
316,1943-05,3.38,E
317,1943-06,9.94,E
318,1943-07,12.63,E
319,1943-08,9.49,E
320,1943-09,5.79,E
321,1943-10,-0.32,E
322,1943-11,-5.44,E
323,1943-12,-6.61,E
324,1944-01,-12.36,E
325,1944-02,-9.93,E
326,1944-03,-7.44,E
327,1944-04,-5.65,E
328,1944-05,1.49,E
329,1944-06,7.95,E
330,1944-07,11.91,E
331,1944-08,10.57,E
332,1944-09,5.61,E
333,1944-10,1.84,E
334,1944-11,-7.71,E
335,1944-12,-6.72,E
336,1945-01,-16.64,E
337,1945-02,-11.12,E
338,1945-03,-6.31,E
339,1945-04,-0.05,E
340,1945-05,3.27,E
341,1945-06,9.39,E
342,1945-07,14.25,E
343,1945-08,12.24,E
344,1945-09,5.1,E
345,1945-10,-2.63,E
346,1945-11,-3.95,E
347,1945-12,-16.0,E
348,1946-01,-8.69,E
349,1946-02,-17.99,E
350,1946-03,-10.76,E
351,1946-04,-1.72,E
352,1946-05,3.67,E
