,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1976-01,-9.59,E
1,1976-02,-4.32,E
2,1976-03,-5.25,E
3,1976-04,2.04,E
4,1976-05,9.19,E
5,1976-06,13.76,E
6,1976-07,15.57,E
7,1976-08,15.03,E
8,1976-09,6.8,E
9,1976-10,3.13,E
10,1976-11,-0.38,E
11,1976-12,-8.34,E
12,1977-01,-6.32,E
13,1977-02,-8.49,E
14,1977-03,-1.19,E
15,1977-04,-0.47,E
16,1977-05,8.25,E
17,1977-06,13.78,E
18,1977-07,13.3,E
19,1977-08,13.24,E
20,1977-09,8.2,E
21,1977-10,5.6,E
22,1977-11,-0.58,E
23,1977-12,-3.94,E
24,1978-01,-4.71,E
25,1978-02,-9.89,E
26,1978-03,-3.08,E
27,1978-04,1.16,E
28,1978-05,9.65,E
29,1978-06,13.53,E
30,1978-07,13.8,E
31,1978-08,12.86,E
32,1978-09,7.94,E
33,1978-10,4.89,E
34,1978-11,1.65,E
35,1978-12,-11.44,E
36,1979-01,-10.58,E
37,1979-02,-10.3,E
38,1979-03,-2.28,E
39,1979-04,2.08,E
40,1979-05,7.98,E
41,1979-06,15.09,E
42,1979-07,13.82,E
43,1979-08,12.75,E
44,1979-09,9.55,E
45,1979-10,2.95,E
46,1979-11,-0.94,E
47,1979-12,-6.03,E
48,1980-01,-9.4,E
49,1980-02,-9.3,E
50,1980-03,-5.73,E
51,1980-04,3.51,E
52,1980-05,8.51,E
53,1980-06,14.95,E
54,1980-07,15.55,E
55,1980-08,13.71,E
56,1980-09,10.98,E
57,1980-10,2.4,E
58,1980-11,-5.26,E
59,1980-12,-3.71,E
60,1981-01,-7.41,E
61,1981-02,-6.33,E
62,1981-03,-4.21,E
63,1981-04,2.55,E
64,1981-05,10.05,E
65,1981-06,11.86,E
66,1981-07,14.66,E
67,1981-08,13.27,E
68,1981-09,10.09,E
69,1981-10,3.99,E
70,1981-11,-1.79,E
71,1981-12,-12.22,E
72,1982-01,-12.38,E
73,1982-02,-5.47,E
74,1982-03,-0.19,E
75,1982-04,3.09,E
76,1982-05,8.11,E
77,1982-06,, 
78,1982-07,16.2,E
79,1982-08,14.77,E
80,1982-09,10.04,E
81,1982-10,4.77,E
82,1982-11,1.74,E
83,1982-12,-2.94,E
84,1983-01,-2.0,E
85,1983-02,-6.49,E
86,1983-03,-1.56,E
87,1983-04,3.29,E
88,1983-05,, 
89,1983-06,, 
90,1983-07,16.13,E
91,1983-08,15.16,E
92,1983-09,9.6,E
93,1983-10,, 
94,1983-11,, 
95,1983-12,, 
96,1984-01,, 
97,1984-02,, 
98,1984-03,, 
99,1984-04,, 
100,1984-05,, 
101,1984-06,, 
102,1984-07,13.71,E
