,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1923-01,-7.7,=
1,1923-02,-10.9,=
2,1923-03,-5.6,=
3,1923-04,-5.3,=
4,1923-05,0.9,=
5,1923-06,3.4,=
6,1923-07,9.5,=
7,1923-08,8.3,=
8,1923-09,4.9,=
9,1923-10,-1.2,=
10,1923-11,-6.0,=
11,1923-12,-9.8,=
12,1924-01,-10.3,=
13,1924-02,-13.4,=
14,1924-03,-10.7,=
15,1924-04,-4.9,=
16,1924-05,1.6,=
17,1924-06,6.0,=
18,1924-07,14.0,=
19,1924-08,12.2,=
20,1924-09,6.5,=
21,1924-10,1.8,=
22,1924-11,-3.0,=
23,1924-12,-4.5,=
24,1925-01,-3.4,=
25,1925-02,-8.6,=
26,1925-03,-11.0,=
27,1925-04,-1.8,=
28,1925-05,2.1,=
29,1925-06,7.6,=
30,1925-07,14.1,=
31,1925-08,11.0,=
32,1925-09,6.2,=
33,1925-10,-3.8,=
34,1925-11,-8.8,=
35,1925-12,-12.7,=
36,1926-01,-12.1,=
37,1926-02,-12.7,=
38,1926-03,-6.2,=
39,1926-04,-4.0,=
40,1926-05,0.7,=
41,1926-06,8.4,=
42,1926-07,11.0,=
43,1926-08,10.9,=
44,1926-09,4.6,=
45,1926-10,-4.69,=
46,1926-11,-5.0,=
47,1926-12,-12.1,=
48,1927-01,-13.3,=
49,1927-02,-8.89,=
50,1927-03,-8.89,=
51,1927-04,-5.5,=
52,1927-05,1.0,=
53,1927-06,7.0,=
54,1927-07,16.7,=
55,1927-08,11.4,=
56,1927-09,4.6,=
57,1927-10,-3.4,=
58,1927-11,-8.89,=
59,1927-12,-8.5,=
60,1928-01,-9.3,=
61,1928-02,-7.8,=
62,1928-03,-5.3,=
63,1928-04,-3.0,=
64,1928-05,1.4,=
65,1928-06,7.2,=
66,1928-07,8.4,=
67,1928-08,10.5,=
68,1928-09,4.5,=
69,1928-10,-2.8,=
70,1928-11,-6.4,=
71,1928-12,-9.3,=
72,1929-01,-11.3,=
73,1929-02,-11.7,=
74,1929-03,-6.4,=
75,1929-04,-9.0,=
76,1929-05,1.5,=
77,1929-06,6.5,=
78,1929-07,7.6,=
79,1929-08,8.2,=
80,1929-09,5.4,=
81,1929-10,-1.3,=
82,1929-11,-3.8,=
83,1929-12,-4.3,=
84,1930-01,-7.8,=
85,1930-02,-6.1,=
86,1930-03,-10.1,=
87,1930-04,-2.3,=
88,1930-05,3.2,=
89,1930-06,8.9,=
90,1930-07,14.3,=
91,1930-08,12.5,=
92,1930-09,3.7,=
93,1930-10,-0.8,=
94,1930-11,-5.2,=
95,1930-12,-6.9,=
96,1931-01,-11.1,=
97,1931-02,-11.7,=
98,1931-03,-8.7,=
99,1931-04,-4.6,=
100,1931-05,2.0,=
101,1931-06,4.9,=
102,1931-07,12.5,=
103,1931-08,7.8,=
104,1931-09,2.2,=
105,1931-10,-2.7,=
106,1931-11,-3.9,=
107,1931-12,-5.6,=
108,1932-01,-6.8,=
109,1932-02,-6.4,=
110,1932-03,-7.3,=
111,1932-04,-4.1,=
112,1932-05,-0.1,=
113,1932-06,5.6,=
114,1932-07,11.6,=
115,1932-08,8.2,=
116,1932-09,2.6,=
117,1932-10,-4.0,=
118,1932-11,-5.1,=
119,1932-12,-3.7,=
120,1933-01,-6.7,=
121,1933-02,-13.6,=
122,1933-03,-9.0,=
123,1933-04,-5.7,=
124,1933-05,0.5,=
125,1933-06,10.0,=
126,1933-07,11.7,=
127,1933-08,10.1,=
128,1933-09,5.6,=
129,1933-10,-1.4,=
130,1933-11,-4.5,=
131,1933-12,-6.3,=
132,1934-01,-5.0,=
133,1934-02,-8.89,=
134,1934-03,-8.6,=
135,1934-04,-4.69,=
136,1934-05,2.5,=
137,1934-06,5.6,=
138,1934-07,14.8,=
139,1934-08,12.7,=
140,1934-09,8.7,=
141,1934-10,-0.9,=
142,1934-11,-4.1,=
143,1934-12,-8.6,=
144,1935-01,-8.89,=
145,1935-02,-9.5,=
146,1935-03,-6.6,=
147,1935-04,-4.3,=
148,1935-05,-0.9,=
149,1935-06,5.2,=
150,1935-07,9.2,=
151,1935-08,9.4,=
152,1935-09,2.7,=
153,1935-10,-1.7,=
154,1935-11,-4.9,=
155,1935-12,-6.5,=
156,1936-01,-13.5,=
157,1936-02,-15.7,=
158,1936-03,-10.1,=
159,1936-04,-4.6,=
160,1936-05,4.4,=
161,1936-06,9.5,=
162,1936-07,12.6,=
163,1936-08,10.5,=
164,1936-09,4.6,=
165,1936-10,-2.2,=
166,1936-11,-2.4,=
167,1936-12,-4.0,=
168,1937-01,-7.8,=
169,1937-02,-12.4,=
170,1937-03,-10.0,=
171,1937-04,-0.8,=
172,1937-05,4.5,=
173,1937-06,9.4,=
174,1937-07,16.2,=
175,1937-08,13.1,=
176,1937-09,4.2,=
177,1937-10,-0.2,=
178,1937-11,-6.0,=
179,1937-12,-12.3,=
180,1938-01,-9.89,=
181,1938-02,-4.8,=
182,1938-03,-7.7,=
183,1938-04,-4.3,=
184,1938-05,0.3,=
185,1938-06,7.2,=
186,1938-07,14.0,=
187,1938-08,9.5,=
188,1938-09,5.7,=
189,1938-10,1.7,=
190,1938-11,-3.0,=
191,1938-12,-6.4,=
192,1939-01,-12.6,=
193,1939-02,-7.7,=
194,1939-03,-9.0,=
195,1939-04,-6.9,=
196,1939-05,-0.8,=
197,1939-06,5.7,=
198,1939-07,12.5,=
199,1939-08,10.5,=
200,1939-09,3.2,=
201,1939-10,-1.7,=
202,1939-11,-4.1,=
203,1939-12,-10.3,=
204,1940-01,-12.6,=
205,1940-02,-12.6,=
206,1940-03,-13.7,=
207,1940-04,-4.8,=
208,1940-05,4.8,=
209,1940-06,8.5,=
210,1940-07,10.1,=
211,1940-08,8.6,=
212,1940-09,4.6,=
213,1940-10,-0.2,=
214,1940-11,-7.3,=
215,1940-12,-9.39,=
216,1941-01,-12.1,=
217,1941-02,-14.5,=
218,1941-03,-11.4,=
219,1941-04,-6.3,=
220,1941-05,-0.4,=
221,1941-06,4.9,=
222,1941-07,14.3,=
223,1941-08,8.4,=
224,1941-09,2.9,=
225,1941-10,-3.4,=
226,1941-11,-5.6,=
227,1941-12,-11.5,=
228,1942-01,-14.4,=
229,1942-02,-14.5,=
230,1942-03,-12.9,=
231,1942-04,-4.69,=
232,1942-05,-0.8,=
233,1942-06,6.4,=
234,1942-07,9.9,=
235,1942-08,8.2,=
236,1942-09,3.9,=
237,1942-10,-3.4,=
238,1942-11,-5.7,=
239,1942-12,-10.9,=
240,1943-01,-15.1,=
241,1943-02,-7.4,=
242,1943-03,-5.6,=
243,1943-04,-5.2,=
244,1943-05,0.6,=
245,1943-06,6.7,=
246,1943-07,10.5,=
247,1943-08,7.6,=
248,1943-09,4.9,=
249,1943-10,-1.2,=
250,1943-11,-4.19,=
251,1943-12,-4.9,=
252,1944-01,-8.5,=
253,1944-02,-7.9,=
254,1944-03,-8.7,=
255,1944-04,-6.3,=
256,1944-05,-0.6,=
257,1944-06,5.9,=
258,1944-07,10.2,=
259,1944-08,7.9,=
260,1944-09,4.7,=
261,1944-10,1.0,=
262,1944-11,-5.3,=
263,1944-12,-5.7,=
264,1945-01,-12.9,=
265,1945-02,-9.0,=
266,1945-03,-8.0,=
267,1945-04,-2.2,=
268,1945-05,0.8,=
269,1945-06,6.8,=
270,1945-07,12.8,=
271,1945-08,10.2,=
272,1945-09,4.0,=
273,1945-10,-3.5,=
274,1945-11,-3.8,=
275,1945-12,-9.39,=
276,1946-01,-6.4,=
277,1946-02,-16.9,=
278,1946-03,-10.7,=
279,1946-04,-4.3,=
280,1946-05,0.9,=
281,1946-06,7.5,=
282,1946-07,12.2,=
283,1946-08,11.1,=
284,1946-09,7.1,=
285,1946-10,-0.3,=
286,1946-11,-5.8,=
287,1946-12,-3.8,=
288,1947-01,-8.89,=
289,1947-02,-14.5,=
290,1947-03,-11.8,=
291,1947-04,-4.3,=
292,1947-05,1.8,=
293,1947-06,9.4,=
294,1947-07,12.8,=
295,1947-08,9.4,=
296,1947-09,6.1,=
297,1947-10,-1.3,=
298,1947-11,-8.1,=
299,1947-12,-9.1,=
300,1948-01,-14.5,=
301,1948-02,-7.7,=
302,1948-03,-6.3,=
303,1948-04,-1.5,=
304,1948-05,2.0,=
305,1948-06,6.3,=
306,1948-07,13.1,=
307,1948-08,7.3,=
308,1948-09,4.8,=
309,1948-10,-1.1,=
310,1948-11,-3.2,=
311,1948-12,-4.0,=
312,1949-01,-6.8,=
313,1949-02,-7.0,=
314,1949-03,-8.5,=
315,1949-04,-3.7,=
316,1949-05,1.4,=
317,1949-06,7.0,=
318,1949-07,7.8,=
319,1949-08,7.8,=
320,1949-09,6.4,=
321,1949-10,-1.2,=
322,1949-11,-3.1,=
323,1949-12,-7.4,=
324,1950-01,-11.6,=
325,1950-02,-11.9,=
326,1950-03,-6.7,=
327,1950-04,-0.2,=
328,1950-05,0.7,=
329,1950-06,8.5,=
330,1950-07,11.6,=
331,1950-08,13.1,=
332,1950-09,5.9,=
333,1950-10,1.3,=
334,1950-11,-5.6,=
335,1950-12,-8.5,=
336,1951-01,-14.4,=
337,1951-02,-12.6,=
338,1951-03,-9.6,=
339,1951-04,-3.5,=
340,1951-05,-1.1,=
341,1951-06,3.8,=
342,1951-07,8.6,=
343,1951-08,12.2,=
344,1951-09,5.4,=
345,1951-10,3.6,=
346,1951-11,-8.1,=
347,1951-12,-7.0,=
348,1952-01,-10.0,=
349,1952-02,-11.6,=
350,1952-03,-11.0,=
351,1952-04,-2.8,=
352,1952-05,0.9,=
353,1952-06,8.1,=
354,1952-07,9.8,=
355,1952-08,6.9,=
356,1952-09,3.0,=
357,1952-10,-3.3,=
358,1952-11,-7.3,=
359,1952-12,-12.8,=
360,1953-01,-9.2,=
361,1953-02,-14.2,=
362,1953-03,-6.0,=
363,1953-04,-3.8,=
364,1953-05,1.2,=
365,1953-06,12.0,=
366,1953-07,11.7,=
367,1953-08,10.7,=
368,1953-09,3.7,=
369,1953-10,1.8,=
370,1953-11,-2.7,=
371,1953-12,-4.4,=
372,1954-01,-8.5,=
373,1954-02,-12.2,=
374,1954-03,-8.3,=
375,1954-04,-4.5,=
376,1954-05,3.5,=
377,1954-06,6.0,=
378,1954-07,12.8,=
379,1954-08,9.2,=
380,1954-09,5.0,=
381,1954-10,-1.8,=
382,1954-11,-6.9,=
383,1954-12,-5.4,=
384,1955-01,-10.4,=
385,1955-02,-14.6,=
386,1955-03,-11.1,=
387,1955-04,-6.5,=
388,1955-05,-1.2,=
389,1955-06,3.5,=
390,1955-07,9.2,=
391,1955-08,9.1,=
392,1955-09,5.6,=
393,1955-10,-3.0,=
394,1955-11,-8.0,=
395,1955-12,-17.5,=
396,1956-01,-13.7,=
397,1956-02,-13.9,=
398,1956-03,-7.0,=
399,1956-04,-7.3,=
400,1956-05,1.6,=
401,1956-06,6.7,=
402,1956-07,12.0,=
403,1956-08,8.1,=
404,1956-09,2.9,=
405,1956-10,-1.9,=
406,1956-11,-8.1,=
407,1956-12,-9.39,=
408,1957-01,-11.85,=
409,1957-02,-13.0,=
410,1957-03,-11.25,=
411,1957-04,-5.45,=
412,1957-05,-1.5,=
413,1957-06,6.05,=
414,1957-07,14.15,=
415,1957-08,11.1,=
416,1957-09,3.45,=
417,1957-10,-1.55,=
418,1957-11,-6.2,=
419,1957-12,-10.0,=
420,1958-01,-14.1,=
421,1958-02,-9.89,=
422,1958-03,-11.4,=
423,1958-04,-6.45,=
424,1958-05,0.75,=
425,1958-06,11.9,=
426,1958-07,13.4,=
427,1958-08,13.45,=
428,1958-09,10.0,=
429,1958-10,2.25,=
430,1958-11,-2.79,=
431,1958-12,-11.1,=
432,1959-01,-14.04,=
433,1959-02,-3.5,=
434,1959-03,-4.6,=
435,1959-04,-2.94,=
436,1959-05,2.34,=
437,1959-06,8.89,=
438,1959-07,13.6,=
439,1959-08,11.0,=
440,1959-09,3.2,=
441,1959-10,-0.4,=
442,1959-11,-3.9,=
443,1959-12,-7.9,=
444,1960-01,-11.4,=
445,1960-02,-12.35,=
446,1960-03,-6.25,=
447,1960-04,-4.15,=
448,1960-05,5.55,=
449,1960-06,12.15,=
450,1960-07,14.75,=
451,1960-08,12.6,=
452,1960-09,6.45,=
453,1960-10,-4.0,=
454,1960-11,-7.6,=
455,1960-12,-8.6,=
456,1961-01,-12.45,=
457,1961-02,-9.15,=
458,1961-03,-7.5,=
459,1961-04,-6.35,=
460,1961-05,2.8,=
461,1961-06,10.75,=
462,1961-07,15.1,=
463,1961-08,11.0,=
464,1961-09,6.35,=
465,1961-10,3.5,=
466,1961-11,-5.95,=
467,1961-12,-11.15,=
468,1962-01,-10.14,=
469,1962-02,-10.25,=
470,1962-03,-14.85,=
471,1962-04,-2.7,=
472,1962-05,0.34,=
473,1962-06,5.8,=
474,1962-07,11.35,=
475,1962-08,9.05,=
476,1962-09,3.65,=
477,1962-10,0.75,=
478,1962-11,-6.1,=
479,1962-12,-13.3,=
480,1963-01,-12.75,=
481,1963-02,-14.0,=
482,1963-03,-11.0,=
483,1963-04,-4.9,=
484,1963-05,7.0,=
485,1963-06,10.04,=
486,1963-07,11.3,=
487,1963-08,13.8,=
488,1963-09,8.7,=
489,1963-10,-1.8,=
490,1963-11,-4.69,=
491,1963-12,-10.25,=
492,1964-01,-6.8,=
493,1964-02,-14.55,=
494,1964-03,-8.89,=
495,1964-04,-4.55,=
496,1964-05,2.1,=
497,1964-06,6.85,=
498,1964-07,11.6,=
499,1964-08,11.54,=
500,1964-09,3.3,=
501,1964-10,3.1,=
502,1964-11,-5.75,=
503,1964-12,-8.6,=
504,1965-01,-14.4,=
505,1965-02,-11.95,=
506,1965-03,-9.64,=
507,1965-04,-5.7,=
508,1965-05,-1.3,=
509,1965-06,6.55,=
510,1965-07,9.0,=
511,1965-08,9.64,=
512,1965-09,7.7,=
513,1965-10,-1.59,=
514,1965-11,-7.6,=
515,1965-12,-17.5,=
516,1966-01,-12.29,=
517,1966-02,-18.75,=
518,1966-03,-12.6,=
519,1966-04,-6.85,=
520,1966-05,, 
521,1966-06,, 
522,1966-07,, 
523,1966-08,, 
524,1966-09,, 
525,1966-10,, 
526,1966-11,-5.45,=
527,1966-12,-8.15,=
528,1967-01,-11.79,=
529,1967-02,-13.0,=
530,1967-03,-6.15,=
531,1967-04,-5.0,=
532,1967-05,, 
533,1967-06,, 
534,1967-07,, 
535,1967-08,, 
536,1967-09,, 
537,1967-10,, 
538,1967-11,-3.0,=
539,1967-12,-10.65,=
540,1968-01,-12.7,=
541,1968-02,-12.45,=
542,1968-03,-9.25,=
543,1968-04,-5.75,=
544,1968-05,-0.65,=
545,1968-06,, 
546,1968-07,, 
547,1968-08,, 
548,1968-09,, 
549,1968-10,, 
550,1968-11,, 
551,1968-12,, 
