,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1929-01,, 
1,1929-02,, 
2,1929-03,, 
3,1929-04,, 
4,1929-05,, 
5,1929-06,, 
6,1929-07,, 
7,1929-08,, 
8,1929-09,, 
9,1929-10,7.93,S
10,1929-11,7.14,S
11,1929-12,6.04,S
12,1930-01,5.38,S
13,1930-02,4.44,S
14,1930-03,3.57,S
15,1930-04,6.81,S
16,1930-05,8.34,S
17,1930-06,11.72,S
18,1930-07,12.74,S
19,1930-08,13.55,S
20,1930-09,11.54,S
21,1930-10,8.85,S
22,1930-11,5.21,S
23,1930-12,5.27,G
24,1931-01,2.49,G
25,1931-02,2.02,G
26,1931-03,1.59,G
27,1931-04,5.29,G
28,1931-05,7.99,G
29,1931-06,8.56,G
30,1931-07,11.41,G
31,1931-08,10.93,G
32,1931-09,9.22,G
33,1931-10,7.14,G
34,1931-11,7.66,G
35,1931-12,4.98,G
36,1932-01,5.25,G
37,1932-02,5.05,G
38,1932-03,3.66,G
39,1932-04,4.23,G
40,1932-05,7.63,G
41,1932-06,9.48,G
42,1932-07,12.18,G
43,1932-08,11.86,G
44,1932-09,9.11,G
45,1932-10,6.29,G
46,1932-11,5.78,G
47,1932-12,5.1,G
48,1933-01,4.34,G
49,1933-02,1.77,G
50,1933-03,5.24,G
51,1933-04,5.21,G
52,1933-05,7.75,G
53,1933-06,12.07,G
54,1933-07,13.62,G
55,1933-08,13.06,G
56,1933-09,11.56,G
57,1933-10,8.2,G
58,1933-11,5.91,G
59,1933-12,5.55,G
60,1934-01,5.01,G
61,1934-02,6.07,S
62,1934-03,3.86,G
63,1934-04,5.22,G
64,1934-05,7.35,G
65,1934-06,10.26,G
66,1934-07,12.99,G
67,1934-08,13.02,G
68,1934-09,11.37,G
69,1934-10,7.7,G
70,1934-11,5.26,G
71,1934-12,6.68,G
72,1935-01,4.42,G
73,1935-02,2.85,G
74,1935-03,5.25,G
75,1935-04,5.16,G
76,1935-05,7.24,G
77,1935-06,9.65,G
78,1935-07,11.5,G
79,1935-08,12.43,G
80,1935-09,10.67,G
81,1935-10,7.45,G
82,1935-11,6.54,G
83,1935-12,3.23,G
84,1936-01,2.1,G
85,1936-02,2.65,G
86,1936-03,4.18,G
87,1936-04,4.38,G
88,1936-05,8.06,G
89,1936-06,10.48,G
90,1936-07,13.39,G
91,1936-08,12.78,G
92,1936-09,11.14,G
93,1936-10,7.98,G
94,1936-11,6.04,G
95,1936-12,4.46,G
