,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1984-01,, 
1,1984-02,, 
2,1984-03,, 
3,1984-04,, 
4,1984-05,, 
5,1984-06,, 
6,1984-07,, 
7,1984-08,, 
8,1984-09,11.0,S
9,1984-10,9.95,S
10,1984-11,8.29,S
11,1984-12,7.89,S
12,1985-01,4.57,S
13,1985-02,5.14,S
14,1985-03,4.92,S
15,1985-04,5.75,S
16,1985-05,8.16,S
17,1985-06,9.97,S
18,1985-07,12.46,S
19,1985-08,12.8,S
20,1985-09,10.53,S
21,1985-10,10.97,S
22,1985-11,5.76,S
23,1985-12,6.03,S
24,1986-01,5.25,S
25,1986-02,4.12,S
26,1986-03,6.49,S
27,1986-04,5.59,S
28,1986-05,8.82,S
29,1986-06,10.4,S
30,1986-07,, 
31,1986-08,, 
32,1986-09,, 
33,1986-10,10.04,S
34,1986-11,8.52,S
35,1986-12,, 
36,1987-01,, 
37,1987-02,4.88,S
38,1987-03,4.26,S
39,1987-04,7.17,S
40,1987-05,8.12,S
41,1987-06,10.16,S
42,1987-07,13.03,S
43,1987-08,11.79,S
44,1987-09,10.86,S
45,1987-10,9.66,S
46,1987-11,8.1,S
47,1987-12,7.75,S
48,1988-01,5.95,S
49,1988-02,5.38,S
50,1988-03,4.64,S
51,1988-04,5.66,S
52,1988-05,, 
53,1988-06,, 
54,1988-07,12.11,S
55,1988-08,12.32,S
56,1988-09,11.89,S
57,1988-10,9.77,S
58,1988-11,7.78,S
59,1988-12,7.75,S
60,1989-01,8.03,S
61,1989-02,6.56,S
62,1989-03,6.34,S
63,1989-04,6.36,S
64,1989-05,8.67,S
65,1989-06,10.95,S
66,1989-07,13.43,S
67,1989-08,, 
68,1989-09,11.33,S
69,1989-10,9.92,S
70,1989-11,8.28,S
71,1989-12,6.61,S
72,1990-01,7.76,S
73,1990-02,9.18,S
74,1990-03,, 
75,1990-04,6.6,S
76,1990-05,8.87,S
77,1990-06,10.64,S
78,1990-07,11.6,S
79,1990-08,, 
80,1990-09,, 
81,1990-10,10.08,S
82,1990-11,7.91,S
83,1990-12,6.39,S
84,1991-01,6.31,S
85,1991-02,5.01,S
86,1991-03,6.9,S
87,1991-04,7.04,S
88,1991-05,8.56,S
89,1991-06,9.5,S
90,1991-07,, 
91,1991-08,, 
92,1991-09,11.37,S
93,1991-10,10.09,S
94,1991-11,8.01,S
95,1991-12,7.61,S
96,1992-01,7.51,S
97,1992-02,7.14,S
98,1992-03,5.92,S
99,1992-04,6.71,S
100,1992-05,, 
101,1992-06,, 
102,1992-07,, 
103,1992-08,, 
104,1992-09,11.49,S
105,1992-10,, 
106,1992-11,7.24,S
107,1992-12,6.38,S
108,1993-01,5.47,S
109,1993-02,5.79,S
110,1993-03,6.52,S
111,1993-04,7.09,S
112,1993-05,8.54,S
113,1993-06,9.58,S
114,1993-07,10.93,S
115,1993-08,11.45,S
116,1993-09,11.11,S
117,1993-10,8.81,S
118,1993-11,, 
119,1993-12,5.52,S
120,1994-01,5.46,S
121,1994-02,4.83,S
122,1994-03,5.28,S
123,1994-04,6.58,S
124,1994-05,8.08,S
125,1994-06,9.89,S
126,1994-07,12.35,S
127,1994-08,12.41,S
128,1994-09,11.02,S
129,1994-10,9.26,S
130,1994-11,9.62,S
131,1994-12,7.43,S
132,1995-01,5.74,S
133,1995-02,5.25,S
