,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1941-01,, 
1,1941-02,, 
2,1941-03,, 
3,1941-04,, 
4,1941-05,, 
5,1941-06,, 
6,1941-07,, 
7,1941-08,, 
8,1941-09,1.85,6
9,1941-10,-7.59,6
10,1941-11,-13.97,6
11,1941-12,-19.61,6
12,1942-01,, 
13,1942-02,-23.22,6
14,1942-03,-28.53,6
15,1942-04,-15.33,6
16,1942-05,-6.14,6
17,1942-06,, 
18,1942-07,, 
19,1942-08,, 
20,1942-09,, 
21,1942-10,, 
22,1942-11,, 
23,1942-12,, 
24,1943-01,, 
25,1943-02,, 
26,1943-03,-24.15,6
27,1943-04,-17.69,6
28,1943-05,-0.02,6
29,1943-06,6.17,6
30,1943-07,9.05,6
31,1943-08,, 
32,1943-09,0.27,6
33,1943-10,, 
34,1943-11,-12.84,6
35,1943-12,-24.15,6
36,1944-01,-27.79,6
37,1944-02,-22.29,6
38,1944-03,-22.65,6
39,1944-04,-16.6,6
40,1944-05,-4.61,6
41,1944-06,5.6,6
42,1944-07,7.76,6
43,1944-08,5.51,6
44,1944-09,1.99,6
45,1944-10,-5.21,6
46,1944-11,-19.26,6
47,1944-12,-22.09,6
48,1945-01,-28.66,6
49,1945-02,-29.68,6
50,1945-03,-30.93,6
51,1945-04,-11.97,6
52,1945-05,-7.4,6
53,1945-06,-0.92,6
54,1945-07,, 
55,1945-08,4.47,6
56,1945-09,, 
57,1945-10,, 
58,1945-11,, 
59,1945-12,, 
60,1946-01,, 
61,1946-02,, 
62,1946-03,-25.44,6
63,1946-04,-22.65,6
64,1946-05,-5.88,6
65,1946-06,4.28,6
66,1946-07,7.37,6
67,1946-08,5.28,6
68,1946-09,-0.68,6
69,1946-10,-7.08,6
70,1946-11,-12.4,6
71,1946-12,-26.6,6
72,1947-01,-26.47,6
73,1947-02,-26.91,6
74,1947-03,-25.52,6
75,1947-04,-15.8,6
76,1947-05,-5.5,6
77,1947-06,, 
78,1947-07,, 
79,1947-08,, 
80,1947-09,, 
81,1947-10,-7.85,6
82,1947-11,-15.41,6
83,1947-12,-20.86,6
84,1948-01,-27.58,6
85,1948-02,-21.53,6
86,1948-03,-24.5,6
87,1948-04,-11.96,6
88,1948-05,-9.09,6
89,1948-06,, 
90,1948-07,, 
91,1948-08,5.5,6
92,1948-09,-0.95,6
93,1948-10,-8.65,6
94,1948-11,-17.91,6
95,1948-12,-27.61,6
96,1949-01,-24.04,6
97,1949-02,-29.77,6
98,1949-03,-19.69,6
99,1949-04,-23.45,6
100,1949-05,-8.25,6
101,1949-06,1.11,6
102,1949-07,8.27,6
103,1949-08,9.39,6
104,1949-09,, 
105,1949-10,-3.96,0
106,1949-11,-14.62,0
107,1949-12,-23.47,0
108,1950-01,-15.66,0
109,1950-02,, 
110,1950-03,-24.05,0
111,1950-04,-15.26,0
112,1950-05,, 
113,1950-06,, 
114,1950-07,, 
115,1950-08,8.63,0
116,1950-09,2.18,0
117,1950-10,-4.55,0
118,1950-11,-7.6,0
119,1950-12,-23.76,0
120,1951-01,-29.07,0
121,1951-02,-29.14,0
122,1951-03,-28.03,0
123,1951-04,-15.6,0
124,1951-05,-3.06,0
125,1951-06,5.36,0
126,1951-07,9.09,0
127,1951-08,8.03,0
128,1951-09,1.74,0
129,1951-10,-5.08,0
130,1951-11,-11.15,0
131,1951-12,-21.9,0
132,1952-01,-27.26,0
133,1952-02,-31.76,0
134,1952-03,-27.41,0
135,1952-04,-18.12,0
136,1952-05,, 
137,1952-06,, 
138,1952-07,, 
139,1952-08,, 
140,1952-09,-0.18,0
141,1952-10,-5.45,0
142,1952-11,-13.99,0
143,1952-12,-24.22,0
144,1953-01,-27.64,0
145,1953-02,, 
146,1953-03,, 
147,1953-04,, 
148,1953-05,, 
149,1953-06,4.47,0
150,1953-07,6.53,0
151,1953-08,, 
152,1953-09,1.96,0
153,1953-10,-10.19,0
154,1953-11,-16.58,0
155,1953-12,-27.48,0
156,1954-01,-23.27,0
157,1954-02,-29.92,0
158,1954-03,-21.54,0
159,1954-04,-12.98,0
160,1954-05,-5.12,0
161,1954-06,3.94,0
162,1954-07,6.47,0
163,1954-08,9.65,0
164,1954-09,3.87,0
165,1954-10,-6.71,0
166,1954-11,-17.89,0
167,1954-12,-25.9,0
168,1955-01,-24.46,0
169,1955-02,-32.27,0
170,1955-03,-29.0,0
171,1955-04,-19.71,0
172,1955-05,-6.64,0
173,1955-06,2.73,0
174,1955-07,7.91,0
175,1955-08,, 
176,1955-09,, 
177,1955-10,, 
178,1955-11,, 
179,1955-12,-25.28,0
180,1956-01,-25.81,0
181,1956-02,-31.88,0
182,1956-03,-26.4,0
183,1956-04,-16.69,0
184,1956-05,-2.94,0
185,1956-06,1.49,0
186,1956-07,6.16,0
187,1956-08,3.19,0
188,1956-09,2.4,0
189,1956-10,-11.21,0
190,1956-11,-22.1,0
191,1956-12,-22.48,0
192,1957-01,-17.02,0
193,1957-02,-29.65,0
194,1957-03,-27.63,0
195,1957-04,-11.93,0
196,1957-05,-4.95,0
197,1957-06,, 
198,1957-07,, 
199,1957-08,, 
200,1957-09,, 
201,1957-10,-4.82,0
202,1957-11,-20.97,0
203,1957-12,-29.38,0
204,1958-01,-29.59,0
205,1958-02,-28.7,0
206,1958-03,-24.26,0
207,1958-04,, 
208,1958-05,, 
209,1958-06,, 
210,1958-07,, 
211,1958-08,, 
212,1958-09,, 
213,1958-10,, 
214,1958-11,, 
215,1958-12,, 
216,1973-01,-25.29,]
217,1973-02,-22.89,]
218,1973-03,-31.8,]
219,1973-04,-20.07,]
220,1973-05,-5.85,]
221,1973-06,3.96,]
222,1973-07,6.0,]
223,1973-08,6.22,]
224,1973-09,3.22,]
225,1973-10,-6.84,]
226,1973-11,-14.53,]
227,1973-12,-21.98,]
228,1974-01,-25.28,]
229,1974-02,-33.55,]
230,1974-03,-29.43,]
231,1974-04,-21.46,]
232,1974-05,-6.27,]
233,1974-06,2.29,]
234,1974-07,7.49,]
235,1974-08,10.09,]
236,1974-09,4.32,]
237,1974-10,-14.19,]
238,1974-11,-21.28,]
239,1974-12,-34.55,]
240,1975-01,-31.04,]
241,1975-02,-26.44,]
242,1975-03,-20.55,]
243,1975-04,-20.08,]
244,1975-05,-7.79,]
245,1975-06,2.93,]
246,1975-07,6.44,]
247,1975-08,5.78,]
248,1975-09,-1.62,]
249,1975-10,-13.2,]
250,1975-11,-22.74,]
251,1975-12,, 
252,1976-01,, 
253,1976-02,-30.59,]
254,1976-03,, 
255,1976-04,, 
256,1976-05,, 
257,1976-06,, 
258,1976-07,, 
259,1976-08,, 
260,1976-09,, 
261,1976-10,, 
262,1976-11,, 
263,1976-12,, 
264,1979-01,-15.35,]
265,1979-02,, 
266,1979-03,, 
267,1979-04,, 
268,1979-05,, 
269,1979-06,, 
270,1979-07,, 
271,1979-08,, 
272,1979-09,2.84,]
273,1979-10,, 
274,1979-11,, 
275,1979-12,, 
276,1980-01,, 
277,1980-02,-23.22,]
278,1980-03,, 
279,1980-04,, 
280,1980-05,, 
281,1980-06,, 
282,1980-07,, 
283,1980-08,, 
284,1980-09,-0.35,]
285,1980-10,, 
286,1980-11,, 
287,1980-12,-22.28,]
288,1981-01,-15.44,]
289,1981-02,, 
290,1981-03,-27.0,]
291,1981-04,, 
292,1981-05,, 
293,1981-06,5.98,]
294,1981-07,6.29,]
295,1981-08,, 
296,1981-09,, 
297,1981-10,, 
298,1981-11,-18.84,]
299,1981-12,-25.25,]
300,1982-01,, 
301,1982-02,, 
302,1982-03,, 
303,1982-04,-16.02,]
304,1982-05,, 
305,1982-06,, 
306,1982-07,, 
307,1982-08,, 
308,1982-09,, 
309,1982-10,, 
310,1982-11,, 
311,1982-12,, 
312,1983-01,, 
313,1983-02,, 
314,1983-03,, 
315,1983-04,, 
316,1983-05,, 
317,1983-06,, 
318,1983-07,8.05,]
319,1983-08,6.02,]
320,1983-09,, 
321,1983-10,, 
322,1983-11,, 
323,1983-12,, 
324,1992-01,, 
325,1992-02,, 
326,1992-03,, 
327,1992-04,, 
328,1992-05,, 
329,1992-06,, 
330,1992-07,, 
331,1992-08,, 
332,1992-09,, 
333,1992-10,-6.78,]
334,1992-11,-19.02,]
335,1992-12,-23.31,]
336,1993-01,, 
337,1993-02,, 
338,1993-03,-23.51,]
339,1993-04,, 
340,1993-05,, 
341,1993-06,, 
342,1993-07,, 
343,1993-08,, 
344,1993-09,1.63,]
345,1993-10,, 
346,1993-11,-10.99,]
347,1993-12,, 
348,1994-01,-25.75,]
349,1994-02,, 
350,1994-03,, 
351,1994-04,-19.01,]
352,1994-05,-5.02,]
353,1994-06,, 
354,1994-07,8.68,]
355,1994-08,8.11,]
356,1994-09,0.0,]
357,1994-10,-10.21,]
358,1994-11,-22.5,]
359,1994-12,-26.53,]
360,1995-01,, 
361,1995-02,, 
362,1995-03,, 
363,1995-04,-12.78,]
364,1995-05,, 
365,1995-06,, 
366,1995-07,, 
367,1995-08,, 
368,1995-09,3.26,]
369,1995-10,, 
370,1995-11,, 
371,1995-12,, 
372,1996-01,, 
373,1996-02,, 
374,1996-03,-13.52,]
375,1996-04,, 
376,1996-05,1.18,]
377,1996-06,3.66,]
378,1996-07,, 
379,1996-08,, 
380,1996-09,, 
381,1996-10,, 
382,1996-11,, 
383,1996-12,, 
384,1997-01,-24.88,]
385,1997-02,-26.5,]
386,1997-03,, 
387,1997-04,, 
388,1997-05,, 
389,1997-06,, 
390,1997-07,, 
391,1997-08,, 
392,1997-09,, 
393,1997-10,, 
394,1997-11,, 
395,1997-12,, 
396,1998-01,, 
397,1998-02,-28.81,]
398,1998-03,, 
399,1998-04,, 
400,1998-05,, 
401,1998-06,, 
402,1998-07,, 
403,1998-08,, 
404,1998-09,, 
405,1998-10,, 
406,1998-11,, 
407,1998-12,, 
408,2000-01,-24.68,]
409,2000-02,, 
410,2000-03,, 
411,2000-04,, 
412,2000-05,, 
413,2000-06,3.36,]
414,2000-07,8.48,]
415,2000-08,8.85,]
416,2000-09,4.44,]
417,2000-10,, 
418,2000-11,-6.26,]
419,2000-12,, 
420,2002-01,, 
421,2002-02,, 
422,2002-03,, 
423,2002-04,-9.76,]
424,2002-05,, 
425,2002-06,, 
426,2002-07,, 
427,2002-08,, 
428,2002-09,, 
429,2002-10,, 
430,2002-11,, 
431,2002-12,, 
432,2004-01,, 
433,2004-02,, 
434,2004-03,, 
435,2004-04,, 
436,2004-05,, 
437,2004-06,8.12,]
438,2004-07,13.85,]
439,2004-08,, 
440,2004-09,, 
441,2004-10,, 
442,2004-11,, 
443,2004-12,, 
444,2005-01,-16.48,]
445,2005-02,-22.57,]
446,2005-03,, 
447,2005-04,, 
448,2005-05,, 
449,2005-06,, 
450,2005-07,, 
451,2005-08,, 
452,2005-09,, 
453,2005-10,, 
454,2005-11,, 
455,2005-12,, 
