,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1990-01,, 
1,1990-02,, 
2,1990-03,, 
3,1990-04,, 
4,1990-05,, 
5,1990-06,, 
6,1990-07,17.4,U
7,1990-08,14.5,U
8,1990-09,6.76,U
9,1990-10,, 
10,1990-11,, 
11,1990-12,, 
12,1991-01,, 
13,1991-02,-16.96,U
14,1991-03,-7.36,U
15,1991-04,4.03,U
16,1991-05,10.26,U
17,1991-06,15.42,U
18,1991-07,15.09,U
19,1991-08,12.22,U
20,1991-09,8.81,U
21,1991-10,-5.06,U
22,1991-11,-17.09,U
23,1991-12,, 
24,1992-01,, 
25,1992-02,, 
26,1992-03,, 
27,1992-04,-0.94,U
28,1992-05,5.61,U
29,1992-06,14.57,U
30,1992-07,16.26,U
31,1992-08,12.68,U
32,1992-09,-0.54,U
33,1992-10,-6.92,U
34,1992-11,-13.27,U
35,1992-12,, 
36,1993-01,, 
37,1993-02,, 
38,1993-03,, 
39,1993-04,4.76,U
40,1993-05,10.92,U
41,1993-06,14.91,U
42,1993-07,17.29,U
43,1993-08,13.5,U
44,1993-09,7.34,U
45,1993-10,-1.34,U
46,1993-11,-14.36,U
47,1993-12,, 
48,1994-01,, 
49,1994-02,, 
50,1994-03,-7.98,U
51,1994-04,3.79,U
52,1994-05,8.74,U
53,1994-06,14.49,U
54,1994-07,16.97,U
55,1994-08,16.12,U
56,1994-09,5.58,U
57,1994-10,-4.91,U
58,1994-11,-18.86,U
59,1994-12,-25.02,U
60,1995-01,, 
61,1995-02,-16.54,U
62,1995-03,-12.68,U
63,1995-04,5.18,U
64,1995-05,11.76,U
65,1995-06,, 
66,1995-07,15.47,U
67,1995-08,12.43,U
68,1995-09,10.64,U
69,1995-10,-2.73,U
70,1995-11,-19.54,U
71,1995-12,-22.67,U
72,1996-01,, 
73,1996-02,, 
74,1996-03,, 
75,1996-04,, 
76,1996-05,, 
77,1996-06,13.57,U
78,1996-07,16.47,U
79,1996-08,11.76,U
80,1996-09,5.48,U
81,1996-10,-9.76,U
82,1996-11,-20.04,U
83,1996-12,, 
84,1997-01,, 
85,1997-02,, 
86,1997-03,, 
87,1997-04,, 
88,1997-05,, 
89,1997-06,14.97,U
90,1997-07,17.07,U
91,1997-08,14.02,U
92,1997-09,9.05,U
93,1997-10,-8.31,U
94,1997-11,-14.0,U
95,1997-12,-19.15,U
96,1998-01,, 
97,1998-02,, 
98,1998-03,, 
99,1998-04,3.49,U
100,1998-05,9.88,U
101,1998-06,15.28,U
102,1998-07,16.47,U
103,1998-08,12.16,U
104,1998-09,7.39,U
105,1998-10,-4.46,U
106,1998-11,-16.01,U
107,1998-12,-23.71,U
108,1999-01,, 
109,1999-02,, 
110,1999-03,, 
111,1999-04,0.88,U
112,1999-05,6.64,U
113,1999-06,15.34,U
114,1999-07,15.82,U
115,1999-08,14.28,U
116,1999-09,6.94,U
117,1999-10,-4.44,U
118,1999-11,-18.62,U
119,1999-12,-21.04,U
120,2000-01,, 
121,2000-02,, 
122,2000-03,, 
123,2000-04,0.95,U
124,2000-05,6.19,U
125,2000-06,14.45,U
126,2000-07,15.8,U
127,2000-08,10.16,U
128,2000-09,4.5,U
129,2000-10,-4.97,U
130,2000-11,-13.76,U
131,2000-12,-20.46,U
132,2001-01,, 
133,2001-02,, 
134,2001-03,-8.04,U
135,2001-04,2.21,U
136,2001-05,6.8,U
137,2001-06,15.26,U
