,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1990-01,, 
1,1990-02,, 
2,1990-03,, 
3,1990-04,, 
4,1990-05,, 
5,1990-06,14.37,U
6,1990-07,15.94,U
7,1990-08,12.65,U
8,1990-09,2.62,U
9,1990-10,-7.76,U
10,1990-11,, 
11,1990-12,, 
12,1991-01,, 
13,1991-02,, 
14,1991-03,, 
15,1991-04,, 
16,1991-05,, 
17,1991-06,15.87,U
18,1991-07,13.91,U
19,1991-08,9.78,U
20,1991-09,4.86,U
21,1991-10,-8.48,U
22,1991-11,, 
23,1991-12,, 
24,1992-01,, 
25,1992-02,, 
26,1992-03,, 
27,1992-04,, 
28,1992-05,, 
29,1992-06,14.64,U
30,1992-07,15.93,U
31,1992-08,11.87,U
32,1992-09,-2.2,U
33,1992-10,-12.49,U
34,1992-11,, 
35,1992-12,, 
36,1993-01,, 
37,1993-02,, 
38,1993-03,, 
39,1993-04,, 
40,1993-05,, 
41,1993-06,15.65,U
42,1993-07,18.66,U
43,1993-08,11.44,U
44,1993-09,3.65,U
45,1993-10,-5.64,U
46,1993-11,, 
47,1993-12,, 
48,1994-01,, 
49,1994-02,, 
50,1994-03,, 
51,1994-04,, 
52,1994-05,8.63,U
53,1994-06,13.12,U
54,1994-07,17.65,U
55,1994-08,13.59,U
56,1994-09,2.76,U
57,1994-10,-7.67,U
58,1994-11,-24.39,U
59,1994-12,-28.04,U
60,1995-01,-28.97,U
61,1995-02,-25.45,U
62,1995-03,-19.65,U
63,1995-04,-0.6,U
64,1995-05,, 
65,1995-06,14.93,U
66,1995-07,15.91,U
67,1995-08,12.08,U
68,1995-09,7.41,U
69,1995-10,-8.23,U
70,1995-11,-28.31,U
71,1995-12,-31.41,U
72,1996-01,, 
73,1996-02,, 
74,1996-03,, 
75,1996-04,, 
76,1996-05,, 
77,1996-06,13.45,U
78,1996-07,16.03,U
79,1996-08,8.27,U
80,1996-09,2.7,U
81,1996-10,-16.79,U
82,1996-11,-25.18,U
83,1996-12,-29.38,U
84,1997-01,, 
85,1997-02,, 
86,1997-03,, 
87,1997-04,, 
88,1997-05,, 
89,1997-06,15.65,U
90,1997-07,16.32,U
91,1997-08,13.62,U
92,1997-09,6.68,U
93,1997-10,-11.46,U
94,1997-11,-21.84,U
95,1997-12,-25.11,U
96,1998-01,, 
97,1998-02,-22.42,U
98,1998-03,-14.03,U
99,1998-04,1.07,U
100,1998-05,8.78,U
101,1998-06,14.71,U
102,1998-07,17.03,U
103,1998-08,10.91,U
104,1998-09,5.25,U
105,1998-10,-8.32,U
106,1998-11,-22.0,U
107,1998-12,-26.94,U
108,1999-01,, 
109,1999-02,, 
110,1999-03,, 
111,1999-04,, 
112,1999-05,6.64,U
113,1999-06,15.38,U
114,1999-07,15.24,U
115,1999-08,13.22,U
116,1999-09,4.72,U
117,1999-10,-10.61,U
118,1999-11,-25.97,U
119,1999-12,-30.37,U
120,2000-01,, 
121,2000-02,, 
122,2000-03,, 
123,2000-04,, 
124,2000-05,, 
125,2000-06,16.03,U
126,2000-07,15.48,U
127,2000-08,9.65,U
128,2000-09,2.36,U
129,2000-10,-9.21,U
130,2000-11,-18.2,U
131,2000-12,-26.12,U
132,2001-01,-19.65,U
133,2001-02,, 
134,2001-03,, 
135,2001-04,, 
136,2001-05,, 
137,2001-06,14.78,U
138,2001-07,14.94,U
139,2001-08,11.55,U
140,2001-09,4.37,U
