,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1989-01,, 
1,1989-02,, 
2,1989-03,, 
3,1989-04,, 
4,1989-05,, 
5,1989-06,, 
6,1989-07,, 
7,1989-08,, 
8,1989-09,, 
9,1989-10,2.28,U
10,1989-11,, 
11,1989-12,, 
12,1990-01,, 
13,1990-02,, 
14,1990-03,, 
15,1990-04,, 
16,1990-05,, 
17,1990-06,13.42,U
18,1990-07,14.93,U
19,1990-08,14.19,U
20,1990-09,9.36,U
21,1990-10,, 
22,1990-11,, 
23,1990-12,, 
24,1991-01,, 
25,1991-02,, 
26,1991-03,, 
27,1991-04,, 
28,1991-05,, 
29,1991-06,12.69,U
30,1991-07,13.1,U
31,1991-08,12.61,U
32,1991-09,9.64,U
33,1991-10,, 
34,1991-11,, 
35,1991-12,, 
36,1992-01,, 
37,1992-02,, 
38,1992-03,, 
39,1992-04,, 
40,1992-05,, 
41,1992-06,12.49,U
42,1992-07,14.34,U
43,1992-08,12.2,U
44,1992-09,5.08,U
45,1992-10,, 
46,1992-11,, 
47,1992-12,, 
48,1993-01,, 
49,1993-02,, 
50,1993-03,, 
51,1993-04,, 
52,1993-05,9.86,U
53,1993-06,13.07,U
54,1993-07,17.18,U
55,1993-08,14.32,U
56,1993-09,8.61,U
57,1993-10,4.46,U
58,1993-11,, 
59,1993-12,, 
60,1995-01,, 
61,1995-02,, 
62,1995-03,, 
63,1995-04,, 
64,1995-05,, 
65,1995-06,11.99,U
66,1995-07,13.94,U
67,1995-08,13.54,U
68,1995-09,11.02,U
69,1995-10,4.15,U
70,1995-11,, 
71,1995-12,, 
72,1996-01,, 
73,1996-02,, 
74,1996-03,, 
75,1996-04,, 
76,1996-05,9.81,U
77,1996-06,12.4,U
78,1996-07,15.01,U
79,1996-08,13.06,U
80,1996-09,7.91,U
81,1996-10,, 
82,1996-11,, 
83,1996-12,, 
84,1997-01,, 
85,1997-02,, 
86,1997-03,, 
87,1997-04,5.16,U
88,1997-05,9.82,U
89,1997-06,14.6,U
90,1997-07,16.69,U
91,1997-08,15.53,U
92,1997-09,10.5,U
93,1997-10,0.81,U
94,1997-11,, 
95,1997-12,, 
96,1998-01,, 
97,1998-02,, 
98,1998-03,, 
99,1998-04,, 
100,1998-05,7.4,U
101,1998-06,12.41,U
102,1998-07,14.35,U
103,1998-08,12.1,U
104,1998-09,8.86,U
105,1998-10,3.72,U
106,1998-11,-1.03,U
107,1998-12,, 
108,1999-01,, 
109,1999-02,, 
110,1999-03,, 
111,1999-04,, 
112,1999-05,7.95,U
113,1999-06,12.73,U
114,1999-07,15.36,U
115,1999-08,13.88,U
116,1999-09,9.2,U
117,1999-10,2.0,U
118,1999-11,, 
119,1999-12,, 
120,2000-01,, 
121,2000-02,, 
122,2000-03,, 
123,2000-04,4.48,U
124,2000-05,8.22,U
125,2000-06,12.38,U
126,2000-07,13.58,U
127,2000-08,13.31,U
128,2000-09,8.88,U
129,2000-10,3.12,U
130,2000-11,1.94,U
131,2000-12,, 
132,2001-01,, 
133,2001-02,, 
134,2001-03,, 
