,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1990-01,, 
1,1990-02,, 
2,1990-03,, 
3,1990-04,, 
4,1990-05,, 
5,1990-06,16.21,U
6,1990-07,18.83,U
7,1990-08,15.61,U
8,1990-09,7.17,U
9,1990-10,, 
10,1990-11,, 
11,1990-12,, 
12,1991-01,, 
13,1991-02,, 
14,1991-03,, 
15,1991-04,, 
16,1991-05,, 
17,1991-06,, 
18,1991-07,, 
19,1991-08,12.96,U
20,1991-09,10.98,U
21,1991-10,-2.0,U
22,1991-11,, 
23,1991-12,, 
24,1992-01,, 
25,1992-02,, 
26,1992-03,, 
27,1992-04,, 
28,1992-05,, 
29,1992-06,, 
30,1992-07,16.94,U
31,1992-08,12.67,U
32,1992-09,-1.15,U
33,1992-10,-6.36,U
34,1992-11,-9.02,U
35,1992-12,-17.65,U
36,1993-01,-17.14,U
37,1993-02,-10.78,U
38,1993-03,-3.9,U
39,1993-04,5.0,U
40,1993-05,9.83,U
41,1993-06,15.45,U
42,1993-07,18.36,U
43,1993-08,12.22,U
44,1993-09,4.94,U
45,1993-10,-1.36,U
46,1993-11,-11.18,U
47,1993-12,-11.22,U
48,1994-01,-13.39,U
49,1994-02,-16.23,U
50,1994-03,-9.9,U
51,1994-04,1.02,U
52,1994-05,10.04,U
53,1994-06,13.1,U
54,1994-07,17.08,U
55,1994-08,14.41,U
56,1994-09,5.48,U
57,1994-10,-4.9,U
58,1994-11,-16.41,U
59,1994-12,-16.39,U
60,1995-01,-15.08,U
61,1995-02,-12.33,U
62,1995-03,-13.48,U
63,1995-04,4.77,U
64,1995-05,11.0,U
65,1995-06,14.67,U
66,1995-07,16.03,U
67,1995-08,12.48,U
68,1995-09,10.85,U
69,1995-10,-2.39,U
70,1995-11,-11.95,U
71,1995-12,, 
72,1996-01,-20.68,U
73,1996-02,-14.83,U
74,1996-03,-5.98,U
75,1996-04,0.62,U
76,1996-05,8.52,U
77,1996-06,14.34,U
78,1996-07,16.06,U
79,1996-08,10.17,U
80,1996-09,4.51,U
81,1996-10,-8.96,U
82,1996-11,-13.33,U
83,1996-12,-16.69,U
84,1998-01,, 
85,1998-02,, 
86,1998-03,, 
87,1998-04,, 
88,1998-05,, 
89,1998-06,11.57,U
90,1998-07,14.17,U
91,1998-08,8.21,U
92,1998-09,5.06,U
93,1998-10,-2.62,U
94,1998-11,-9.46,U
95,1998-12,-15.5,U
96,1999-01,-18.48,U
97,1999-02,, 
98,1999-03,, 
99,1999-04,, 
100,1999-05,5.23,U
101,1999-06,14.03,U
102,1999-07,13.48,U
103,1999-08,12.44,U
104,1999-09,5.39,U
105,1999-10,-6.75,U
106,1999-11,-13.23,U
107,1999-12,-17.3,U
108,2000-01,-16.04,U
109,2000-02,-5.57,U
110,2000-03,-5.64,U
111,2000-04,-2.31,U
112,2000-05,3.34,U
113,2000-06,14.03,U
114,2000-07,12.52,U
115,2000-08,7.67,U
116,2000-09,2.26,U
117,2000-10,-4.41,U
118,2000-11,-6.39,U
119,2000-12,-8.34,U
120,2001-01,-7.13,U
121,2001-02,-8.19,U
122,2001-03,-10.2,U
123,2001-04,-1.56,U
124,2001-05,3.63,U
125,2001-06,13.43,U
126,2001-07,12.13,U
127,2001-08,11.55,U
128,2001-09,8.41,U
129,2001-10,-5.98,U
130,2001-11,-10.04,U
131,2001-12,-15.27,U
132,2002-01,-11.13,U
133,2002-02,-9.67,U
