,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1990-01,, 
1,1990-02,, 
2,1990-03,, 
3,1990-04,, 
4,1990-05,, 
5,1990-06,13.85,U
6,1990-07,16.81,U
7,1990-08,13.69,U
8,1990-09,4.6,U
9,1990-10,-6.49,U
10,1990-11,, 
11,1990-12,, 
12,1991-01,, 
13,1991-02,, 
14,1991-03,, 
15,1991-04,, 
16,1991-05,9.82,U
17,1991-06,15.9,U
18,1991-07,13.65,U
19,1991-08,, 
20,1991-09,8.26,U
21,1991-10,-4.22,U
22,1991-11,-15.92,U
23,1991-12,-16.66,U
24,1992-01,-16.46,U
25,1992-02,-19.06,U
26,1992-03,-7.36,U
27,1992-04,-4.58,U
28,1992-05,3.34,U
29,1992-06,14.59,U
30,1992-07,16.19,U
31,1992-08,12.49,U
32,1992-09,-1.77,U
33,1992-10,-8.06,U
34,1992-11,, 
35,1992-12,, 
36,1993-01,, 
37,1993-02,, 
38,1993-03,, 
39,1993-04,, 
40,1993-05,10.42,U
41,1993-06,, 
42,1993-07,, 
43,1993-08,, 
44,1993-09,5.03,U
45,1993-10,19.87,U
46,1993-11,39.95,U
47,1993-12,38.49,U
48,1994-01,33.28,U
49,1994-02,28.62,U
50,1994-03,28.81,U
51,1994-04,29.0,U
52,1994-05,30.3,U
53,1994-06,19.84,U
54,1994-07,17.2,U
55,1994-08,13.85,U
56,1994-09,4.96,U
57,1994-10,-5.95,U
58,1994-11,-16.0,U
59,1994-12,, 
60,1995-01,-15.13,U
61,1995-02,-12.72,U
62,1995-03,-14.32,U
63,1995-04,3.72,U
64,1995-05,11.24,U
65,1995-06,14.14,U
66,1995-07,15.65,U
67,1995-08,12.37,U
68,1995-09,10.06,U
69,1995-10,-4.73,U
70,1995-11,-14.58,U
71,1995-12,-16.99,U
72,1996-01,, 
73,1996-02,-15.56,U
74,1996-03,-7.04,U
75,1996-04,-2.54,U
76,1996-05,8.63,U
77,1996-06,14.12,U
78,1996-07,15.79,U
79,1996-08,9.68,U
80,1996-09,3.47,U
81,1996-10,-10.6,U
82,1996-11,, 
83,1996-12,, 
84,1997-01,, 
85,1997-02,, 
86,1997-03,, 
87,1997-04,, 
88,1997-05,, 
89,1997-06,16.24,U
90,1997-07,16.76,U
91,1997-08,, 
92,1997-09,, 
93,1997-10,, 
94,1997-11,, 
95,1997-12,, 
96,1998-01,, 
97,1998-02,, 
98,1998-03,, 
99,1998-04,, 
100,1998-05,, 
101,1998-06,13.55,U
102,1998-07,15.93,U
103,1998-08,10.06,U
104,1998-09,6.75,U
105,1998-10,-2.76,U
106,1998-11,-10.82,U
107,1998-12,-17.32,U
108,1999-01,-20.58,U
109,1999-02,-20.95,U
110,1999-03,-11.42,U
111,1999-04,-0.46,U
112,1999-05,7.26,U
113,1999-06,15.52,U
114,1999-07,15.63,U
115,1999-08,14.01,U
116,1999-09,6.91,U
117,1999-10,-7.6,U
118,1999-11,-15.25,U
119,1999-12,-20.8,U
120,2000-01,-17.89,U
121,2000-02,-7.91,U
122,2000-03,-7.08,U
123,2000-04,-0.92,U
124,2000-05,5.5,U
125,2000-06,16.01,U
126,2000-07,14.21,U
127,2000-08,9.26,U
128,2000-09,3.58,U
129,2000-10,-4.86,U
130,2000-11,-8.11,U
131,2000-12,-10.67,U
132,2001-01,-9.47,U
133,2001-02,-9.25,U
134,2001-03,-12.04,U
135,2001-04,-1.48,U
