,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1990-01,, 
1,1990-02,, 
2,1990-03,, 
3,1990-04,, 
4,1990-05,, 
5,1990-06,, 
6,1990-07,17.34,U
7,1990-08,14.48,U
8,1990-09,7.24,U
9,1990-10,, 
10,1990-11,, 
11,1990-12,, 
12,1991-01,, 
13,1991-02,, 
14,1991-03,-6.5,U
15,1991-04,3.47,U
16,1991-05,10.16,U
17,1991-06,15.32,U
18,1991-07,14.95,U
19,1991-08,12.04,U
20,1991-09,8.49,U
21,1991-10,, 
22,1991-11,, 
23,1991-12,, 
24,1992-01,, 
25,1992-02,-17.42,U
26,1992-03,-6.89,U
27,1992-04,-0.73,U
28,1992-05,5.51,U
29,1992-06,14.46,U
30,1992-07,15.65,U
31,1992-08,12.83,U
32,1992-09,-0.54,U
33,1992-10,-6.81,U
34,1992-11,-12.58,U
35,1992-12,, 
36,1993-01,, 
37,1993-02,, 
38,1993-03,, 
39,1993-04,, 
40,1993-05,, 
41,1993-06,14.23,U
42,1993-07,17.07,U
43,1993-08,13.71,U
44,1993-09,7.34,U
45,1993-10,-1.19,U
46,1993-11,-13.72,U
47,1993-12,-17.97,U
48,1994-01,-19.33,U
49,1994-02,-20.64,U
50,1994-03,-7.51,U
51,1994-04,3.82,U
52,1994-05,, 
53,1994-06,14.42,U
54,1994-07,16.55,U
55,1994-08,16.3,U
56,1994-09,5.87,U
57,1994-10,-4.73,U
58,1994-11,-17.53,U
59,1994-12,-23.2,U
60,1995-01,-21.01,U
61,1995-02,-13.1,U
62,1995-03,-12.02,U
63,1995-04,4.18,U
64,1995-05,11.43,U
65,1995-06,15.38,U
66,1995-07,15.3,U
67,1995-08,12.7,U
68,1995-09,10.34,U
69,1995-10,-2.56,U
70,1995-11,-17.59,U
71,1995-12,-20.82,U
72,1996-01,-28.7,U
73,1996-02,-15.34,U
74,1996-03,-7.64,U
75,1996-04,1.89,U
76,1996-05,8.62,U
77,1996-06,13.62,U
78,1996-07,15.97,U
79,1996-08,11.56,U
80,1996-09,5.49,U
81,1996-10,-9.35,U
82,1996-11,-18.4,U
83,1996-12,-23.84,U
84,1997-01,, 
85,1997-02,, 
86,1997-03,, 
87,1997-04,, 
88,1997-05,, 
89,1997-06,14.89,U
90,1997-07,17.42,U
91,1997-08,14.02,U
92,1997-09,9.72,U
93,1997-10,-7.44,U
94,1997-11,-12.93,U
95,1997-12,-17.39,U
96,1998-01,-24.02,U
97,1998-02,-12.27,U
98,1998-03,-5.83,U
99,1998-04,3.94,U
100,1998-05,9.82,U
101,1998-06,15.18,U
102,1998-07,16.19,U
103,1998-08,, 
104,1998-09,7.58,U
105,1998-10,-4.23,U
106,1998-11,-15.46,U
107,1998-12,-22.27,U
108,1999-01,-24.83,U
109,1999-02,-21.21,U
110,1999-03,-8.28,U
111,1999-04,1.01,U
112,1999-05,6.9,U
113,1999-06,15.13,U
114,1999-07,15.95,U
115,1999-08,14.4,U
116,1999-09,7.18,U
117,1999-10,-3.96,U
118,1999-11,-16.94,U
119,1999-12,-19.76,U
120,2000-01,-21.5,U
121,2000-02,-8.43,U
122,2000-03,-4.07,U
123,2000-04,1.09,U
124,2000-05,6.43,U
125,2000-06,14.55,U
126,2000-07,15.66,U
127,2000-08,10.38,U
128,2000-09,4.39,U
129,2000-10,-4.68,U
130,2000-11,-13.11,U
131,2000-12,-19.02,U
132,2001-01,, 
