,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1990-01,, 
1,1990-02,, 
2,1990-03,, 
3,1990-04,, 
4,1990-05,, 
5,1990-06,, 
6,1990-07,, 
7,1990-08,14.5,U
8,1990-09,3.35,U
9,1990-10,-7.19,U
10,1990-11,-22.83,U
11,1990-12,-25.07,U
12,1991-01,-20.13,U
13,1991-02,-20.43,U
14,1991-03,-15.06,U
15,1991-04,-2.16,U
16,1991-05,8.68,U
17,1991-06,15.95,U
18,1991-07,14.42,U
19,1991-08,10.55,U
20,1991-09,6.32,U
21,1991-10,-5.81,U
22,1991-11,-20.13,U
23,1991-12,, 
24,1992-01,, 
25,1992-02,-22.67,U
26,1992-03,-12.86,U
27,1992-04,-6.23,U
28,1992-05,1.6,U
29,1992-06,14.73,U
30,1992-07,17.27,U
31,1992-08,12.52,U
32,1992-09,-1.7,U
33,1992-10,-10.31,U
34,1992-11,-16.37,U
35,1992-12,, 
36,1993-01,, 
37,1993-02,, 
38,1993-03,, 
39,1993-04,, 
40,1993-05,, 
41,1993-06,14.9,U
42,1993-07,17.45,U
43,1993-08,10.84,U
44,1993-09,3.24,U
45,1993-10,-4.5,U
46,1993-11,-15.65,U
47,1993-12,, 
48,1994-01,, 
49,1994-02,, 
50,1994-03,, 
51,1994-04,, 
52,1994-05,8.64,U
53,1994-06,12.37,U
54,1994-07,16.14,U
55,1994-08,12.12,U
56,1994-09,3.36,U
57,1994-10,-8.48,U
58,1994-11,-22.23,U
59,1994-12,-23.33,U
60,1995-01,-22.42,U
61,1995-02,-18.05,U
62,1995-03,-17.51,U
63,1995-04,0.8,U
64,1995-05,9.22,U
65,1995-06,13.04,U
66,1995-07,15.67,U
67,1995-08,11.76,U
68,1995-09,7.36,U
69,1995-10,-6.29,U
70,1995-11,-20.85,U
71,1995-12,-20.78,U
72,1996-01,-27.44,U
73,1996-02,-22.74,U
74,1996-03,-12.27,U
75,1996-04,-5.58,U
76,1996-05,7.05,U
77,1996-06,13.14,U
78,1996-07,14.96,U
79,1996-08,8.74,U
80,1996-09,2.81,U
81,1996-10,-13.11,U
82,1996-11,-17.36,U
83,1996-12,-24.44,U
84,1997-01,-21.57,U
85,1997-02,-12.98,U
86,1997-03,-17.31,U
87,1997-04,-3.35,U
88,1997-05,7.14,U
89,1997-06,15.44,U
90,1997-07,15.29,U
91,1997-08,12.75,U
92,1997-09,7.23,U
93,1997-10,-11.37,U
94,1997-11,-13.06,U
95,1997-12,-20.17,U
96,1998-01,-23.29,U
97,1998-02,-15.34,U
98,1998-03,-9.21,U
99,1998-04,0.9,U
100,1998-05,7.16,U
101,1998-06,12.74,U
102,1998-07,15.62,U
103,1998-08,9.72,U
104,1998-09,5.74,U
105,1998-10,-5.02,U
106,1998-11,-15.53,U
107,1998-12,-20.93,U
108,1999-01,-28.24,U
109,1999-02,-25.82,U
110,1999-03,-16.13,U
111,1999-04,-4.54,U
112,1999-05,6.5,U
113,1999-06,14.79,U
114,1999-07,15.1,U
115,1999-08,12.14,U
116,1999-09,5.55,U
117,1999-10,-8.75,U
118,1999-11,-19.67,U
119,1999-12,-25.07,U
120,2000-01,-22.7,U
121,2000-02,-13.09,U
122,2000-03,-11.37,U
123,2000-04,-5.14,U
124,2000-05,3.31,U
125,2000-06,15.29,U
126,2000-07,13.41,U
127,2000-08,9.53,U
128,2000-09,3.18,U
129,2000-10,-7.69,U
