,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1990-01,, 
1,1990-02,, 
2,1990-03,, 
3,1990-04,, 
4,1990-05,6.67,U
5,1990-06,11.03,U
6,1990-07,14.32,U
7,1990-08,13.29,U
8,1990-09,, 
9,1990-10,-6.32,U
10,1990-11,-16.74,U
11,1990-12,-21.89,U
12,1991-01,-19.06,U
13,1991-02,-19.3,U
14,1991-03,-18.24,U
15,1991-04,-6.66,U
16,1991-05,4.39,U
17,1991-06,13.91,U
18,1991-07,13.26,U
19,1991-08,10.25,U
20,1991-09,5.91,U
21,1991-10,, 
22,1991-11,-15.52,U
23,1991-12,-19.79,U
24,1992-01,, 
25,1992-02,, 
26,1992-03,, 
27,1992-04,, 
28,1992-05,, 
29,1992-06,12.63,U
30,1992-07,14.57,U
31,1992-08,8.83,U
32,1992-09,-2.25,U
33,1992-10,-9.43,U
34,1992-11,, 
35,1992-12,, 
36,1993-01,, 
37,1993-02,, 
38,1993-03,, 
39,1993-04,, 
40,1993-05,, 
41,1993-06,13.06,U
42,1993-07,15.43,U
43,1993-08,8.44,U
44,1993-09,1.41,U
45,1993-10,-3.99,U
46,1993-11,-14.17,U
47,1993-12,-13.55,U
48,1994-01,, 
49,1994-02,, 
50,1994-03,, 
51,1994-04,, 
52,1994-05,, 
53,1994-06,10.21,U
54,1994-07,12.86,U
55,1994-08,8.71,U
56,1994-09,2.18,U
57,1994-10,-9.51,U
58,1994-11,-18.12,U
59,1994-12,, 
60,1995-01,, 
61,1995-02,, 
62,1995-03,, 
63,1995-04,, 
64,1995-05,, 
65,1995-06,9.76,U
66,1995-07,16.24,U
67,1995-08,14.01,U
68,1995-09,, 
69,1995-10,, 
70,1995-11,, 
71,1995-12,, 
72,1996-01,, 
73,1996-02,, 
74,1996-03,, 
75,1996-04,, 
76,1996-05,, 
77,1996-06,, 
78,1996-07,, 
79,1996-08,8.3,U
80,1996-09,, 
81,1996-10,, 
82,1996-11,, 
83,1996-12,, 
84,1997-01,, 
85,1997-02,, 
86,1997-03,, 
87,1997-04,, 
88,1997-05,, 
89,1997-06,13.46,U
90,1997-07,, 
91,1997-08,, 
92,1997-09,7.09,U
93,1997-10,-10.9,U
94,1997-11,-9.25,U
95,1997-12,-19.42,U
96,1998-01,-20.54,U
97,1998-02,-17.27,U
98,1998-03,-9.3,U
99,1998-04,-1.99,U
100,1998-05,3.0,U
101,1998-06,10.86,U
102,1998-07,16.2,U
103,1998-08,8.48,U
104,1998-09,5.23,U
105,1998-10,-2.8,U
106,1998-11,-10.57,U
107,1998-12,-16.87,U
108,1999-01,-25.67,U
109,1999-02,-23.24,U
110,1999-03,-18.49,U
111,1999-04,-9.93,U
112,1999-05,3.63,U
113,1999-06,12.95,U
114,1999-07,13.35,U
115,1999-08,11.56,U
116,1999-09,6.0,U
117,1999-10,-7.93,U
118,1999-11,-17.55,U
119,1999-12,-24.85,U
120,2000-01,-21.45,U
121,2000-02,-11.32,U
122,2000-03,-12.22,U
123,2000-04,-8.51,U
124,2000-05,-0.86,U
125,2000-06,12.14,U
126,2000-07,11.82,U
127,2000-08,7.77,U
128,2000-09,2.14,U
129,2000-10,-6.16,U
130,2000-11,-10.47,U
131,2000-12,-10.18,U
132,2001-01,-13.3,U
133,2001-02,-10.16,U
134,2001-03,-15.78,U
135,2001-04,-9.22,U
136,2001-05,-2.48,U
137,2001-06,10.48,U
138,2001-07,11.78,U
