,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1988-01,, 
1,1988-02,, 
2,1988-03,, 
3,1988-04,, 
4,1988-05,16.8,U
5,1988-06,11.65,U
6,1988-07,14.54,U
7,1988-08,, 
8,1988-09,, 
9,1988-10,, 
10,1988-11,, 
11,1988-12,, 
12,1989-01,, 
13,1989-02,, 
14,1989-03,, 
15,1989-04,, 
16,1989-05,, 
17,1989-06,, 
18,1989-07,12.35,U
19,1989-08,, 
20,1989-09,, 
21,1989-10,, 
22,1989-11,, 
23,1989-12,, 
24,1990-01,, 
25,1990-02,, 
26,1990-03,, 
27,1990-04,, 
28,1990-05,, 
29,1990-06,11.91,U
30,1990-07,15.02,U
31,1990-08,12.88,U
32,1990-09,, 
33,1990-10,, 
34,1990-11,, 
35,1990-12,, 
36,1991-01,, 
37,1991-02,, 
38,1991-03,, 
39,1991-04,, 
40,1991-05,, 
41,1991-06,14.81,U
42,1991-07,13.69,U
43,1991-08,11.14,U
44,1991-09,7.29,U
45,1991-10,-4.2,U
46,1991-11,-17.73,U
47,1991-12,-22.93,U
48,1992-01,-18.12,U
49,1992-02,-24.12,U
50,1992-03,-18.5,U
51,1992-04,-8.91,U
52,1992-05,-1.72,U
53,1992-06,12.79,U
54,1992-07,15.74,U
55,1992-08,10.57,U
56,1992-09,-1.13,U
57,1992-10,-9.6,U
58,1992-11,-15.47,U
59,1992-12,-20.94,U
60,1993-01,-25.09,U
61,1993-02,-15.59,U
62,1993-03,, 
63,1993-04,-2.35,U
64,1993-05,5.74,U
65,1993-06,13.53,U
66,1993-07,16.4,U
67,1993-08,9.54,U
68,1993-09,2.14,U
69,1993-10,-3.18,U
70,1993-11,-13.84,U
71,1993-12,-13.21,U
72,1994-01,-17.19,U
73,1994-02,-17.42,U
74,1994-03,-20.88,U
75,1994-04,-8.72,U
76,1994-05,5.72,U
77,1994-06,10.71,U
78,1994-07,14.43,U
79,1994-08,10.39,U
80,1994-09,3.73,U
81,1994-10,-8.83,U
