,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1989-01,, 
1,1989-02,, 
2,1989-03,, 
3,1989-04,, 
4,1989-05,, 
5,1989-06,, 
6,1989-07,, 
7,1989-08,, 
8,1989-09,, 
9,1989-10,1.5,U
10,1989-11,, 
11,1989-12,, 
12,1990-01,, 
13,1990-02,, 
14,1990-03,, 
15,1990-04,, 
16,1990-05,, 
17,1990-06,, 
18,1990-07,, 
19,1990-08,12.93,U
20,1990-09,8.14,U
21,1990-10,, 
22,1990-11,, 
23,1990-12,, 
24,1991-01,, 
25,1991-02,, 
26,1991-03,, 
27,1991-04,, 
28,1991-05,, 
29,1991-06,11.06,U
30,1991-07,11.9,U
31,1991-08,11.24,U
32,1991-09,8.57,U
33,1991-10,, 
34,1991-11,, 
35,1991-12,, 
36,1993-01,, 
37,1993-02,, 
38,1993-03,, 
39,1993-04,, 
40,1993-05,, 
41,1993-06,15.68,U
42,1993-07,16.67,U
43,1993-08,13.76,U
44,1993-09,8.17,U
45,1993-10,, 
46,1993-11,, 
47,1993-12,, 
48,1996-01,, 
49,1996-02,, 
50,1996-03,, 
51,1996-04,, 
52,1996-05,, 
53,1996-06,, 
54,1996-07,13.37,U
55,1996-08,11.83,U
56,1996-09,6.98,U
57,1996-10,, 
58,1996-11,, 
59,1996-12,, 
60,1997-01,, 
61,1997-02,, 
62,1997-03,, 
63,1997-04,, 
64,1997-05,, 
65,1997-06,, 
66,1997-07,15.43,U
67,1997-08,14.37,U
68,1997-09,9.59,U
69,1997-10,0.13,U
70,1997-11,-0.51,U
71,1997-12,, 
72,1998-01,, 
73,1998-02,, 
74,1998-03,, 
75,1998-04,, 
76,1998-05,6.32,U
77,1998-06,11.09,U
78,1998-07,13.17,U
79,1998-08,11.11,U
80,1998-09,7.9,U
81,1998-10,2.51,U
82,1998-11,-2.47,U
83,1998-12,, 
84,1999-01,, 
85,1999-02,, 
86,1999-03,, 
87,1999-04,, 
88,1999-05,6.98,U
89,1999-06,11.65,U
90,1999-07,14.08,U
91,1999-08,12.61,U
92,1999-09,8.34,U
93,1999-10,1.12,U
94,1999-11,, 
95,1999-12,, 
96,2000-01,, 
97,2000-02,, 
98,2000-03,, 
99,2000-04,3.79,U
100,2000-05,6.8,U
101,2000-06,11.0,U
102,2000-07,12.71,U
103,2000-08,11.96,U
104,2000-09,7.86,U
105,2000-10,2.08,U
106,2000-11,0.51,U
107,2000-12,, 
108,2001-01,, 
109,2001-02,, 
110,2001-03,, 
111,2001-04,, 
112,2001-05,6.2,U
113,2001-06,13.05,U
114,2001-07,13.39,U
115,2001-08,13.56,U
116,2001-09,8.37,U
117,2001-10,-0.65,U
118,2001-11,-4.94,U
119,2001-12,-9.25,U
120,2002-01,-3.12,U
121,2002-02,-4.19,U
122,2002-03,-4.9,U
123,2002-04,0.17,U
124,2002-05,7.71,U
125,2002-06,11.0,U
126,2002-07,13.95,U
127,2002-08,12.46,U
128,2002-09,8.55,U
129,2002-10,4.89,U
130,2002-11,1.97,U
131,2002-12,, 
132,2003-01,-2.57,U
