,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1990-01,, 
1,1990-02,, 
2,1990-03,, 
3,1990-04,, 
4,1990-05,, 
5,1990-06,, 
6,1990-07,, 
7,1990-08,14.28,U
8,1990-09,, 
9,1990-10,, 
10,1990-11,, 
11,1990-12,, 
12,1993-01,, 
13,1993-02,, 
14,1993-03,, 
15,1993-04,, 
16,1993-05,, 
17,1993-06,13.74,U
18,1993-07,16.37,U
19,1993-08,8.98,U
20,1993-09,1.55,U
21,1993-10,-3.25,U
22,1993-11,-13.8,U
23,1993-12,, 
24,1994-01,, 
25,1994-02,, 
26,1994-03,, 
27,1994-04,, 
28,1994-05,, 
29,1994-06,10.73,U
30,1994-07,14.18,U
31,1994-08,9.41,U
32,1994-09,3.7,U
33,1994-10,-8.05,U
34,1994-11,, 
35,1994-12,-20.11,U
36,1995-01,-17.49,U
37,1995-02,-13.23,U
38,1995-03,-16.53,U
39,1995-04,-0.94,U
40,1995-05,7.93,U
41,1995-06,10.53,U
42,1995-07,13.94,U
43,1995-08,10.32,U
44,1995-09,7.82,U
45,1995-10,-5.09,U
46,1995-11,-12.22,U
47,1995-12,-16.23,U
48,1996-01,-19.02,U
49,1996-02,-19.18,U
50,1996-03,-9.96,U
51,1996-04,-5.8,U
52,1996-05,5.08,U
53,1996-06,10.13,U
54,1996-07,13.15,U
55,1996-08,8.3,U
56,1996-09,2.07,U
57,1996-10,-9.66,U
58,1996-11,-12.69,U
59,1996-12,-16.67,U
60,1997-01,-17.15,U
61,1997-02,-10.67,U
62,1997-03,-15.37,U
63,1997-04,-2.47,U
64,1997-05,6.3,U
65,1997-06,14.35,U
66,1997-07,14.0,U
67,1997-08,10.8,U
68,1997-09,7.77,U
69,1997-10,-8.76,U
70,1997-11,-10.09,U
71,1997-12,-18.21,U
72,1998-01,-19.33,U
73,1998-02,-13.56,U
74,1998-03,-8.27,U
75,1998-04,-1.95,U
76,1998-05,, 
77,1998-06,11.42,U
78,1998-07,14.72,U
79,1998-08,, 
80,1998-09,, 
81,1998-10,, 
82,1998-11,, 
83,1998-12,, 
84,1999-01,, 
85,1999-02,, 
86,1999-03,, 
87,1999-04,, 
88,1999-05,, 
89,1999-06,, 
90,1999-07,12.76,U
91,1999-08,11.27,U
92,1999-09,5.64,U
93,1999-10,-7.9,U
94,1999-11,-15.71,U
95,1999-12,, 
96,2000-01,, 
97,2000-02,, 
98,2000-03,, 
99,2000-04,, 
100,2000-05,, 
101,2000-06,13.39,U
102,2000-07,11.47,U
103,2000-08,7.67,U
104,2000-09,2.04,U
105,2000-10,-5.57,U
106,2000-11,-9.82,U
107,2000-12,-10.77,U
108,2001-01,-10.9,U
109,2001-02,-10.87,U
110,2001-03,-13.42,U
111,2001-04,-5.86,U
112,2001-05,-2.64,U
113,2001-06,11.93,U
114,2001-07,11.41,U
115,2001-08,10.03,U
116,2001-09,6.3,U
117,2001-10,-6.99,U
118,2001-11,-12.87,U
119,2001-12,, 
120,2002-01,-17.85,U
121,2002-02,-14.5,U
122,2002-03,-7.74,U
123,2002-04,-7.65,U
124,2002-05,6.48,U
125,2002-06,11.32,U
126,2002-07,13.33,U
127,2002-08,9.57,U
128,2002-09,5.02,U
129,2002-10,-2.02,U
130,2002-11,-7.09,U
131,2002-12,-11.53,U
132,2003-01,-14.62,U
133,2003-02,-11.8,U
134,2003-03,-14.39,U
135,2003-04,-2.32,U
