,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1990-01,, 
1,1990-02,, 
2,1990-03,, 
3,1990-04,, 
4,1990-05,, 
5,1990-06,12.53,U
6,1990-07,14.5,U
7,1990-08,11.72,U
8,1990-09,, 
9,1990-10,, 
10,1990-11,, 
11,1990-12,, 
12,1991-01,, 
13,1991-02,, 
14,1991-03,, 
15,1991-04,2.09,U
16,1991-05,6.19,U
17,1991-06,11.49,U
18,1991-07,11.64,U
19,1991-08,10.17,U
20,1991-09,5.55,U
21,1991-10,-3.63,U
22,1991-11,, 
23,1991-12,, 
24,1992-01,, 
25,1992-02,, 
26,1992-03,, 
27,1992-04,, 
28,1992-05,, 
29,1992-06,10.71,U
30,1992-07,13.15,U
31,1992-08,10.05,U
32,1992-09,1.11,U
33,1992-10,-4.55,U
34,1992-11,-9.28,U
35,1992-12,, 
36,1993-01,, 
37,1993-02,, 
38,1993-03,, 
39,1993-04,, 
40,1993-05,, 
41,1993-06,11.48,U
42,1993-07,15.58,U
43,1993-08,11.87,U
44,1993-09,6.69,U
45,1993-10,0.28,U
46,1993-11,-8.01,U
47,1993-12,, 
48,1994-01,, 
49,1994-02,-19.05,U
50,1994-03,-4.09,U
51,1994-04,3.01,U
52,1994-05,5.96,U
53,1994-06,10.9,U
54,1994-07,12.84,U
55,1994-08,13.14,U
56,1994-09,5.55,U
57,1994-10,-1.68,U
58,1994-11,-14.96,U
59,1994-12,, 
60,1995-01,-18.4,U
61,1995-02,-12.0,U
62,1995-03,-10.6,U
63,1995-04,2.56,U
64,1995-05,7.37,U
65,1995-06,11.59,U
66,1995-07,13.52,U
67,1995-08,10.62,U
68,1995-09,9.18,U
69,1995-10,-0.63,U
70,1995-11,-16.91,U
71,1995-12,-20.72,U
72,1996-01,, 
73,1996-02,, 
74,1996-03,, 
75,1996-04,, 
76,1996-05,, 
77,1996-06,, 
78,1996-07,13.68,U
79,1996-08,11.05,U
80,1996-09,9.53,U
81,1996-10,, 
82,1996-11,, 
83,1996-12,, 
84,1997-01,, 
85,1997-02,, 
86,1997-03,, 
87,1997-04,8.26,U
88,1997-05,10.21,U
89,1997-06,12.47,U
90,1997-07,14.51,U
91,1997-08,11.81,U
92,1997-09,6.43,U
93,1997-10,-6.96,U
94,1997-11,-9.93,U
95,1997-12,-13.47,U
96,1998-01,-21.2,U
97,1998-02,-11.97,U
98,1998-03,-6.54,U
99,1998-04,2.28,U
100,1998-05,6.15,U
101,1998-06,11.49,U
102,1998-07,12.4,U
103,1998-08,8.96,U
104,1998-09,5.91,U
105,1998-10,-3.75,U
106,1998-11,-13.64,U
107,1998-12,-19.87,U
108,1999-01,-20.48,U
109,1999-02,-20.34,U
110,1999-03,-7.91,U
111,1999-04,0.89,U
112,1999-05,4.86,U
113,1999-06,11.75,U
114,1999-07,13.09,U
115,1999-08,11.53,U
116,1999-09,6.04,U
117,1999-10,-2.01,U
118,1999-11,-15.1,U
119,1999-12,-15.14,U
120,2000-01,-17.37,U
121,2000-02,-7.96,U
122,2000-03,-4.21,U
123,2000-04,1.4,U
124,2000-05,5.33,U
125,2000-06,11.31,U
126,2000-07,12.9,U
127,2000-08,9.96,U
128,2000-09,4.09,U
129,2000-10,-3.18,U
130,2000-11,-10.46,U
131,2000-12,-14.11,U
132,2001-01,-8.51,U
133,2001-02,-9.84,U
134,2001-03,-6.55,U
135,2001-04,1.46,U
136,2001-05,4.61,U
