,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1990-01,, 
1,1990-02,, 
2,1990-03,, 
3,1990-04,, 
4,1990-05,5.57,U
5,1990-06,10.8,U
6,1990-07,13.67,U
7,1990-08,11.46,U
8,1990-09,0.14,U
9,1990-10,-10.01,U
10,1990-11,-21.89,U
11,1990-12,-29.18,U
12,1991-01,, 
13,1991-02,, 
14,1991-03,, 
15,1991-04,, 
16,1991-05,, 
17,1991-06,, 
18,1991-07,, 
19,1991-08,, 
20,1991-09,, 
21,1991-10,, 
22,1991-11,, 
23,1991-12,-27.02,U
24,1992-01,-26.08,U
25,1992-02,-27.93,U
26,1992-03,-20.78,U
27,1992-04,-13.02,U
28,1992-05,-3.56,U
29,1992-06,11.25,U
30,1992-07,14.85,U
31,1992-08,9.7,U
32,1992-09,-4.16,U
33,1992-10,-11.73,U
34,1992-11,-18.53,U
35,1992-12,-24.35,U
36,1993-01,-24.24,U
37,1993-02,-20.33,U
38,1993-03,-21.32,U
39,1993-04,-9.36,U
40,1993-05,1.29,U
41,1993-06,11.5,U
42,1993-07,14.78,U
43,1993-08,7.36,U
44,1993-09,-0.2,U
45,1993-10,-7.2,U
46,1993-11,-19.2,U
47,1993-12,-19.32,U
48,1994-01,, 
49,1994-02,, 
50,1994-03,, 
51,1994-04,, 
52,1994-05,, 
53,1994-06,9.78,U
54,1994-07,13.52,U
55,1994-08,8.26,U
56,1994-09,-0.22,U
57,1994-10,-11.56,U
58,1994-11,-23.18,U
59,1994-12,, 
60,1995-01,, 
61,1995-02,, 
62,1995-03,, 
63,1995-04,, 
64,1995-05,, 
65,1995-06,9.22,U
66,1995-07,12.7,U
67,1995-08,9.15,U
68,1995-09,5.05,U
69,1995-10,-8.75,U
70,1995-11,-20.45,U
71,1995-12,-25.48,U
72,1996-01,-25.63,U
73,1996-02,-26.3,U
74,1996-03,-18.89,U
75,1996-04,-14.6,U
76,1996-05,2.62,U
77,1996-06,9.36,U
78,1996-07,11.72,U
79,1996-08,6.41,U
80,1996-09,-0.45,U
81,1996-10,-15.56,U
82,1996-11,-17.32,U
83,1996-12,-24.33,U
84,1997-01,-27.39,U
85,1997-02,-22.67,U
86,1997-03,-24.84,U
87,1997-04,-9.54,U
88,1997-05,3.02,U
89,1997-06,12.84,U
90,1997-07,12.98,U
91,1997-08,9.99,U
92,1997-09,5.22,U
93,1997-10,-13.52,U
94,1997-11,-14.21,U
95,1997-12,-25.22,U
96,1998-01,-27.69,U
97,1998-02,-24.08,U
98,1998-03,-16.03,U
99,1998-04,-4.76,U
100,1998-05,1.16,U
101,1998-06,10.64,U
102,1998-07,16.99,U
103,1998-08,7.88,U
104,1998-09,3.09,U
105,1998-10,-5.85,U
106,1998-11,-17.79,U
107,1998-12,-22.9,U
108,1999-01,-30.14,U
109,1999-02,-27.66,U
110,1999-03,-24.98,U
111,1999-04,-12.04,U
112,1999-05,2.28,U
113,1999-06,12.56,U
114,1999-07,13.4,U
115,1999-08,10.15,U
116,1999-09,3.71,U
117,1999-10,-11.31,U
118,1999-11,-23.39,U
119,1999-12,, 
120,2000-01,, 
121,2000-02,, 
122,2000-03,, 
123,2000-04,, 
124,2000-05,, 
125,2000-06,11.93,U
126,2000-07,10.98,U
127,2000-08,6.74,U
128,2000-09,0.24,U
129,2000-10,-10.55,U
130,2000-11,-15.84,U
131,2000-12,-18.53,U
132,2001-01,-19.46,U
