,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1990-01,, 
1,1990-02,, 
2,1990-03,, 
3,1990-04,, 
4,1990-05,, 
5,1990-06,13.19,U
6,1990-07,15.18,U
7,1990-08,12.22,U
8,1990-09,, 
9,1990-10,, 
10,1990-11,, 
11,1990-12,, 
12,1992-01,, 
13,1992-02,, 
14,1992-03,, 
15,1992-04,, 
16,1992-05,, 
17,1992-06,, 
18,1992-07,15.16,U
19,1992-08,10.4,U
20,1992-09,-2.41,U
21,1992-10,, 
22,1992-11,, 
23,1992-12,, 
24,1993-01,, 
25,1993-02,, 
26,1993-03,, 
27,1993-04,, 
28,1993-05,, 
29,1993-06,14.18,U
30,1993-07,17.14,U
31,1993-08,9.54,U
32,1993-09,0.97,U
33,1993-10,-5.14,U
34,1993-11,, 
35,1993-12,, 
36,1994-01,, 
37,1994-02,, 
38,1994-03,, 
39,1994-04,, 
40,1994-05,, 
41,1994-06,11.33,U
42,1994-07,14.76,U
43,1994-08,11.07,U
44,1994-09,3.1,U
45,1994-10,-9.52,U
46,1994-11,, 
47,1994-12,, 
48,1995-01,, 
49,1995-02,, 
50,1995-03,, 
51,1995-04,, 
52,1995-05,, 
53,1995-06,11.78,U
54,1995-07,14.69,U
55,1995-08,10.07,U
56,1995-09,7.31,U
57,1995-10,-6.33,U
58,1995-11,-25.47,U
59,1995-12,-26.55,U
60,1996-01,, 
61,1996-02,-25.34,U
62,1996-03,-15.71,U
63,1996-04,-7.91,U
64,1996-05,4.9,U
65,1996-06,12.09,U
66,1996-07,13.71,U
67,1996-08,7.89,U
68,1996-09,1.72,U
69,1996-10,-14.27,U
70,1996-11,-19.2,U
71,1996-12,, 
72,1997-01,, 
73,1997-02,-16.1,U
74,1997-03,, 
75,1997-04,, 
76,1997-05,, 
77,1997-06,, 
78,1997-07,14.49,U
79,1997-08,12.06,U
80,1997-09,27.65,U
81,1997-10,, 
82,1997-11,, 
83,1997-12,, 
84,1999-01,, 
85,1999-02,, 
86,1999-03,, 
87,1999-04,, 
88,1999-05,, 
89,1999-06,13.07,U
90,1999-07,13.48,U
91,1999-08,11.08,U
92,1999-09,4.07,U
93,1999-10,-10.15,U
94,1999-11,-23.74,U
95,1999-12,-30.29,U
96,2000-01,-27.96,U
97,2000-02,-15.33,U
98,2000-03,-13.21,U
99,2000-04,-7.3,U
100,2000-05,0.64,U
101,2000-06,13.06,U
102,2000-07,12.01,U
103,2000-08,8.37,U
104,2000-09,1.88,U
105,2000-10,-9.41,U
106,2000-11,-15.66,U
107,2000-12,-19.34,U
108,2001-01,-17.49,U
109,2001-02,-16.22,U
110,2001-03,-18.01,U
111,2001-04,-5.85,U
112,2001-05,0.11,U
113,2001-06,12.67,U
114,2001-07,13.28,U
115,2001-08,10.12,U
116,2001-09,5.17,U
117,2001-10,-8.84,U
118,2001-11,-19.26,U
119,2001-12,, 
120,2002-01,-17.58,U
121,2002-02,-19.92,U
122,2002-03,-12.26,U
123,2002-04,-8.86,U
124,2002-05,5.52,U
125,2002-06,11.25,U
126,2002-07,12.88,U
127,2002-08,8.01,U
128,2002-09,4.6,U
129,2002-10,-4.47,U
130,2002-11,-10.75,U
131,2002-12,-15.76,U
132,2003-01,, 
133,2003-02,-16.24,U
134,2003-03,-17.79,U
135,2003-04,-4.28,U
136,2003-05,2.88,U
137,2003-06,14.48,U
138,2003-07,11.35,U
139,2003-08,10.18,U
