,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1988-01,, 
1,1988-02,, 
2,1988-03,, 
3,1988-04,, 
4,1988-05,, 
5,1988-06,14.33,U
6,1988-07,16.63,U
7,1988-08,, 
8,1988-09,, 
9,1988-10,, 
10,1988-11,, 
11,1988-12,, 
12,1989-01,, 
13,1989-02,, 
14,1989-03,, 
15,1989-04,, 
16,1989-05,, 
17,1989-06,13.17,U
18,1989-07,14.42,U
19,1989-08,, 
20,1989-09,, 
21,1989-10,, 
22,1989-11,, 
23,1989-12,, 
24,1991-01,, 
25,1991-02,, 
26,1991-03,, 
27,1991-04,, 
28,1991-05,, 
29,1991-06,15.8,U
30,1991-07,14.17,U
31,1991-08,11.34,U
32,1991-09,8.94,U
33,1991-10,-3.66,U
34,1991-11,-16.79,U
35,1991-12,, 
36,1992-01,, 
37,1992-02,, 
38,1992-03,-10.19,U
39,1992-04,-3.02,U
40,1992-05,2.85,U
41,1992-06,14.42,U
42,1992-07,16.54,U
43,1992-08,12.22,U
44,1992-09,-0.54,U
45,1992-10,-7.56,U
46,1992-11,-12.02,U
47,1992-12,, 
48,1993-01,, 
49,1993-02,, 
50,1993-03,, 
51,1993-04,, 
52,1993-05,, 
53,1993-06,14.89,U
54,1993-07,17.56,U
55,1993-08,12.12,U
56,1993-09,4.25,U
57,1993-10,-2.36,U
58,1993-11,-12.34,U
59,1993-12,, 
60,1994-01,, 
61,1994-02,, 
62,1994-03,-14.76,U
63,1994-04,-1.36,U
64,1994-05,10.08,U
65,1994-06,12.95,U
66,1994-07,15.49,U
67,1994-08,12.32,U
68,1994-09,5.67,U
69,1994-10,-7.09,U
70,1994-11,-15.87,U
71,1994-12,, 
72,1995-01,, 
73,1995-02,, 
74,1995-03,, 
75,1995-04,, 
76,1995-05,, 
77,1995-06,12.62,U
78,1995-07,15.09,U
79,1995-08,11.86,U
80,1995-09,9.02,U
81,1995-10,-4.33,U
82,1995-11,-17.02,U
83,1995-12,-18.35,U
84,1996-01,-24.93,U
