,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1988-01,, 
1,1988-02,, 
2,1988-03,, 
3,1988-04,, 
4,1988-05,, 
5,1988-06,9.19,U
6,1988-07,12.31,U
7,1988-08,, 
8,1988-09,, 
9,1988-10,, 
10,1988-11,, 
11,1988-12,, 
12,1990-01,, 
13,1990-02,, 
14,1990-03,, 
15,1990-04,, 
16,1990-05,, 
17,1990-06,9.91,U
18,1990-07,13.85,U
19,1990-08,12.04,U
20,1990-09,3.51,U
21,1990-10,-3.38,U
22,1990-11,-11.76,U
23,1990-12,-19.61,U
24,1991-01,, 
25,1991-02,, 
26,1991-03,, 
27,1991-04,, 
28,1991-05,, 
29,1991-06,11.93,U
30,1991-07,12.14,U
31,1991-08,10.33,U
32,1991-09,6.97,U
33,1991-10,-1.32,U
34,1991-11,-13.04,U
35,1991-12,-21.78,U
36,1992-01,-18.49,U
37,1992-02,-22.42,U
38,1992-03,-22.17,U
39,1992-04,-8.73,U
40,1992-05,-2.34,U
41,1992-06,10.42,U
42,1992-07,13.17,U
43,1992-08,8.82,U
44,1992-09,-0.56,U
45,1992-10,-6.72,U
46,1992-11,-15.4,U
47,1992-12,-18.9,U
48,1993-01,, 
49,1993-02,, 
50,1993-03,, 
51,1993-04,, 
52,1993-05,, 
53,1993-06,10.36,U
54,1993-07,13.98,U
55,1993-08,8.92,U
56,1993-09,1.63,U
57,1993-10,-2.74,U
58,1993-11,-9.96,U
59,1993-12,-12.95,U
60,1994-01,-17.69,U
61,1994-02,-15.04,U
62,1994-03,-21.09,U
63,1994-04,-12.21,U
64,1994-05,2.05,U
65,1994-06,9.33,U
66,1994-07,11.79,U
67,1994-08,9.1,U
68,1994-09,3.94,U
69,1994-10,-6.2,U
70,1994-11,-16.48,U
71,1994-12,-20.27,U
72,1995-01,, 
73,1995-02,, 
74,1995-03,, 
75,1995-04,, 
76,1995-05,, 
77,1995-06,8.09,U
78,1995-07,12.67,U
79,1995-08,9.45,U
80,1995-09,7.41,U
