,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1988-01,, 
1,1988-02,, 
2,1988-03,, 
3,1988-04,3.53,U
4,1988-05,2.34,U
5,1988-06,14.58,U
6,1988-07,16.08,U
7,1988-08,12.17,U
8,1988-09,4.27,U
9,1988-10,-11.57,U
10,1988-11,-17.09,U
11,1988-12,-14.29,U
12,1989-01,, 
13,1989-02,-11.71,U
14,1989-03,-8.8,U
15,1989-04,-1.55,U
16,1989-05,5.95,U
17,1989-06,13.25,U
18,1989-07,15.41,U
19,1989-08,13.31,U
20,1989-09,5.37,U
21,1989-10,-8.08,U
22,1989-11,, 
23,1989-12,-7.84,U
24,1990-01,, 
25,1990-02,, 
26,1990-03,, 
27,1990-04,, 
28,1990-05,9.63,U
29,1990-06,12.46,U
30,1990-07,16.22,U
31,1990-08,13.41,U
32,1990-09,3.46,U
33,1990-10,-6.55,U
34,1990-11,, 
35,1990-12,, 
36,1991-01,, 
37,1991-02,-6.68,U
38,1991-03,-16.87,U
39,1991-04,-27.02,U
40,1991-05,9.75,U
41,1991-06,16.25,U
42,1991-07,14.9,U
43,1991-08,10.67,U
44,1991-09,6.0,U
45,1991-10,-6.26,U
46,1991-11,-22.54,U
47,1991-12,-23.06,U
48,1992-01,, 
49,1992-02,, 
50,1992-03,, 
51,1992-04,, 
52,1992-05,2.6,U
53,1992-06,15.46,U
54,1992-07,16.76,U
55,1992-08,12.64,U
56,1992-09,-1.34,U
57,1992-10,-10.89,U
58,1992-11,-18.47,U
59,1992-12,-27.34,U
60,1993-01,-23.33,U
61,1993-02,-20.26,U
62,1993-03,, 
63,1993-04,0.71,U
64,1993-05,8.5,U
65,1993-06,15.95,U
66,1993-07,19.39,U
67,1993-08,12.27,U
68,1993-09,3.81,U
69,1993-10,-4.27,U
70,1993-11,-17.43,U
71,1993-12,-18.9,U
72,1994-01,, 
73,1994-02,, 
74,1994-03,-16.25,U
75,1994-04,-3.32,U
76,1994-05,9.4,U
77,1994-06,13.85,U
