,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1990-01,, 
1,1990-02,, 
2,1990-03,, 
3,1990-04,, 
4,1990-05,, 
5,1990-06,13.54,U
6,1990-07,14.87,U
7,1990-08,14.77,U
8,1990-09,9.88,U
9,1990-10,2.08,U
10,1990-11,, 
11,1990-12,, 
12,1991-01,, 
13,1991-02,, 
14,1991-03,, 
15,1991-04,, 
16,1991-05,9.09,U
17,1991-06,13.25,U
18,1991-07,14.38,U
19,1991-08,13.49,U
20,1991-09,11.07,U
21,1991-10,, 
22,1991-11,-2.5,U
23,1991-12,-5.62,U
24,1992-01,, 
25,1992-02,, 
26,1992-03,, 
27,1992-04,, 
28,1992-05,, 
29,1992-06,13.14,U
30,1992-07,15.04,U
31,1992-08,13.43,U
32,1992-09,5.53,U
33,1992-10,0.99,U
34,1992-11,-2.03,U
35,1992-12,-8.86,U
36,1993-01,-7.85,U
37,1993-02,-3.32,U
38,1993-03,, 
39,1993-04,6.2,U
40,1993-05,10.9,U
41,1993-06,13.25,U
42,1993-07,16.19,U
43,1993-08,14.84,U
44,1993-09,9.3,U
45,1993-10,4.45,U
46,1993-11,-2.71,U
47,1993-12,-3.26,U
48,1994-01,-3.96,U
49,1994-02,-6.61,U
50,1994-03,-2.61,U
51,1994-04,4.6,U
52,1994-05,9.12,U
53,1994-06,13.5,U
54,1994-07,14.83,U
55,1994-08,15.04,U
56,1994-09,9.88,U
57,1994-10,1.82,U
58,1994-11,-8.34,U
59,1994-12,-7.87,U
60,1995-01,-7.06,U
61,1995-02,-4.63,U
62,1995-03,-5.3,U
63,1995-04,5.66,U
64,1995-05,9.49,U
65,1995-06,12.82,U
66,1995-07,14.9,U
67,1995-08,14.53,U
68,1995-09,12.15,U
69,1995-10,4.59,U
70,1995-11,-4.51,U
71,1995-12,-5.62,U
72,1996-01,, 
73,1996-02,, 
74,1996-03,, 
75,1996-04,, 
76,1996-05,10.45,U
77,1996-06,12.93,U
78,1996-07,15.11,U
79,1996-08,14.02,U
80,1996-09,, 
81,1996-10,, 
82,1996-11,, 
83,1996-12,, 
84,1997-01,, 
85,1997-02,, 
86,1997-03,, 
87,1997-04,, 
88,1997-05,10.0,U
89,1997-06,14.09,U
90,1997-07,16.38,U
91,1997-08,15.42,U
92,1997-09,11.57,U
93,1997-10,0.21,U
94,1997-11,-1.16,U
95,1997-12,, 
96,1998-01,, 
97,1998-02,, 
98,1998-03,, 
99,1998-04,, 
100,1998-05,7.71,U
101,1998-06,12.46,U
102,1998-07,14.4,U
103,1998-08,12.37,U
104,1998-09,9.87,U
105,1998-10,3.58,U
106,1998-11,-3.23,U
107,1998-12,, 
108,1999-01,, 
109,1999-02,, 
110,1999-03,, 
111,1999-04,, 
112,1999-05,8.04,U
113,1999-06,13.24,U
114,1999-07,15.11,U
115,1999-08,14.26,U
116,1999-09,, 
117,1999-10,2.26,U
118,1999-11,-4.79,U
119,1999-12,-9.26,U
120,2000-01,, 
121,2000-02,, 
122,2000-03,, 
123,2000-04,4.71,U
124,2000-05,8.42,U
125,2000-06,13.26,U
126,2000-07,13.98,U
127,2000-08,13.64,U
128,2000-09,9.28,U
129,2000-10,2.7,U
130,2000-11,-0.34,U
131,2000-12,-2.09,U
132,2001-01,-1.82,U
133,2001-02,-3.01,U
134,2001-03,-0.17,U
135,2001-04,4.04,U
136,2001-05,7.24,U
137,2001-06,, 
138,2001-07,14.35,U
