,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1988-01,, 
1,1988-02,, 
2,1988-03,, 
3,1988-04,, 
4,1988-05,, 
5,1988-06,15.76,U
6,1988-07,18.17,U
7,1988-08,13.28,U
8,1988-09,, 
9,1988-10,, 
10,1988-11,, 
11,1988-12,, 
12,1989-01,, 
13,1989-02,, 
14,1989-03,, 
15,1989-04,, 
16,1989-05,, 
17,1989-06,14.27,U
18,1989-07,16.45,U
19,1989-08,14.28,U
20,1989-09,7.53,U
21,1989-10,-5.25,U
22,1989-11,-20.32,U
23,1989-12,, 
24,1990-01,, 
25,1990-02,, 
26,1990-03,, 
27,1990-04,, 
28,1990-05,, 
29,1990-06,15.32,U
30,1990-07,18.44,U
31,1990-08,, 
32,1990-09,, 
33,1990-10,, 
34,1990-11,, 
35,1990-12,, 
36,1991-01,, 
37,1991-02,, 
38,1991-03,, 
39,1991-04,, 
40,1991-05,, 
41,1991-06,16.85,U
42,1991-07,14.66,U
43,1991-08,11.34,U
44,1991-09,9.09,U
45,1991-10,-3.33,U
46,1991-11,-15.66,U
47,1991-12,-16.9,U
48,1992-01,-17.08,U
49,1992-02,-18.76,U
50,1992-03,-7.65,U
51,1992-04,-2.36,U
52,1992-05,4.57,U
53,1992-06,15.42,U
54,1992-07,17.01,U
55,1992-08,13.0,U
56,1992-09,-0.29,U
57,1992-10,-7.1,U
58,1992-11,-11.51,U
59,1992-12,-19.01,U
60,1993-01,-18.11,U
61,1993-02,-13.56,U
62,1993-03,, 
63,1993-04,3.96,U
64,1993-05,10.67,U
65,1993-06,15.89,U
66,1993-07,18.69,U
67,1993-08,13.32,U
68,1993-09,5.34,U
69,1993-10,-2.24,U
70,1993-11,-12.46,U
71,1993-12,, 
72,1994-01,, 
73,1994-02,, 
74,1994-03,, 
75,1994-04,, 
76,1994-05,10.64,U
77,1994-06,14.02,U
78,1994-07,17.14,U
79,1994-08,13.78,U
80,1994-09,6.28,U
81,1994-10,-6.27,U
82,1994-11,-16.62,U
