,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1979-01,, 
1,1979-02,-30.27,]
2,1979-03,, 
3,1979-04,, 
4,1979-05,, 
5,1979-06,, 
6,1979-07,, 
7,1979-08,, 
8,1979-09,, 
9,1979-10,, 
10,1979-11,, 
11,1979-12,, 
12,1980-01,, 
13,1980-02,, 
14,1980-03,, 
15,1980-04,, 
16,1980-05,, 
17,1980-06,, 
18,1980-07,, 
19,1980-08,, 
20,1980-09,-2.13,]
21,1980-10,, 
22,1980-11,, 
23,1980-12,, 
24,1981-01,, 
25,1981-02,, 
26,1981-03,, 
27,1981-04,, 
28,1981-05,, 
29,1981-06,, 
30,1981-07,, 
31,1981-08,, 
32,1981-09,, 
33,1981-10,, 
34,1981-11,, 
35,1981-12,-25.07,]
36,1982-01,, 
37,1982-02,, 
38,1982-03,, 
39,1982-04,, 
40,1982-05,, 
41,1982-06,3.41,]
42,1982-07,, 
43,1982-08,, 
44,1982-09,0.54,]
45,1982-10,-14.6,]
46,1982-11,, 
47,1982-12,, 
48,1983-01,-31.71,]
49,1983-02,-27.34,]
50,1983-03,-29.43,]
51,1983-04,-17.43,]
52,1983-05,-9.85,]
53,1983-06,3.74,]
54,1983-07,7.01,]
55,1983-08,5.23,]
56,1983-09,, 
57,1983-10,, 
58,1983-11,, 
59,1983-12,-17.88,]
60,1984-01,, 
61,1984-02,-38.09,]
62,1984-03,-27.95,]
63,1984-04,-22.6,]
64,1984-05,-6.04,]
65,1984-06,4.54,]
66,1984-07,9.35,]
67,1984-08,, 
68,1984-09,1.91,]
69,1984-10,-8.21,]
70,1984-11,-24.92,]
71,1984-12,-28.77,]
72,1985-01,, 
73,1985-02,-30.34,]
74,1985-03,-24.8,]
75,1985-04,-24.74,]
76,1985-05,-4.02,]
77,1985-06,, 
78,1985-07,, 
79,1985-08,, 
80,1985-09,-0.95,]
81,1985-10,-11.22,]
82,1985-11,-16.92,]
83,1985-12,-20.11,]
84,1986-01,, 
85,1986-02,-23.95,]
86,1986-03,-30.08,]
87,1986-04,-22.17,]
88,1986-05,-7.1,]
89,1986-06,3.99,]
90,1986-07,, 
91,1986-08,5.43,]
92,1986-09,2.87,]
93,1986-10,, 
94,1986-11,-20.56,]
95,1986-12,-24.16,]
96,1987-01,, 
97,1987-02,-32.06,]
98,1987-03,-27.63,]
99,1987-04,, 
100,1987-05,-5.6,]
101,1987-06,, 
102,1987-07,8.3,]
103,1987-08,8.72,]
104,1987-09,, 
105,1987-10,-4.07,]
106,1987-11,-19.31,]
107,1987-12,-22.73,]
108,1988-01,-22.13,]
109,1988-02,-26.28,]
110,1988-03,-26.95,]
111,1988-04,-18.16,]
112,1988-05,-7.83,]
113,1988-06,3.5,]
114,1988-07,8.89,]
115,1988-08,6.5,]
116,1988-09,-0.13,]
117,1988-10,-13.91,]
118,1988-11,-27.59,]
119,1988-12,-21.93,]
120,1989-01,-32.97,]
121,1989-02,-11.83,]
122,1989-03,-24.01,]
123,1989-04,-12.27,]
124,1989-05,-6.91,]
125,1989-06,4.02,]
126,1989-07,11.99,]
127,1989-08,10.58,]
128,1989-09,3.0,]
129,1989-10,, 
130,1989-11,-26.94,]
131,1989-12,-23.56,]
132,1990-01,-33.11,]
133,1990-02,, 
134,1990-03,-22.18,]
135,1990-04,, 
136,1990-05,-2.41,]
137,1990-06,, 
138,1990-07,, 
139,1990-08,5.47,]
140,1990-09,0.73,]
141,1990-10,, 
142,1990-11,, 
143,1990-12,-28.22,]
144,1991-01,-26.09,]
145,1991-02,-31.72,]
146,1991-03,-27.47,]
147,1991-04,, 
148,1991-05,-1.01,]
149,1991-06,4.46,]
150,1991-07,6.41,]
151,1991-08,4.37,]
152,1991-09,0.61,]
153,1991-10,-7.71,]
154,1991-11,-24.97,]
155,1991-12,-28.9,]
156,1992-01,-28.01,]
157,1992-02,, 
158,1992-03,-22.37,]
159,1992-04,-15.77,]
160,1992-05,-5.79,]
161,1992-06,, 
162,1992-07,8.67,]
163,1992-08,6.91,]
164,1992-09,, 
165,1992-10,, 
166,1992-11,-18.54,]
167,1992-12,, 
168,1993-01,-23.33,]
169,1993-02,-22.6,]
170,1993-03,-22.05,]
171,1993-04,-13.72,]
172,1993-05,-3.25,]
173,1993-06,4.77,]
174,1993-07,, 
175,1993-08,6.79,]
176,1993-09,2.08,]
177,1993-10,-4.87,]
178,1993-11,-16.16,]
179,1993-12,, 
180,1994-01,, 
181,1994-02,, 
182,1994-03,-26.25,]
183,1994-04,-17.63,]
184,1994-05,, 
185,1994-06,, 
186,1994-07,, 
187,1994-08,10.17,]
188,1994-09,, 
189,1994-10,-10.9,]
190,1994-11,, 
191,1994-12,, 
192,1995-01,, 
193,1995-02,-26.47,]
194,1995-03,, 
195,1995-04,, 
196,1995-05,, 
197,1995-06,, 
198,1995-07,, 
199,1995-08,, 
200,1995-09,, 
201,1995-10,, 
202,1995-11,, 
203,1995-12,-23.66,]
204,1996-01,, 
205,1996-02,, 
206,1996-03,, 
207,1996-04,, 
208,1996-05,-2.38,]
209,1996-06,, 
210,1996-07,, 
211,1996-08,, 
212,1996-09,, 
213,1996-10,, 
214,1996-11,-16.55,]
215,1996-12,-21.69,]
216,1997-01,, 
217,1997-02,, 
