,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1943-01,, 
1,1943-02,-13.34,S
2,1943-03,-15.13,S
3,1943-04,-10.49,S
4,1943-05,-2.28,S
5,1943-06,2.97,S
6,1943-07,5.58,S
7,1943-08,5.3,S
8,1943-09,2.8,S
9,1943-10,-2.4,S
10,1943-11,-5.22,S
11,1943-12,-6.5,S
12,1944-01,-16.24,S
13,1944-02,-14.61,S
14,1944-03,-15.66,S
15,1944-04,-7.41,S
16,1944-05,-3.73,S
17,1944-06,2.89,S
18,1944-07,4.88,S
19,1944-08,5.57,S
20,1944-09,2.51,S
21,1944-10,-1.85,S
22,1944-11,-6.9,S
23,1944-12,-9.57,S
24,1945-01,-8.68,S
25,1945-02,-19.39,S
26,1945-03,-12.39,S
27,1945-04,-12.27,S
28,1945-05,-2.44,S
29,1945-06,3.87,S
30,1945-07,5.06,S
31,1945-08,5.56,S
32,1945-09,, 
33,1945-10,, 
34,1945-11,, 
35,1945-12,, 
36,1949-01,-16.7,""""
37,1949-02,-22.5,""""
38,1949-03,-14.8,""""
39,1949-04,, 
40,1949-05,, 
41,1949-06,, 
42,1949-07,, 
43,1949-08,, 
44,1949-09,, 
45,1949-10,-3.2,""""
46,1949-11,, 
47,1949-12,-9.2,""""
48,1950-01,-19.5,""""
49,1950-02,, 
50,1950-03,, 
51,1950-04,-12.3,""""
52,1950-05,-1.5,""""
53,1950-06,, 
54,1950-07,6.9,""""
55,1950-08,6.4,""""
56,1950-09,2.8,""""
57,1950-10,-2.9,""""
58,1950-11,-6.2,""""
59,1950-12,-5.8,""""
60,1951-01,-12.4,""""
61,1951-02,-20.1,""""
62,1951-03,-15.3,""""
63,1951-04,-11.7,""""
64,1951-05,-0.2,""""
65,1951-06,5.7,""""
66,1951-07,6.5,""""
67,1951-08,6.1,""""
68,1951-09,3.9,""""
69,1951-10,-3.2,""""
70,1951-11,, 
71,1951-12,-11.4,""""
72,1952-01,-15.2,""""
73,1952-02,-16.29,""""
74,1952-03,-17.6,""""
75,1952-04,-9.39,""""
76,1952-05,-0.1,""""
77,1952-06,4.1,""""
78,1952-07,6.3,""""
79,1952-08,7.0,""""
80,1952-09,3.6,""""
81,1952-10,-1.2,""""
82,1952-11,-4.4,""""
83,1952-12,-6.2,""""
84,1953-01,-11.6,""""
85,1953-02,-14.5,""""
86,1953-03,-17.1,""""
87,1953-04,-4.9,""""
88,1953-05,-0.2,""""
89,1953-06,2.8,""""
90,1953-07,6.7,""""
91,1953-08,5.6,""""
92,1953-09,-0.6,""""
93,1953-10,-3.7,""""
94,1953-11,-8.3,""""
95,1953-12,-15.4,""""
96,1954-01,-12.0,""""
97,1954-02,-18.29,""""
98,1954-03,-11.5,""""
99,1954-04,-5.8,""""
100,1954-05,0.2,""""
101,1954-06,3.0,""""
102,1954-07,4.9,""""
103,1954-08,5.5,""""
104,1954-09,2.4,""""
105,1954-10,-2.4,""""
106,1954-11,-6.0,""""
107,1954-12,-14.2,""""
108,1955-01,-18.4,""""
109,1955-02,-13.5,""""
110,1955-03,-13.7,""""
111,1955-04,-13.6,""""
112,1955-05,-1.7,""""
113,1955-06,3.9,""""
114,1955-07,4.6,""""
115,1955-08,4.3,""""
116,1955-09,1.6,""""
117,1955-10,-0.2,""""
118,1955-11,-5.2,""""
119,1955-12,-8.5,""""
120,1956-01,-17.6,""""
121,1956-02,-16.29,""""
122,1956-03,-13.7,""""
123,1956-04,-6.3,""""
124,1956-05,-2.3,""""
125,1956-06,1.8,""""
126,1956-07,5.8,""""
127,1956-08,5.9,""""
128,1956-09,1.6,""""
129,1956-10,-3.3,""""
130,1956-11,-8.1,""""
131,1956-12,-15.4,""""
132,1957-01,-19.0,""""
133,1957-02,-17.9,""""
134,1957-03,-14.6,""""
135,1957-04,-9.1,""""
136,1957-05,-1.2,""""
137,1957-06,4.5,""""
138,1957-07,7.6,""""
139,1957-08,6.8,""""
140,1957-09,4.0,""""
141,1957-10,-2.6,""""
142,1957-11,-5.7,""""
143,1957-12,-11.2,""""
144,1958-01,-15.24,k
145,1958-02,, 
146,1958-03,, 
147,1958-04,, 
148,1958-05,, 
149,1958-06,4.14,k
150,1958-07,7.88,k
151,1958-08,6.45,k
152,1958-09,2.47,k
153,1958-10,-1.88,k
154,1958-11,, 
155,1958-12,, 
156,1959-01,-8.85,k
157,1959-02,-17.03,k
158,1959-03,-21.17,k
159,1959-04,-9.42,k
160,1959-05,-0.04,k
161,1959-06,3.68,k
162,1959-07,6.39,k
163,1959-08,5.51,k
