,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1946-01,, 
1,1946-02,, 
2,1946-03,, 
3,1946-04,, 
4,1946-05,, 
5,1946-06,, 
6,1946-07,, 
7,1946-08,, 
8,1946-09,-2.9,w
9,1946-10,-8.8,w
10,1946-11,-15.2,w
11,1946-12,-20.7,w
12,1947-01,-16.79,w
13,1947-02,-14.1,w
14,1947-03,-19.1,w
15,1947-04,-16.4,w
16,1947-05,-4.6,w
17,1947-06,1.3,w
18,1947-07,4.8,w
19,1947-08,2.6,w
20,1947-09,-1.8,w
21,1947-10,-8.7,w
22,1947-11,-11.4,w
23,1947-12,-18.9,w
24,1948-01,-23.2,w
25,1948-02,-29.1,w
26,1948-03,-27.6,w
27,1948-04,-18.29,w
28,1948-05,-6.2,w
29,1948-06,2.4,w
30,1948-07,4.6,w
31,1948-08,3.3,w
32,1948-09,-2.4,w
33,1948-10,-8.3,w
34,1948-11,-16.29,w
35,1948-12,-28.8,w
36,1949-01,-26.4,w
37,1949-02,-30.2,w
38,1949-03,-24.2,w
39,1949-04,-19.7,w
40,1949-05,-6.2,w
41,1949-06,2.0,w
42,1949-07,6.1,w
43,1949-08,4.2,w
44,1949-09,-4.6,w
45,1949-10,-11.5,w
46,1949-11,-17.2,w
47,1949-12,-23.6,w
48,1950-01,-24.1,w
49,1950-02,-27.4,w
50,1950-03,-23.5,w
51,1950-04,-21.9,w
52,1950-05,-5.7,w
53,1950-06,2.6,w
54,1950-07,5.6,w
55,1950-08,4.7,w
56,1950-09,-2.8,w
57,1950-10,-9.39,w
58,1950-11,-13.7,w
59,1950-12,-19.6,w
60,1951-01,-25.9,w
61,1951-02,-29.6,w
62,1951-03,-27.1,w
63,1951-04,-17.79,w
64,1951-05,-5.2,w
65,1951-06,1.4,w
66,1951-07,4.2,w
67,1951-08,2.4,w
68,1951-09,-2.7,w
69,1951-10,-15.1,w
70,1951-11,-16.92,X
71,1951-12,-26.65,X
72,1952-01,-26.46,X
73,1952-02,-25.12,X
74,1952-03,-27.95,X
75,1952-04,-17.41,X
76,1952-05,-3.06,X
77,1952-06,4.01,X
78,1952-07,4.79,X
79,1952-08,4.85,X
80,1952-09,-0.88,X
81,1952-10,-11.42,X
82,1952-11,-14.8,X
83,1952-12,-17.96,X
84,1953-01,-22.03,X
85,1953-02,-27.07,X
86,1953-03,-26.85,X
87,1953-04,-10.39,X
88,1953-05,-2.24,X
89,1953-06,0.69,X
90,1953-07,5.42,X
91,1953-08,4.08,X
92,1953-09,-2.55,X
93,1953-10,-13.3,X
94,1953-11,-22.95,X
95,1953-12,-28.57,X
96,1954-01,-23.21,X
97,1954-02,, 
98,1954-03,-25.48,X
99,1954-04,-12.32,X
100,1954-05,-3.95,X
101,1954-06,2.55,X
102,1954-07,5.02,X
103,1954-08,5.39,X
104,1954-09,-2.0,X
105,1954-10,-9.99,X
106,1954-11,-17.82,X
107,1954-12,-25.06,X
108,1955-01,-28.22,X
109,1955-02,-24.74,X
110,1955-03,-24.13,X
111,1955-04,-19.09,X
112,1955-05,-9.61,X
113,1955-06,2.79,X
114,1955-07,5.23,X
115,1955-08,4.09,X
116,1955-09,-1.73,X
117,1955-10,-4.37,X
118,1955-11,-17.84,X
119,1955-12,-21.46,X
120,1956-01,-23.55,X
121,1956-02,-25.04,X
122,1956-03,-28.08,X
123,1956-04,-16.56,X
124,1956-05,-7.22,X
125,1956-06,2.04,X
126,1956-07,5.87,X
127,1956-08,4.59,X
128,1956-09,-2.79,X
129,1956-10,-7.97,X
130,1956-11,-18.01,X
131,1956-12,-22.16,X
132,1957-01,-26.62,X
133,1957-02,-20.94,X
134,1957-03,-22.4,X
135,1957-04,-18.29,X
136,1957-05,-2.35,X
137,1957-06,5.08,X
138,1957-07,8.2,X
139,1957-08,6.27,X
140,1957-09,1.1,X
141,1957-10,-12.05,X
142,1957-11,-17.94,X
143,1957-12,-22.69,X
