,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1943-01,, 
1,1943-02,, 
2,1943-03,2.1,S
3,1943-04,, 
4,1943-05,4.44,S
5,1943-06,8.89,S
6,1943-07,10.25,S
7,1943-08,9.05,S
8,1943-09,7.54,S
9,1943-10,4.15,S
10,1943-11,2.17,S
11,1943-12,2.36,S
12,1944-01,-1.55,S
13,1944-02,0.72,S
14,1944-03,1.37,S
15,1944-04,3.66,S
16,1944-05,6.11,S
17,1944-06,9.12,S
18,1944-07,11.94,S
19,1944-08,11.05,S
20,1944-09,7.7,S
21,1944-10,4.44,S
22,1944-11,0.2,S
23,1944-12,0.2,S
24,1945-01,-2.42,S
25,1945-02,-0.09,S
26,1945-03,3.78,S
27,1945-04,3.71,S
28,1945-05,6.54,S
29,1945-06,8.67,S
30,1945-07,10.73,S
31,1945-08,10.79,S
32,1945-09,8.77,S
33,1945-10,6.48,S
34,1945-11,5.86,S
35,1945-12,1.87,S
36,1946-01,2.57,S
37,1946-02,0.36,S
38,1946-03,2.87,S
39,1946-04,3.08,S
40,1946-05,8.09,S
41,1946-06,8.09,S
42,1946-07,10.01,S
43,1946-08,10.17,S
44,1946-09,8.1,S
45,1946-10,7.45,S
46,1946-11,1.63,S
47,1946-12,2.77,S
48,1947-01,2.99,S
49,1947-02,-1.23,S
50,1947-03,-2.26,S
51,1947-04,, 
52,1947-05,, 
53,1947-06,, 
54,1947-07,, 
55,1947-08,, 
56,1947-09,, 
57,1947-10,, 
58,1947-11,, 
59,1947-12,, 
60,1949-01,-2.55,_
61,1949-02,-0.1,_
62,1949-03,0.15,_
63,1949-04,-0.04,_
64,1949-05,3.3,_
65,1949-06,9.5,_
66,1949-07,9.95,_
67,1949-08,9.7,_
68,1949-09,8.54,_
69,1949-10,4.8,_
70,1949-11,2.55,_
71,1949-12,-1.04,_
72,1950-01,2.65,_
73,1950-02,-0.8,_
74,1950-03,1.45,_
75,1950-04,1.75,_
76,1950-05,6.35,_
77,1950-06,8.64,_
78,1950-07,11.65,_
79,1950-08,11.75,_
80,1950-09,6.89,_
81,1950-10,4.05,_
82,1950-11,0.9,_
83,1950-12,-1.7,_
84,1951-01,-1.4,_
85,1951-02,-1.2,_
86,1951-03,-3.05,_
87,1951-04,-0.6,_
88,1951-05,6.45,_
89,1951-06,9.14,_
90,1951-07,10.14,_
91,1951-08,11.0,_
92,1951-09,9.16,X
93,1951-10,5.15,X
94,1951-11,1.2,X
95,1951-12,-1.21,X
96,1952-01,-3.16,X
97,1952-02,-0.27,X
98,1952-03,0.73,X
99,1952-04,2.84,X
100,1952-05,5.65,X
101,1952-06,7.84,X
102,1952-07,9.8,X
103,1952-08,10.21,X
104,1952-09,7.64,X
105,1952-10,5.45,X
106,1952-11,2.93,X
107,1952-12,1.37,X
108,1953-01,0.87,X
109,1953-02,2.1,X
110,1953-03,2.44,X
111,1953-04,0.12,X
112,1953-05,6.47,X
113,1953-06,9.7,X
114,1953-07,11.5,X
115,1953-08,11.04,X
116,1953-09,9.5,X
117,1953-10,4.34,X
118,1953-11,2.14,X
119,1953-12,2.43,X
120,1954-01,2.11,X
121,1954-02,0.08,X
122,1954-03,1.55,X
123,1954-04,4.22,X
124,1954-05,7.08,X
125,1954-06,9.53,X
126,1954-07,10.02,X
127,1954-08,10.6,X
128,1954-09,6.18,X
129,1954-10,4.04,X
130,1954-11,2.81,X
131,1954-12,-0.3,X
132,1955-01,-1.38,X
133,1955-02,-1.63,X
134,1955-03,1.82,X
135,1955-04,5.39,X
136,1955-05,5.22,X
137,1955-06,9.53,X
138,1955-07,9.98,X
139,1955-08,9.58,X
140,1955-09,7.87,X
141,1955-10,4.04,X
142,1955-11,4.22,X
143,1955-12,-1.77,X
144,1956-01,-2.88,X
145,1956-02,2.87,X
146,1956-03,3.77,X
147,1956-04,3.61,X
148,1956-05,6.39,X
149,1956-06,8.0,X
150,1956-07,10.24,X
151,1956-08,9.69,X
152,1956-09,8.74,X
153,1956-10,4.75,X
154,1956-11,4.82,X
155,1956-12,2.05,X
156,1957-01,1.06,X
157,1957-02,-1.94,X
158,1957-03,-0.05,X
159,1957-04,5.13,X
160,1957-05,6.73,X
161,1957-06,9.53,X
162,1957-07,11.48,X
163,1957-08,10.98,X
164,1957-09,6.96,X
165,1957-10,4.68,X
166,1957-11,3.16,X
167,1957-12,-0.01,X
168,1958-01,-2.02,X
169,1958-02,-1.47,X
170,1958-03,0.64,X
171,1958-04,4.34,X
172,1958-05,4.67,X
173,1958-06,9.71,X
174,1958-07,11.48,X
175,1958-08,9.72,X
176,1958-09,11.03,X
177,1958-10,6.17,X
178,1958-11,4.65,X
179,1958-12,0.51,X
180,1959-01,-2.96,X
181,1959-02,2.31,X
182,1959-03,3.44,X
183,1959-04,2.34,X
184,1959-05,7.17,X
185,1959-06,8.64,X
186,1959-07,11.26,X
187,1959-08,9.93,X
188,1959-09,8.28,X
189,1959-10,7.38,X
190,1959-11,1.3,X
191,1959-12,0.22,X
192,1960-01,1.69,X
193,1960-02,-1.27,X
194,1960-03,3.14,X
195,1960-04,4.44,X
196,1960-05,8.13,X
197,1960-06,9.6,X
198,1960-07,11.86,X
199,1960-08,11.09,X
200,1960-09,9.16,X
201,1960-10,5.64,X
202,1960-11,3.03,X
203,1960-12,0.27,X
204,1961-01,1.7,X
205,1961-02,1.08,X
206,1961-03,0.54,X
207,1961-04,1.53,X
208,1961-05,7.04,X
209,1961-06,8.02,X
210,1961-07,10.58,X
211,1961-08,10.8,X
212,1961-09,9.77,X
213,1961-10,6.39,X
214,1961-11,2.56,X
215,1961-12,-0.58,X
216,1962-01,0.86,X
217,1962-02,0.78,X
218,1962-03,-0.77,X
219,1962-04,3.99,X
220,1962-05,6.43,X
221,1962-06,9.47,X
222,1962-07,11.31,X
223,1962-08,10.88,X
224,1962-09,7.59,X
225,1962-10,5.11,X
226,1962-11,1.27,X
227,1962-12,1.16,X
228,1963-01,0.12,X
229,1963-02,1.82,X
230,1963-03,3.99,X
231,1963-04,3.13,X
232,1963-05,4.29,X
233,1963-06,9.16,X
234,1963-07,9.74,X
235,1963-08,9.37,X
236,1963-09,6.28,X
237,1963-10,5.41,X
238,1963-11,-0.41,X
239,1963-12,2.93,X
240,1964-01,3.76,X
241,1964-02,3.38,X
242,1964-03,5.05,X
243,1964-04,4.33,X
244,1964-05,7.77,X
245,1964-06,9.17,X
246,1964-07,9.88,X
247,1964-08,9.88,X
248,1964-09,7.09,X
