,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1923-01,, 
1,1923-02,-13.1,""""
2,1923-03,-3.9,""""
3,1923-04,-4.4,""""
4,1923-05,1.2,""""
5,1923-06,3.5,""""
6,1923-07,10.4,""""
7,1923-08,7.1,""""
8,1923-09,3.6,""""
9,1923-10,-0.4,""""
10,1923-11,-7.7,""""
11,1923-12,-10.8,""""
12,1924-01,-7.7,""""
13,1924-02,-11.1,""""
14,1924-03,-9.39,""""
15,1924-04,-4.69,""""
16,1924-05,2.0,""""
17,1924-06,6.9,""""
18,1924-07,10.2,""""
19,1924-08,9.1,""""
20,1924-09,5.3,""""
21,1924-10,1.8,""""
22,1924-11,-2.8,""""
23,1924-12,-3.4,""""
24,1925-01,-5.6,""""
25,1925-02,-7.1,""""
26,1925-03,-9.39,""""
27,1925-04,-2.4,""""
28,1925-05,3.8,""""
29,1925-06,8.2,""""
30,1925-07,13.1,""""
31,1925-08,9.4,""""
32,1925-09,4.4,""""
33,1925-10,-2.4,""""
34,1925-11,-8.1,""""
35,1925-12,-11.4,""""
36,1926-01,-10.0,""""
37,1926-02,-8.6,""""
38,1926-03,-6.4,""""
39,1926-04,1.0,""""
40,1926-05,2.2,""""
41,1926-06,8.2,""""
42,1926-07,10.5,""""
43,1926-08,9.4,""""
44,1926-09,4.5,""""
45,1926-10,-4.9,""""
46,1926-11,-3.8,""""
47,1926-12,-7.7,""""
48,1927-01,-7.5,""""
49,1927-02,-7.8,""""
50,1927-03,-4.1,""""
51,1927-04,-4.6,""""
52,1927-05,-0.6,""""
53,1927-06,5.4,""""
54,1927-07,11.9,""""
55,1927-08,9.9,""""
56,1927-09,3.9,""""
57,1927-10,-1.1,""""
58,1927-11,-9.3,""""
59,1927-12,-14.3,""""
60,1928-01,-9.8,""""
61,1928-02,-8.3,""""
62,1928-03,-7.7,""""
63,1928-04,-0.5,""""
64,1928-05,2.9,""""
65,1928-06,4.9,""""
66,1928-07,6.7,""""
67,1928-08,7.4,""""
68,1928-09,3.9,""""
69,1928-10,-1.1,""""
70,1928-11,-6.2,""""
71,1928-12,-8.5,""""
72,1929-01,-11.6,""""
73,1929-02,-13.6,""""
74,1929-03,-1.8,""""
75,1929-04,-4.0,""""
76,1929-05,3.6,""""
77,1929-06,6.3,""""
78,1929-07,8.7,""""
79,1929-08,6.6,""""
80,1929-09,5.3,""""
81,1929-10,-0.9,""""
82,1929-11,-3.9,""""
83,1929-12,-4.69,""""
84,1930-01,-5.2,""""
85,1930-02,-7.8,""""
86,1930-03,-5.9,""""
87,1930-04,0.4,""""
88,1930-05,4.6,""""
89,1930-06,9.4,""""
90,1930-07,11.6,""""
91,1930-08,10.5,""""
92,1930-09,4.4,""""
93,1930-10,0.5,""""
94,1930-11,-6.1,""""
95,1930-12,-5.1,""""
96,1931-01,-10.8,""""
97,1931-02,-11.8,""""
98,1931-03,-9.0,""""
99,1931-04,-3.6,""""
100,1931-05,4.2,""""
101,1931-06,4.9,""""
102,1931-07,10.8,""""
103,1931-08,7.8,""""
104,1931-09,2.9,""""
105,1931-10,-1.4,""""
106,1931-11,-1.7,""""
107,1931-12,-7.4,""""
108,1932-01,-3.8,""""
109,1932-02,-4.4,""""
110,1932-03,-9.0,""""
111,1932-04,-3.4,""""
112,1932-05,3.9,""""
113,1932-06,7.0,""""
114,1932-07,10.9,""""
115,1932-08,9.2,""""
116,1932-09,3.8,""""
117,1932-10,-3.2,""""
118,1932-11,-4.0,""""
119,1932-12,-4.6,""""
120,1933-01,-6.9,""""
121,1933-02,-10.0,""""
122,1933-03,-4.5,""""
123,1933-04,-2.3,""""
124,1933-05,4.6,""""
125,1933-06,11.8,""""
126,1933-07,11.7,""""
127,1933-08,8.8,""""
128,1933-09,6.6,""""
129,1933-10,-0.2,""""
130,1933-11,-7.3,""""
131,1933-12,-6.1,""""
132,1934-01,-4.1,""""
133,1934-02,-4.19,""""
134,1934-03,-7.0,""""
135,1934-04,-2.6,""""
136,1934-05,3.6,""""
137,1934-06,8.3,""""
138,1934-07,11.5,""""
139,1934-08,10.3,""""
140,1934-09,7.4,""""
141,1934-10,0.1,""""
142,1934-11,-5.2,""""
143,1934-12,-4.9,""""
144,1935-01,-9.0,""""
145,1935-02,-8.0,""""
146,1935-03,-8.39,""""
147,1935-04,-3.2,""""
148,1935-05,1.3,""""
149,1935-06,8.5,""""
