,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1939-01,, 
1,1939-02,, 
2,1939-03,, 
3,1939-04,, 
4,1939-05,, 
5,1939-06,, 
6,1939-07,, 
7,1939-08,, 
8,1939-09,, 
9,1939-10,, 
10,1939-11,-21.8,[
11,1939-12,-23.6,[
12,1940-01,-30.5,[
13,1940-02,-29.4,[
14,1940-03,-29.4,[
15,1940-04,-19.1,[
16,1940-05,-8.2,[
17,1940-06,1.8,[
18,1940-07,5.7,[
19,1940-08,6.5,[
20,1940-09,0.8,[
21,1940-10,-13.7,[
22,1940-11,-26.0,[
23,1940-12,-33.8,[
24,1941-01,-37.09,[
25,1941-02,-35.8,[
26,1941-03,-32.59,[
27,1941-04,-22.1,[
28,1941-05,-9.39,[
29,1941-06,0.6,[
30,1941-07,6.6,[
31,1941-08,5.8,[
32,1941-09,1.1,[
33,1941-10,-8.5,[
34,1941-11,-25.1,[
35,1941-12,-32.7,[
36,1942-01,-26.0,[
37,1942-02,-30.4,[
38,1942-03,-35.09,[
39,1942-04,-23.1,[
40,1942-05,-7.0,[
41,1942-06,1.1,[
42,1942-07,4.3,[
43,1942-08,3.9,[
44,1942-09,2.1,[
45,1942-10,-10.3,[
46,1942-11,-24.5,[
47,1942-12,-24.2,[
48,1943-01,-31.6,[
49,1943-02,-26.7,[
50,1943-03,-26.4,[
51,1943-04,-12.9,[
52,1943-05,-6.0,[
53,1943-06,2.4,[
54,1943-07,5.4,[
55,1943-08,6.9,[
56,1943-09,1.5,[
57,1943-10,-7.7,[
58,1943-11,-20.8,[
59,1943-12,-34.0,[
60,1944-01,-26.7,[
61,1944-02,-32.2,[
62,1944-03,-26.7,[
63,1944-04,-19.6,[
64,1944-05,-8.7,[
65,1944-06,-1.0,[
66,1944-07,2.8,[
67,1944-08,2.4,[
68,1944-09,, 
69,1944-10,, 
70,1944-11,, 
71,1944-12,, 
72,1946-01,, 
73,1946-02,, 
74,1946-03,, 
75,1946-04,, 
76,1946-05,, 
77,1946-06,, 
78,1946-07,5.6,[
79,1946-08,3.6,[
80,1946-09,-1.7,[
81,1946-10,-11.5,[
82,1946-11,-27.8,[
83,1946-12,-32.0,[
84,1947-01,-30.4,[
85,1947-02,-29.7,[
86,1947-03,-26.8,[
87,1947-04,-21.4,[
88,1947-05,-7.2,[
89,1947-06,-0.2,[
90,1947-07,5.0,[
91,1947-08,6.1,[
92,1947-09,0.2,[
93,1947-10,-3.3,[
94,1947-11,-20.1,[
95,1947-12,-25.2,[
96,1948-01,-30.4,[
97,1948-02,-34.7,[
98,1948-03,-28.6,[
99,1948-04,-23.2,[
100,1948-05,-9.1,[
101,1948-06,0.4,[
102,1948-07,4.9,[
103,1948-08,6.1,[
104,1948-09,1.4,[
105,1948-10,-6.8,[
106,1948-11,-18.79,[
107,1948-12,-28.4,[
108,1949-01,-32.7,[
109,1949-02,-32.0,[
110,1949-03,-22.7,[
111,1949-04,-19.5,[
112,1949-05,-8.6,[
113,1949-06,-1.5,[
114,1949-07,2.9,[
115,1949-08,3.2,[
116,1949-09,2.3,[
117,1949-10,-7.4,[
118,1949-11,-25.0,[
119,1949-12,-21.1,[
120,1950-01,-33.7,[
121,1950-02,-34.09,[
122,1950-03,-29.1,[
123,1950-04,-21.4,[
124,1950-05,-9.5,[
125,1950-06,0.6,[
126,1950-07,3.2,[
127,1950-08,4.6,[
128,1950-09,1.0,[
129,1950-10,-13.3,[
130,1950-11,-27.2,[
131,1950-12,-28.5,[
132,1951-01,-36.5,[
133,1951-02,-33.2,[
134,1951-03,-30.8,[
135,1951-04,-21.5,[
136,1951-05,-10.2,[
137,1951-06,-0.2,[
138,1951-07,3.7,[
139,1951-08,5.0,[
140,1951-09,2.7,[
141,1951-10,-6.9,[
142,1951-11,-25.4,[
143,1951-12,-27.3,[
144,1952-01,-34.8,[
145,1952-02,-29.9,[
146,1952-03,-31.9,[
147,1952-04,-20.29,[
148,1952-05,-8.8,[
149,1952-06,0.3,[
150,1952-07,4.8,[
151,1952-08,5.2,[
152,1952-09,2.5,[
153,1952-10,-12.6,[
154,1952-11,-24.1,[
155,1952-12,-30.2,[
156,1953-01,-35.2,[
157,1953-02,-28.4,[
158,1953-03,-26.4,[
159,1953-04,-15.4,[
160,1953-05,-7.3,[
161,1953-06,1.5,[
162,1953-07,9.5,[
163,1953-08,6.1,[
164,1953-09,0.2,[
165,1953-10,-9.8,[
166,1953-11,-19.2,[
167,1953-12,-27.5,[
168,1954-01,-32.3,[
169,1954-02,-32.2,[
170,1954-03,-31.2,[
171,1954-04,-18.9,[
172,1954-05,-8.39,[
173,1954-06,1.4,[
174,1954-07,6.5,[
175,1954-08,7.9,[
176,1954-09,-0.4,[
177,1954-10,-8.5,[
178,1954-11,-23.4,[
179,1954-12,-22.5,[
180,1955-01,-22.4,[
181,1955-02,-33.0,[
182,1955-03,-31.2,[
183,1955-04,-21.7,[
184,1955-05,-11.3,[
185,1955-06,1.7,[
186,1955-07,5.8,[
187,1955-08,7.3,[
188,1955-09,0.4,[
189,1955-10,-11.3,[
190,1955-11,-28.4,[
191,1955-12,-34.2,[
192,1956-01,-32.3,[
193,1956-02,-25.6,[
194,1956-03,-26.1,[
195,1956-04,-22.7,[
196,1956-05,-13.0,[
197,1956-06,1.7,[
198,1956-07,6.8,[
199,1956-08,4.1,[
200,1956-09,0.6,[
201,1956-10,-15.6,[
202,1956-11,-17.1,[
203,1956-12,-23.2,[
204,1957-01,-32.0,[
205,1957-02,-32.59,[
206,1957-03,-28.4,[
207,1957-04,-23.0,[
208,1957-05,-9.1,[
209,1957-06,2.4,[
210,1957-07,6.2,[
211,1957-08,7.6,[
212,1957-09,-3.6,[
213,1957-10,-17.4,[
214,1957-11,-29.7,[
215,1957-12,-35.5,[
216,1958-01,-33.59,[
217,1958-02,-34.8,[
218,1958-03,-33.0,[
219,1958-04,-24.4,[
220,1958-05,-11.2,[
221,1958-06,-1.1,[
222,1958-07,5.2,[
223,1958-08,3.3,[
224,1958-09,-0.8,[
225,1958-10,-13.6,[
226,1958-11,-31.3,[
227,1958-12,-34.2,[
228,1959-01,-35.2,[
229,1959-02,-30.2,[
230,1959-03,-25.5,[
231,1959-04,-18.9,[
232,1959-05,-10.2,[
233,1959-06,3.4,[
234,1959-07,6.7,[
235,1959-08,7.3,[
236,1959-09,1.2,[
237,1959-10,-10.0,[
238,1959-11,-22.5,[
239,1959-12,-27.6,[
240,1960-01,-32.3,[
241,1960-02,-37.09,[
242,1960-03,-33.3,[
243,1960-04,-21.8,[
244,1960-05,-8.2,[
245,1960-06,3.1,[
246,1960-07,4.9,[
247,1960-08,5.5,[
248,1960-09,0.2,[
249,1960-10,-14.8,[
250,1960-11,-26.4,[
251,1960-12,-26.1,[
252,1961-01,-38.0,[
253,1961-02,-33.0,[
254,1961-03,-27.7,[
255,1961-04,-20.5,[
256,1961-05,-11.3,[
257,1961-06,-0.2,[
258,1961-07,3.7,[
259,1961-08,3.9,[
260,1961-09,2.0,[
261,1961-10,-12.0,[
262,1961-11,-20.4,[
263,1961-12,-31.9,[
264,1962-01,-33.59,[
265,1962-02,-30.6,[
266,1962-03,-27.8,[
267,1962-04,-19.7,[
268,1962-05,-11.0,[
269,1962-06,-2.3,[
270,1962-07,4.2,[
271,1962-08,4.6,[
272,1962-09,-1.0,[
273,1962-10,-12.6,[
274,1962-11,-26.8,[
275,1962-12,-33.2,[
276,1963-01,-33.2,[
277,1963-02,-34.59,[
278,1963-03,-31.8,[
279,1963-04,-24.2,[
280,1963-05,-12.8,[
281,1963-06,-0.3,[
282,1963-07,3.7,[
283,1963-08,3.0,[
284,1963-09,-2.4,[
285,1963-10,-16.79,[
286,1963-11,-25.3,[
287,1963-12,-31.0,[
288,1964-01,-35.8,[
289,1964-02,-21.6,[
290,1964-03,-34.2,[
291,1964-04,-22.1,[
292,1964-05,-12.0,[
293,1964-06,-1.1,[
294,1964-07,5.0,[
295,1964-08,4.6,[
296,1964-09,0.6,[
297,1964-10,-10.7,[
298,1964-11,-28.8,[
299,1964-12,-26.5,[
300,1965-01,-37.0,[
301,1965-02,-35.09,[
302,1965-03,-30.2,[
303,1965-04,-19.6,[
304,1965-05,-12.6,[
305,1965-06,0.6,[
306,1965-07,6.7,[
307,1965-08,7.0,[
308,1965-09,1.9,[
309,1965-10,-11.5,[
310,1965-11,-24.7,[
311,1965-12,-30.0,[
312,1966-01,-37.5,[
313,1966-02,-35.4,[
314,1966-03,-34.2,[
315,1966-04,-22.3,[
316,1966-05,-11.5,[
317,1966-06,-0.5,[
318,1966-07,4.0,[
319,1966-08,4.8,[
320,1966-09,-0.3,[
321,1966-10,-15.2,[
322,1966-11,-23.0,[
323,1966-12,-19.6,[
324,1967-01,-35.2,[
325,1967-02,-33.9,[
326,1967-03,-28.0,[
327,1967-04,-17.6,[
328,1967-05,-10.1,[
329,1967-06,0.4,[
330,1967-07,6.3,[
331,1967-08,4.7,[
332,1967-09,1.4,[
333,1967-10,-5.6,[
334,1967-11,-16.1,[
335,1967-12,-25.4,[
336,1968-01,-29.2,[
337,1968-02,-29.3,[
338,1968-03,-27.5,[
339,1968-04,-19.7,[
340,1968-05,-10.7,[
341,1968-06,0.1,[
342,1968-07,6.0,[
343,1968-08,6.2,[
344,1968-09,0.7,[
345,1968-10,-11.3,[
346,1968-11,-32.09,[
347,1968-12,-33.3,[
348,1969-01,-29.7,[
349,1969-02,-34.3,[
350,1969-03,-30.6,[
351,1969-04,-23.6,[
352,1969-05,-9.3,[
353,1969-06,1.8,[
354,1969-07,7.6,[
355,1969-08,7.6,[
356,1969-09,-1.6,[
357,1969-10,-11.4,[
358,1969-11,-23.6,[
359,1969-12,-25.3,[
360,1970-01,-32.3,[
361,1970-02,-34.0,[
362,1970-03,-26.9,[
363,1970-04,-24.4,[
364,1970-05,-12.4,[
365,1970-06,-0.1,[
366,1970-07,4.9,[
367,1970-08,3.1,[
368,1970-09,-0.5,[
369,1970-10,-12.1,[
370,1970-11,-23.4,[
371,1970-12,-30.1,[
372,1971-01,-35.2,[
373,1971-02,-29.7,[
374,1971-03,-27.2,[
375,1971-04,-21.4,[
376,1971-05,-8.3,[
377,1971-06,0.9,[
378,1971-07,5.6,[
379,1971-08,9.4,[
380,1971-09,2.1,[
381,1971-10,-12.1,[
382,1971-11,-22.5,[
383,1971-12,-24.3,[
384,1972-01,-34.09,[
385,1972-02,-35.3,[
386,1972-03,-30.6,[
387,1972-04,-18.2,[
388,1972-05,-11.2,[
389,1972-06,0.1,[
390,1972-07,4.9,[
391,1972-08,5.1,[
392,1972-09,-1.3,[
393,1972-10,-11.3,[
394,1972-11,-28.1,[
395,1972-12,-31.8,[
396,1973-01,-32.4,[
397,1973-02,-32.8,[
398,1973-03,-27.9,[
399,1973-04,-19.4,[
400,1973-05,-10.5,[
401,1973-06,0.3,[
402,1973-07,4.8,[
403,1973-08,5.8,[
404,1973-09,-0.1,[
405,1973-10,-12.7,[
406,1973-11,-26.7,[
407,1973-12,-33.0,[
408,1974-01,-36.09,[
409,1974-02,-34.0,[
410,1974-03,-25.6,[
411,1974-04,-17.7,[
412,1974-05,-9.0,[
413,1974-06,-0.5,[
414,1974-07,4.6,[
415,1974-08,5.8,[
416,1974-09,0.6,[
417,1974-10,-16.2,[
