,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1934-01,-28.9,""""
1,1934-02,, 
2,1934-03,-13.6,""""
3,1934-04,, 
4,1934-05,, 
5,1934-06,, 
6,1934-07,, 
7,1934-08,13.1,""""
8,1934-09,4.0,""""
9,1934-10,-3.3,""""
10,1934-11,-17.29,""""
11,1934-12,-28.3,""""
12,1935-01,-28.0,""""
13,1935-02,-19.29,""""
14,1935-03,-11.7,""""
15,1935-04,-6.6,""""
16,1935-05,4.0,""""
17,1935-06,13.3,""""
18,1935-07,16.5,""""
19,1935-08,11.9,""""
20,1935-09,5.3,""""
21,1935-10,-9.1,""""
22,1935-11,-24.1,""""
23,1935-12,-32.9,""""
24,1936-01,-33.86,r
25,1936-02,-24.79,r
26,1936-03,-16.88,r
27,1936-04,-4.44,r
28,1936-05,5.06,r
29,1936-06,8.57,r
30,1936-07,18.36,r
31,1936-08,12.25,r
32,1936-09,7.0,r
33,1936-10,-2.63,r
34,1936-11,-27.7,r
35,1936-12,-23.35,r
36,1937-01,, 
37,1937-02,-26.19,r
38,1937-03,-20.59,r
39,1937-04,-7.09,r
40,1937-05,, 
41,1937-06,, 
42,1937-07,, 
43,1937-08,9.76,r
44,1937-09,5.23,r
45,1937-10,-5.99,r
46,1937-11,-21.93,r
47,1937-12,-37.79,r
48,1938-01,-30.02,r
49,1938-02,-24.18,r
50,1938-03,-12.43,r
51,1938-04,0.66,r
52,1938-05,5.07,r
53,1938-06,12.48,r
54,1938-07,14.59,r
55,1938-08,13.85,r
56,1938-09,5.55,r
57,1938-10,-5.88,r
58,1938-11,-19.16,r
59,1938-12,-33.18,r
60,1939-01,-32.25,r
61,1939-02,-18.42,r
62,1939-03,-12.44,r
63,1939-04,0.42,r
64,1939-05,4.0,r
65,1939-06,16.06,r
66,1939-07,14.95,r
67,1939-08,12.48,r
68,1939-09,6.16,r
69,1939-10,-4.7,r
70,1939-11,-20.52,r
71,1939-12,-19.75,r
72,1940-01,-40.5,r
73,1940-02,-24.97,r
74,1940-03,-11.54,r
75,1940-04,-1.9,r
76,1940-05,3.99,r
77,1940-06,13.73,r
78,1940-07,15.04,r
79,1940-08,13.22,r
80,1940-09,5.81,r
81,1940-10,-7.53,r
82,1940-11,-18.68,r
83,1940-12,-32.11,r
84,1941-01,-33.63,r
85,1941-02,-29.38,r
86,1941-03,-17.35,r
87,1941-04,-7.31,r
88,1941-05,5.98,r
89,1941-06,14.25,r
90,1941-07,15.94,r
91,1941-08,14.0,r
92,1941-09,8.13,r
93,1941-10,-3.04,r
94,1941-11,-22.17,r
95,1941-12,-31.33,r
96,1942-01,-28.43,r
97,1942-02,-31.69,r
98,1942-03,-18.11,r
99,1942-04,-4.77,r
100,1942-05,3.4,r
101,1942-06,13.57,r
102,1942-07,17.75,r
103,1942-08,12.12,r
104,1942-09,7.31,r
105,1942-10,-5.92,r
106,1942-11,-19.72,r
107,1942-12,-20.9,r
108,1943-01,-30.19,r
109,1943-02,-21.49,r
110,1943-03,-13.03,r
111,1943-04,0.49,r
112,1943-05,7.31,r
113,1943-06,12.94,r
114,1943-07,16.4,r
115,1943-08,13.29,r
116,1943-09,8.89,r
117,1943-10,-2.51,r
118,1943-11,-21.89,r
119,1943-12,-26.37,r
120,1944-01,-24.17,r
121,1944-02,-20.31,r
122,1944-03,-13.04,r
123,1944-04,-2.14,r
124,1944-05,3.86,r
125,1944-06,12.3,r
126,1944-07,16.21,r
127,1944-08,14.27,r
128,1944-09,7.97,r
129,1944-10,-3.99,r
130,1944-11,-23.65,r
131,1944-12,-27.38,r
132,1945-01,-31.63,r
133,1945-02,-25.4,r
134,1945-03,-17.27,r
135,1945-04,0.4,r
136,1945-05,8.72,r
137,1945-06,13.85,r
138,1945-07,16.34,r
139,1945-08,13.08,r
140,1945-09,8.05,r
141,1945-10,-0.21,r
142,1945-11,-18.69,r
143,1945-12,-33.39,r
144,1946-01,-30.39,r
145,1946-02,-24.17,r
146,1946-03,-16.07,r
147,1946-04,-2.89,r
148,1946-05,5.91,r
149,1946-06,11.21,r
150,1946-07,18.11,r
151,1946-08,14.05,r
152,1946-09,2.97,r
153,1946-10,-4.09,r
154,1946-11,-19.88,r
155,1946-12,-37.14,r
156,1947-01,-38.66,r
157,1947-02,-29.03,r
158,1947-03,-15.91,r
159,1947-04,-1.64,r
160,1947-05,6.83,r
161,1947-06,14.83,r
162,1947-07,16.54,r
163,1947-08,11.76,r
164,1947-09,5.75,r
165,1947-10,0.7,r
166,1947-11,-26.98,r
167,1947-12,-35.7,r
168,1948-01,-26.47,r
169,1948-02,-24.55,r
170,1948-03,-12.95,r
171,1948-04,-0.11,r
172,1948-05,4.65,r
173,1948-06,11.66,r
174,1948-07,18.77,r
175,1948-08,12.93,r
176,1948-09,7.89,r
177,1948-10,-4.36,r
178,1948-11,-18.27,r
179,1948-12,-30.54,r
180,1949-01,-23.0,r
181,1949-02,-22.73,r
182,1949-03,-15.82,r
183,1949-04,-0.77,r
184,1949-05,5.19,r
185,1949-06,11.08,r
186,1949-07,15.58,r
187,1949-08,14.06,r
188,1949-09,6.36,r
189,1949-10,-1.85,r
190,1949-11,-24.58,r
191,1949-12,-37.52,r
192,1950-01,-36.36,r
193,1950-02,-24.57,r
194,1950-03,-15.94,r
195,1950-04,-4.99,r
196,1950-05,4.8,r
197,1950-06,14.4,r
198,1950-07,16.15,r
199,1950-08,16.05,r
200,1950-09,6.4,r
201,1950-10,-3.42,r
202,1950-11,-24.06,r
203,1950-12,-29.45,r
204,1951-01,-36.62,r
205,1951-02,-33.18,r
