,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1931-01,-18.2,""""
1,1931-02,-14.9,""""
2,1931-03,-13.3,""""
3,1931-04,-3.3,""""
4,1931-05,4.9,""""
5,1931-06,13.7,""""
6,1931-07,14.7,""""
7,1931-08,11.7,""""
8,1931-09,6.3,""""
9,1931-10,-5.0,""""
10,1931-11,-12.8,""""
11,1931-12,-21.6,""""
12,1932-01,-29.4,""""
13,1932-02,-27.8,""""
14,1932-03,-10.2,""""
15,1932-04,0.4,""""
16,1932-05,8.0,""""
17,1932-06,12.8,""""
18,1932-07,14.9,""""
19,1932-08,11.0,""""
20,1932-09,5.0,""""
21,1932-10,-1.8,""""
22,1932-11,-22.3,""""
23,1932-12,-25.1,""""
24,1933-01,-30.8,""""
25,1933-02,-21.6,""""
26,1933-03,-13.2,""""
27,1933-04,0.1,""""
28,1933-05,7.9,""""
29,1933-06,12.1,""""
30,1933-07,14.6,""""
31,1933-08,12.1,""""
32,1933-09,5.4,""""
33,1933-10,-6.6,""""
34,1933-11,-13.6,""""
35,1933-12,-32.8,""""
36,1934-01,-35.09,""""
37,1934-02,-15.2,""""
38,1934-03,-12.7,""""
39,1934-04,0.6,""""
40,1934-05,7.4,""""
41,1934-06,14.4,""""
42,1934-07,13.7,""""
43,1934-08,13.1,""""
44,1934-09,7.7,""""
45,1934-10,-0.4,""""
46,1934-11,-17.1,""""
47,1934-12,-16.9,""""
48,1935-01,-25.3,""""
49,1935-02,-13.7,""""
50,1935-03,-15.2,""""
51,1935-04,-2.4,""""
52,1935-05,5.8,""""
53,1935-06,13.4,""""
54,1935-07,16.2,""""
55,1935-08,10.1,""""
56,1935-09,5.6,""""
57,1935-10,-4.4,""""
58,1935-11,-16.9,""""
59,1935-12,-27.6,""""
60,1936-01,-22.3,""""
61,1936-02,-25.8,""""
62,1936-03,-15.2,""""
63,1936-04,-2.4,""""
64,1936-05,9.2,""""
65,1936-06,17.0,""""
66,1936-07,15.8,""""
67,1936-08,14.3,""""
68,1936-09,5.8,""""
69,1936-10,-1.0,""""
70,1936-11,-11.8,""""
71,1936-12,-24.8,""""
72,1937-01,-11.4,""""
73,1937-02,-23.7,""""
74,1937-03,-14.5,""""
75,1937-04,-4.6,""""
76,1937-05,6.4,""""
77,1937-06,16.6,""""
78,1937-07,15.7,""""
79,1937-08,11.1,""""
80,1937-09,8.8,""""
81,1937-10,-0.7,""""
82,1937-11,-12.0,""""
83,1937-12,-21.8,""""
84,1938-01,-27.8,""""
85,1938-02,-24.1,""""
86,1938-03,-12.2,""""
87,1938-04,1.2,""""
88,1938-05,8.7,""""
89,1938-06,14.0,""""
90,1938-07,15.1,""""
91,1938-08,12.6,""""
92,1938-09,9.6,""""
93,1938-10,3.2,""""
94,1938-11,-12.5,""""
95,1938-12,-19.5,""""
96,1939-01,-23.7,""""
97,1939-02,-19.4,""""
98,1939-03,-15.3,""""
99,1939-04,0.0,""""
100,1939-05,8.4,""""
101,1939-06,15.1,""""
102,1939-07,15.8,""""
103,1939-08,12.0,""""
104,1939-09,5.6,""""
105,1939-10,-6.3,""""
106,1939-11,-20.7,""""
107,1939-12,-17.79,""""
108,1940-01,-18.7,""""
109,1940-02,-17.79,""""
110,1940-03,-10.8,""""
111,1940-04,6.4,""""
112,1940-05,9.6,""""
113,1940-06,15.6,""""
114,1940-07,16.7,""""
115,1940-08,14.2,""""
116,1940-09,7.6,""""
117,1940-10,-1.4,""""
118,1940-11,-12.6,""""
119,1940-12,-20.0,""""
120,1941-01,-25.4,""""
121,1941-02,-12.2,""""
122,1941-03,-9.39,""""
123,1941-04,3.1,""""
124,1941-05,8.8,""""
125,1941-06,16.4,""""
126,1941-07,14.8,""""
127,1941-08,14.6,""""
128,1941-09,6.7,""""
129,1941-10,-4.9,""""
130,1941-11,-18.7,""""
131,1941-12,-22.6,""""
132,1942-01,-17.29,""""
133,1942-02,-11.4,""""
134,1942-03,-13.3,""""
135,1942-04,1.6,""""
136,1942-05,11.1,""""
137,1942-06,16.3,""""
138,1942-07,16.0,""""
139,1942-08,13.8,""""
140,1942-09,9.3,""""
141,1942-10,-2.2,""""
142,1942-11,-21.3,""""
143,1942-12,-31.4,""""
144,1943-01,-30.1,""""
145,1943-02,-15.1,""""
146,1943-03,-12.2,""""
147,1943-04,-0.8,""""
148,1943-05,8.4,""""
149,1943-06,15.2,""""
150,1943-07,15.2,""""
151,1943-08,11.4,""""
152,1943-09,6.4,""""
153,1943-10,-1.4,""""
154,1943-11,-11.1,""""
155,1943-12,-18.4,""""
156,1944-01,-20.9,""""
157,1944-02,-12.6,""""
158,1944-03,-14.0,""""
159,1944-04,-3.9,""""
160,1944-05,9.2,""""
161,1944-06,14.8,""""
162,1944-07,16.1,""""
163,1944-08,11.4,""""
164,1944-09,5.6,""""
165,1944-10,-1.7,""""
166,1944-11,-15.3,""""
167,1944-12,-19.0,""""
168,1945-01,-17.79,""""
169,1945-02,-14.7,""""
170,1945-03,-12.0,""""
171,1945-04,-4.19,""""
172,1945-05,5.7,""""
173,1945-06,12.1,""""
174,1945-07,15.1,""""
175,1945-08,12.0,""""
176,1945-09,6.2,""""
177,1945-10,-3.2,""""
178,1945-11,-22.0,""""
179,1945-12,-21.0,""""
180,1946-01,-20.29,""""
181,1946-02,-17.29,""""
182,1946-03,-17.0,""""
183,1946-04,-2.8,""""
184,1946-05,9.1,""""
185,1946-06,16.3,""""
186,1946-07,16.5,""""
187,1946-08,11.3,""""
188,1946-09,5.9,""""
189,1946-10,-0.6,""""
190,1946-11,-21.4,""""
191,1946-12,-30.3,""""
192,1947-01,-30.1,""""
193,1947-02,-17.6,""""
194,1947-03,-9.7,""""
195,1947-04,-0.8,""""
196,1947-05,9.3,""""
197,1947-06,13.2,""""
198,1947-07,16.7,""""
199,1947-08,10.5,""""
200,1947-09,5.1,""""
201,1947-10,-4.3,""""
202,1947-11,-10.9,""""
203,1947-12,-18.0,""""
204,1948-01,-20.2,""""
205,1948-02,-21.4,""""
206,1948-03,-14.8,""""
207,1948-04,-4.9,""""
208,1948-05,7.7,""""
