,Code,Elevation,Latitude,Longitude,Name,Time,Time Range
0,CA002100700,504,63.6167,-135.8667,MAYO_A,88 years,1925-2013
1,CA002100880,454,62.8167,-137.3667,PELLY_RANCH,117 years,1898-2015
2,CA002101100,705,60.1667,-132.7333,TESLIN_A,70 years,1943-2013
3,CA002101200,687,60.1167,-128.8167,WATSON_LAKE_A,76 years,1938-2014
4,CA002101300,706,60.7167,-135.0667,WHITEHORSE_A,79 years,1942-2021
5,CA002101415,707,60.7333,-135.0833,WHITEHORSE_WSO,71 years,1942-2013
6,CA002200100,6,68.2167,-135,AKLAVIK_A,83 years,1926-2009
7,CA002201400,81,66.2333,-128.65,FORT_GOOD_HOPE_A,101 years,1909-2010
8,CA002201700,100,64.9167,-125.5667,TULITA_A,99 years,1908-2007
9,CA002201900,166,62.7167,-109.1667,FORT_RELIANCE,65 years,1948-2013
10,CA002202000,160,61.1833,-113.6833,FORT_RESOLUTION_A,77 years,1930-2007
11,CA002202100,132,61.8667,-121.35,FORT_SIMPSON,109 years,1895-2004
12,CA002202101,169,61.7667,-121.2333,FORT_SIMPSON_A,93 years,1921-2014
13,CA002202115,169,61.7667,-121.2333,FORT_SIMPSON,126 years,1895-2021
14,CA002202196,183,60,-111.9333,FORT_SMITH,91 years,1913-2004
15,CA002202198,207,60,-111.8667,FORT_SMITH,76 years,1928-2004
16,CA002202200,205,60.0167,-111.9667,FORT_SMITH_A,90 years,1931-2021
17,CA002202398,161,60.85,-115.95,HAY_RIVER,111 years,1893-2004
18,CA002202400,165,60.8333,-115.7833,HAY_RIVER_A,128 years,1893-2021
19,CA002202800,73,65.2833,-126.8,NORMAN_WELLS_A,70 years,1943-2013
20,CA002202801,73,65.2833,-126.8,NORMAN_WELLS,76 years,1945-2021
21,CA002204000,150,63.2167,-123.4333,WRIGLEY_A,64 years,1943-2007
22,CA002204100,206,62.4667,-114.4333,YELLOWKNIFE_A,70 years,1942-2012
23,CA002300500,19,64.3,-96.0833,BAKER_LAKE_A,75 years,1946-2021
24,CA002300707,10,63.35,-90.7333,CHESTERFIELD_INLET_A,82 years,1931-2013
25,CA002300900,9,67.8333,-115.1167,COPPERMINE,74 years,1930-2004
26,CA002300902,23,67.8167,-115.15,KUGLUKTUK_A,77 years,1944-2021
27,CA002301000,62,64.2,-83.3667,CORAL_HARBOUR_A,88 years,1933-2021
