,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,-32.78,C
1,1950-02,-25.13,C
2,1950-03,-16.73,C
3,1950-04,-6.13,C
4,1950-05,6.11,C
5,1950-06,11.83,C
6,1950-07,15.7,C
7,1950-08,11.41,C
8,1950-09,9.51,C
9,1950-10,-1.18,C
10,1950-11,-14.17,C
11,1950-12,-21.63,C
12,1951-01,-27.12,C
13,1951-02,-23.18,C
14,1951-03,-20.99,C
15,1951-04,-6.95,C
16,1951-05,5.38,C
17,1951-06,9.06,C
18,1951-07,15.3,C
19,1951-08,16.34,C
20,1951-09,8.85,C
21,1951-10,-2.54,C
22,1951-11,-13.99,C
23,1951-12,-26.24,C
24,1952-01,-30.72,C
25,1952-02,-22.37,C
26,1952-03,-15.28,C
27,1952-04,-0.8,C
28,1952-05,8.75,C
29,1952-06,12.71,C
30,1952-07,14.2,C
31,1952-08,12.45,C
32,1952-09,6.22,C
33,1952-10,1.1,C
34,1952-11,-6.58,C
35,1952-12,-14.8,C
36,1953-01,, 
37,1953-02,-17.25,C
38,1953-03,-13.05,C
39,1953-04,-4.84,C
40,1953-05,6.72,C
41,1953-06,11.75,C
42,1953-07,15.43,C
43,1953-08,16.61,C
44,1953-09,9.46,C
45,1953-10,2.1,C
46,1953-11,-6.2,C
47,1953-12,-19.41,C
48,1954-01,-31.42,C
49,1954-02,-20.93,C
50,1954-03,-14.56,C
51,1954-04,-15.52,C
52,1954-05,4.99,C
53,1954-06,13.27,C
54,1954-07,15.74,C
55,1954-08,15.39,C
56,1954-09,8.19,C
57,1954-10,0.39,C
58,1954-11,-6.54,C
59,1954-12,, 
60,1955-01,, 
61,1955-02,-24.93,C
62,1955-03,-22.54,C
63,1955-04,-4.49,C
64,1955-05,5.69,C
65,1955-06,15.28,C
66,1955-07,16.03,C
67,1955-08,14.19,C
68,1955-09,7.01,C
69,1955-10,1.46,C
70,1955-11,-17.53,C
71,1955-12,-24.38,C
72,1956-01,-25.21,C
73,1956-02,-24.39,C
74,1956-03,-14.74,C
75,1956-04,-8.11,C
76,1956-05,4.85,C
77,1956-06,12.79,C
78,1956-07,16.92,C
79,1956-08,13.64,C
80,1956-09,5.75,C
81,1956-10,-2.72,C
82,1956-11,-8.58,C
83,1956-12,-22.93,C
84,1957-01,-22.93,C
85,1957-02,-27.35,C
86,1957-03,-14.56,C
87,1957-04,-5.74,C
88,1957-05,4.12,C
89,1957-06,9.66,C
90,1957-07,14.6,C
91,1957-08,15.24,C
92,1957-09,8.33,C
93,1957-10,-0.42,C
94,1957-11,-10.01,C
95,1957-12,-22.63,C
96,1958-01,-17.91,C
97,1958-02,-26.95,C
98,1958-03,-11.5,C
99,1958-04,-2.04,C
100,1958-05,6.42,C
101,1958-06,10.75,C
102,1958-07,15.68,C
103,1958-08,15.03,C
104,1958-09,8.51,C
105,1958-10,1.47,C
106,1958-11,-9.04,C
107,1958-12,-22.48,C
108,1959-01,-29.32,C
109,1959-02,-20.48,C
110,1959-03,-14.93,C
111,1959-04,-5.88,C
112,1959-05,2.11,C
113,1959-06,8.96,C
114,1959-07,15.72,C
115,1959-08,11.03,C
116,1959-09,7.13,C
117,1959-10,-2.69,C
118,1959-11,-12.32,C
119,1959-12,-15.03,C
120,1960-01,-25.94,C
121,1960-02,-21.57,C
122,1960-03,-19.17,C
123,1960-04,-1.57,C
124,1960-05,4.96,C
125,1960-06,13.16,C
126,1960-07,16.3,C
