,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,6.0,""""
1,1950-02,3.3,""""
2,1950-03,5.0,""""
3,1950-04,4.5,""""
4,1950-05,7.2,""""
5,1950-06,9.6,""""
6,1950-07,11.1,""""
7,1950-08,11.6,""""
8,1950-09,9.8,""""
9,1950-10,7.9,""""
10,1950-11,4.5,""""
11,1950-12,2.0,""""
12,1951-01,3.1,""""
13,1951-02,2.6,""""
14,1951-03,2.3,""""
15,1951-04,2.7,""""
16,1951-05,6.5,""""
17,1951-06,7.9,""""
18,1951-07,10.3,""""
19,1951-08,10.6,""""
20,1951-09,10.0,""""
21,1951-10,8.9,""""
22,1951-11,6.1,""""
23,1951-12,4.0,""""
24,1952-01,1.2,""""
25,1952-02,3.1,""""
26,1952-03,3.7,""""
27,1952-04,6.1,""""
28,1952-05,7.2,""""
29,1952-06,7.6,""""
30,1952-07,10.2,""""
31,1952-08,9.8,""""
32,1952-09,7.6,""""
33,1952-10,7.4,""""
34,1952-11,3.1,""""
35,1952-12,3.5,""""
36,1953-01,4.4,""""
37,1953-02,4.4,""""
38,1953-03,6.5,""""
39,1953-04,3.6,""""
40,1953-05,7.2,""""
41,1953-06,9.9,""""
42,1953-07,11.1,""""
43,1953-08,11.4,""""
44,1953-09,10.4,""""
45,1953-10,8.7,""""
46,1953-11,6.3,""""
47,1953-12,6.4,""""
48,1954-01,3.9,""""
49,1954-02,3.4,""""
50,1954-03,4.2,""""
51,1954-04,6.0,""""
52,1954-05,7.5,""""
53,1954-06,8.8,""""
54,1954-07,10.3,""""
55,1954-08,10.0,""""
56,1954-09,8.0,""""
57,1954-10,6.2,""""
58,1954-11,5.4,""""
59,1954-12,3.4,""""
60,1955-01,1.4,""""
61,1955-02,0.6,""""
62,1955-03,3.5,""""
63,1955-04,6.5,""""
64,1955-05,5.4,""""
65,1955-06,9.2,""""
66,1955-07,11.7,""""
67,1955-08,12.0,""""
68,1955-09,10.0,""""
69,1955-10,5.7,""""
70,1955-11,7.6,""""
71,1955-12,2.1,""""
72,1956-01,1.2,""""
73,1956-02,3.5,""""
74,1956-03,4.9,""""
75,1956-04,4.1,""""
76,1956-05,7.9,""""
77,1956-06,8.2,""""
78,1956-07,10.1,""""
79,1956-08,9.4,""""
80,1956-09,9.9,""""
81,1956-10,7.4,""""
82,1956-11,6.4,""""
83,1956-12,4.9,""""
84,1957-01,4.8,""""
85,1957-02,2.6,""""
86,1957-03,5.0,""""
87,1957-04,6.3,""""
88,1957-05,6.8,""""
89,1957-06,7.9,""""
90,1957-07,10.1,""""
91,1957-08,10.6,""""
92,1957-09,8.4,""""
93,1957-10,7.4,""""
94,1957-11,6.1,""""
95,1957-12,3.6,""""
96,1958-01,2.3,""""
97,1958-02,1.7,""""
98,1958-03,2.3,""""
99,1958-04,5.4,""""
100,1958-05,4.8,""""
101,1958-06,8.5,""""
102,1958-07,10.6,""""
103,1958-08,10.7,""""
104,1958-09,10.8,""""
105,1958-10,8.8,""""
106,1958-11,7.4,""""
107,1958-12,3.5,""""
108,1959-01,0.8,""""
109,1959-02,6.2,""""
110,1959-03,6.3,""""
111,1959-04,5.6,""""
112,1959-05,8.3,""""
113,1959-06,9.5,""""
114,1959-07,10.9,""""
115,1959-08,11.5,""""
116,1959-09,10.7,""""
117,1959-10,9.2,""""
118,1959-11,6.5,""""
119,1959-12,5.3,""""
120,1960-01,3.7,""""
121,1960-02,2.1,""""
122,1960-03,5.4,""""
123,1960-04,6.4,""""
124,1960-05,8.4,""""
125,1960-06,10.6,""""
126,1960-07,11.8,""""
127,1960-08,11.2,""""
128,1960-09,10.2,""""
129,1960-10,7.5,""""
130,1960-11,6.4,""""
131,1960-12,4.4,""""
132,1961-01,3.8,{
133,1961-02,4.7,{
134,1961-03,5.3,{
135,1961-04,4.8,{
136,1961-05,8.3,{
137,1961-06,9.4,{
138,1961-07,10.8,{
139,1961-08,10.9,{
140,1961-09,10.4,{
141,1961-10,8.6,{
142,1961-11,5.1,{
143,1961-12,2.1,{
144,1962-01,4.1,{
145,1962-02,3.2,{
146,1962-03,0.7,{
147,1962-04,4.9,{
148,1962-05,7.1,{
149,1962-06,9.4,{
150,1962-07,9.7,{
151,1962-08,10.2,{
152,1962-09,8.9,{
153,1962-10,8.0,{
154,1962-11,4.5,{
155,1962-12,3.9,{
156,1963-01,2.2,{
157,1963-02,2.8,{
158,1963-03,5.8,{
159,1963-04,6.1,{
160,1963-05,7.0,{
161,1963-06,9.2,{
162,1963-07,10.0,{
163,1963-08,10.5,{
164,1963-09,8.8,{
165,1963-10,7.8,{
166,1963-11,4.0,{
167,1963-12,4.2,{
168,1964-01,5.6,{
169,1964-02,5.1,{
170,1964-03,5.9,{
171,1964-04,5.8,{
172,1964-05,7.7,{
173,1964-06,8.6,{
174,1964-07,10.2,{
175,1964-08,9.3,{
176,1964-09,8.2,{
177,1964-10,7.8,{
178,1964-11,6.0,{
179,1964-12,2.4,{
180,1965-01,2.4,{
181,1965-02,4.9,{
182,1965-03,2.8,{
183,1965-04,5.5,{
184,1965-05,6.9,{
185,1965-06,9.1,{
186,1965-07,8.9,{
187,1965-08,10.2,{
188,1965-09,9.0,{
189,1965-10,8.9,{
190,1965-11,3.1,{
191,1965-12,1.8,{
192,1966-01,3.2,{
193,1966-02,1.8,{
194,1966-03,3.4,{
195,1966-04,4.6,{
196,1966-05,7.2,{
197,1966-06,10.0,{
198,1966-07,10.6,{
199,1966-08,10.3,{
200,1966-09,9.5,{
201,1966-10,7.1,{
202,1966-11,3.9,{
203,1966-12,2.8,{
204,1967-01,4.0,{
205,1967-02,5.2,{
206,1967-03,3.0,{
207,1967-04,4.4,{
208,1967-05,6.0,{
209,1967-06,9.4,{
210,1967-07,10.0,{
211,1967-08,9.9,{
212,1967-09,10.2,{
213,1967-10,6.3,{
214,1967-11,5.4,{
215,1967-12,3.1,{
216,1968-01,2.1,{
217,1968-02,1.8,{
218,1968-03,3.5,{
219,1968-04,4.7,{
220,1968-05,4.8,{
221,1968-06,9.2,{
222,1968-07,10.9,{
223,1968-08,11.3,{
224,1968-09,9.9,{
225,1968-10,7.2,{
226,1968-11,6.3,{
227,1968-12,4.1,{
228,1969-01,4.2,{
229,1969-02,0.7,{
230,1969-03,2.5,{
231,1969-04,5.3,{
232,1969-05,6.5,{
233,1969-06,9.9,{
234,1969-07,10.7,{
235,1969-08,11.5,{
236,1969-09,8.9,{
237,1969-10,8.0,{
238,1969-11,1.4,{
239,1969-12,3.8,{
240,1970-01,3.7,{
241,1970-02,1.4,{
242,1970-03,1.5,{
243,1970-04,3.8,{
244,1970-05,7.9,{
245,1970-06,10.2,{
246,1970-07,9.3,{
247,1970-08,10.3,{
248,1970-09,9.1,{
249,1970-10,6.5,{
250,1970-11,4.0,{
251,1970-12,4.4,{
252,1971-01,3.2,{
253,1971-02,5.3,{
254,1971-03,4.2,{
255,1971-04,5.1,{
256,1971-05,8.4,{
257,1971-06,8.1,{
258,1971-07,10.0,{
259,1971-08,10.5,{
260,1971-09,10.0,{
261,1971-10,7.6,{
262,1971-11,3.8,{
263,1971-12,5.3,{
264,1972-01,4.7,{
265,1972-02,4.9,{
266,1972-03,5.7,{
267,1972-04,5.7,{
268,1972-05,7.9,{
269,1972-06,8.9,{
270,1972-07,10.7,{
271,1972-08,10.4,{
272,1972-09,9.3,{
273,1972-10,8.2,{
274,1972-11,4.6,{
275,1972-12,5.6,{
276,1973-01,6.03,S
277,1973-02,3.09,S
278,1973-03,5.9,S
279,1973-04,3.21,S
280,1973-05,6.1,S
281,1973-06,8.5,S
282,1973-07,10.02,S
283,1973-08,10.01,S
284,1973-09,9.68,S
285,1973-10,6.45,S
286,1973-11,2.36,S
287,1973-12,2.26,S
288,1974-01,5.5,S
289,1974-02,4.12,S
290,1974-03,5.37,S
291,1974-04,7.84,S
292,1974-05,7.84,S
293,1974-06,9.1,S
294,1974-07,10.39,S
295,1974-08,10.62,S
296,1974-09,8.72,S
297,1974-10,6.38,S
298,1974-11,5.58,S
299,1974-12,3.46,S
300,1975-01,2.93,S
301,1975-02,5.35,S
302,1975-03,2.98,S
303,1975-04,4.08,S
304,1975-05,6.07,S
305,1975-06,8.0,S
306,1975-07,10.3,S
307,1975-08,11.12,S
308,1975-09,8.55,S
309,1975-10,8.45,S
310,1975-11,5.59,S
311,1975-12,4.04,S
312,1976-01,2.06,S
313,1976-02,4.83,S
314,1976-03,4.48,S
315,1976-04,4.77,S
316,1976-05,7.29,S
317,1976-06,9.53,S
318,1976-07,10.88,S
319,1976-08,12.02,S
320,1976-09,8.49,S
321,1976-10,8.54,S
322,1976-11,6.32,S
323,1976-12,2.25,S
324,1977-01,2.58,S
325,1977-02,2.56,S
326,1977-03,4.92,S
327,1977-04,3.47,S
328,1977-05,6.64,S
329,1977-06,9.24,S
330,1977-07,10.3,S
331,1977-08,10.03,S
332,1977-09,8.68,S
333,1977-10,8.59,S
334,1977-11,3.91,S
335,1977-12,5.1,S
336,1978-01,1.94,S
337,1978-02,2.34,S
338,1978-03,4.61,S
339,1978-04,4.57,S
340,1978-05,7.38,S
341,1978-06,9.04,S
342,1978-07,9.3,S
343,1978-08,9.97,S
344,1978-09,9.0,S
345,1978-10,7.48,S
346,1978-11,4.92,S
347,1978-12,3.95,S
348,1979-01,0.62,S
349,1979-02,2.09,S
350,1979-03,1.25,S
351,1979-04,4.73,S
352,1979-05,4.55,S
353,1979-06,9.75,S
354,1979-07,9.71,S
355,1979-08,10.02,S
356,1979-09,7.98,S
357,1979-10,7.65,S
358,1979-11,3.99,S
359,1979-12,3.81,S
360,1980-01,3.51,S
361,1980-02,3.82,S
362,1980-03,3.77,S
363,1980-04,6.08,S
364,1980-05,7.25,S
365,1980-06,9.9,S
366,1980-07,10.03,S
367,1980-08,10.3,S
368,1980-09,10.21,S
369,1980-10,5.46,S
370,1980-11,3.38,S
371,1980-12,3.57,S
372,1981-01,2.46,S
373,1981-02,3.6,S
374,1981-03,2.84,S
375,1981-04,5.11,S
376,1981-05,6.74,S
377,1981-06,8.27,S
378,1981-07,9.8,S
379,1981-08,10.89,S
380,1981-09,10.1,S
381,1981-10,4.53,S
382,1981-11,4.03,S
383,1981-12,1.44,S
384,1982-01,3.23,S
385,1982-02,5.28,S
386,1982-03,4.35,S
387,1982-04,5.74,S
388,1982-05,7.34,S
389,1982-06,9.13,S
390,1982-07,11.45,S
391,1982-08,10.5,S
392,1982-09,8.43,S
393,1982-10,7.86,S
394,1982-11,4.54,S
395,1982-12,3.4,S
396,1983-01,3.32,S
397,1983-02,3.24,S
398,1983-03,3.87,S
399,1983-04,3.11,S
400,1983-05,6.34,S
401,1983-06,9.04,S
402,1983-07,10.4,S
403,1983-08,10.45,S
404,1983-09,7.98,S
405,1983-10,6.87,S
406,1983-11,5.22,S
407,1983-12,4.17,S
408,1984-01,1.72,S
409,1984-02,5.21,S
410,1984-03,3.26,S
411,1984-04,5.55,S
412,1984-05,7.0,S
413,1984-06,10.05,S
414,1984-07,11.55,S
415,1984-08,11.64,S
416,1984-09,9.3,S
417,1984-10,7.29,S
418,1984-11,6.16,S
419,1984-12,5.5,S
420,1985-01,2.11,S
421,1985-02,3.82,S
422,1985-03,3.06,S
423,1985-04,4.38,S
424,1985-05,6.7,S
425,1985-06,8.14,S
426,1985-07,10.37,S
427,1985-08,10.89,S
428,1985-09,7.95,S
429,1985-10,8.76,S
430,1985-11,2.57,S
431,1985-12,2.49,S
432,1986-01,2.84,S
433,1986-02,2.66,S
434,1986-03,4.99,S
435,1986-04,4.64,S
436,1986-05,7.24,S
437,1986-06,9.1,S
438,1986-07,10.53,S
439,1986-08,10.26,S
440,1986-09,8.3,S
441,1986-10,7.1,S
442,1986-11,4.98,S
443,1986-12,3.4,S
444,1987-01,3.85,S
445,1987-02,3.36,S
446,1987-03,2.92,S
447,1987-04,6.31,S
448,1987-05,6.75,S
449,1987-06,7.94,S
450,1987-07,10.6,S
451,1987-08,10.48,S
452,1987-09,9.49,S
453,1987-10,7.33,S
454,1987-11,6.48,S
455,1987-12,6.28,S
456,1988-01,2.96,S
457,1988-02,2.83,S
458,1988-03,3.02,S
459,1988-04,4.08,S
460,1988-05,6.97,S
461,1988-06,9.78,S
462,1988-07,10.58,S
463,1988-08,10.97,S
464,1988-09,9.49,S
465,1988-10,7.32,S
466,1988-11,5.66,S
467,1988-12,5.4,S
468,1989-01,5.59,S
469,1989-02,3.41,S
470,1989-03,3.48,S
471,1989-04,4.87,S
472,1989-05,7.09,S
473,1989-06,8.6,S
474,1989-07,10.74,S
475,1989-08,10.67,S
476,1989-09,9.35,S
477,1989-10,7.47,S
478,1989-11,5.64,S
479,1989-12,4.12,S
480,1990-01,5.05,S
481,1990-02,3.95,S
482,1990-03,4.19,S
483,1990-04,5.1,S
484,1990-05,7.43,S
485,1990-06,9.6,S
486,1990-07,10.97,S
487,1990-08,11.42,S
488,1990-09,9.17,S
489,1990-10,8.49,S
490,1990-11,6.2,S
491,1990-12,4.37,S
492,1991-01,5.04,S
493,1991-02,4.13,S
494,1991-03,5.84,S
495,1991-04,5.86,S
496,1991-05,8.56,S
497,1991-06,8.69,S
498,1991-07,11.99,S
499,1991-08,12.55,S
500,1991-09,9.57,S
501,1991-10,8.05,S
502,1991-11,5.48,S
503,1991-12,5.21,S
504,1992-01,6.1,S
505,1992-02,4.82,S
506,1992-03,3.51,S
507,1992-04,5.52,S
508,1992-05,8.0,S
509,1992-06,10.55,S
510,1992-07,10.74,S
511,1992-08,10.74,S
512,1992-09,9.14,S
513,1992-10,6.65,S
514,1992-11,5.11,S
515,1992-12,4.19,S
516,1993-01,3.36,S
517,1993-02,3.96,S
518,1993-03,4.77,S
519,1993-04,5.45,S
520,1993-05,6.34,S
521,1993-06,7.91,S
522,1993-07,8.7,S
523,1993-08,9.53,S
524,1993-09,9.05,S
525,1993-10,6.58,S
526,1993-11,6.23,S
527,1993-12,2.49,S
528,1994-01,1.79,S
529,1994-02,3.48,S
530,1994-03,2.45,S
531,1994-04,4.62,S
532,1994-05,6.34,S
533,1994-06,8.43,S
534,1994-07,10.85,S
535,1994-08,10.65,S
536,1994-09,8.41,S
537,1994-10,6.69,S
538,1994-11,6.93,S
539,1994-12,3.97,S
540,1995-01,2.48,S
541,1995-02,1.62,S
542,1995-03,1.93,S
543,1995-04,3.15,S
544,1995-05,5.77,S
545,1995-06,9.48,S
546,1995-07,9.77,S
547,1995-08,11.2,S
548,1995-09,8.67,S
549,1995-10,7.8,S
550,1995-11,5.59,S
551,1995-12,2.6,S
552,1996-01,5.53,S
553,1996-02,2.9,S
554,1996-03,4.45,S
555,1996-04,6.24,S
556,1996-05,5.45,S
557,1996-06,9.52,S
558,1996-07,10.2,S
559,1996-08,11.19,S
560,1996-09,10.96,S
561,1996-10,8.26,S
562,1996-11,1.52,S
563,1996-12,3.18,S
564,1997-01,4.94,S
565,1997-02,3.72,S
566,1997-03,4.79,S
567,1997-04,5.04,S
568,1997-05,6.35,S
569,1997-06,8.94,S
570,1997-07,11.09,S
571,1997-08,12.06,S
572,1997-09,9.87,S
573,1997-10,7.07,S
574,1997-11,7.25,S
575,1997-12,6.05,S
576,1998-01,4.19,S
577,1998-02,4.34,S
578,1998-03,3.69,S
579,1998-04,4.87,S
580,1998-05,7.79,S
581,1998-06,8.13,S
582,1998-07,10.7,S
583,1998-08,10.75,S
584,1998-09,10.07,S
585,1998-10,6.44,S
586,1998-11,4.81,S
587,1998-12,4.92,S
588,1999-01,3.78,S
589,1999-02,2.42,S
590,1999-03,3.59,S
591,1999-04,4.81,S
592,1999-05,7.27,S
593,1999-06,8.94,S
594,1999-07,10.37,S
595,1999-08,10.4,S
596,1999-09,10.01,S
597,1999-10,8.29,S
598,1999-11,5.84,S
599,1999-12,2.18,S
600,2000-01,4.1,|
601,2000-02,3.4,|
602,2000-03,3.5,|
603,2000-04,3.1,|
604,2000-05,7.4,|
605,2000-06,7.8,|
606,2000-07,10.0,|
607,2000-08,10.9,|
608,2000-09,10.2,|
609,2000-10,8.6,|
610,2000-11,6.0,|
611,2000-12,4.3,|
