,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,-10.58,k
1,1950-02,-4.0,k
2,1950-03,-1.58,k
3,1950-04,4.92,k
4,1950-05,10.35,k
5,1950-06,14.65,k
6,1950-07,16.13,k
7,1950-08,16.73,k
8,1950-09,12.36,k
9,1950-10,6.71,k
10,1950-11,1.99,k
11,1950-12,-0.62,k
12,1951-01,-6.22,k
13,1951-02,-5.98,k
14,1951-03,-5.7,k
15,1951-04,3.89,k
16,1951-05,7.47,k
17,1951-06,13.78,k
18,1951-07,15.44,k
19,1951-08,18.14,k
20,1951-09,12.82,k
21,1951-10,7.39,k
22,1951-11,1.09,k
23,1951-12,0.64,k
24,1952-01,-1.7,k
25,1952-02,-3.26,k
26,1952-03,-7.44,k
27,1952-04,4.14,k
28,1952-05,7.26,k
29,1952-06,13.4,k
30,1952-07,16.38,k
31,1952-08,14.44,k
32,1952-09,8.95,k
33,1952-10,3.05,k
34,1952-11,-1.09,k
35,1952-12,-1.95,k
36,1953-01,-4.42,k
37,1953-02,-7.53,k
38,1953-03,0.17,k
39,1953-04,4.98,k
40,1953-05,9.39,k
41,1953-06,17.14,k
42,1953-07,17.33,k
43,1953-08,15.78,k
44,1953-09,10.68,k
45,1953-10,8.36,k
46,1953-11,2.85,k
47,1953-12,-0.32,k
48,1954-01,-5.7,k
49,1954-02,-9.74,k
50,1954-03,-0.7,k
51,1954-04,2.22,k
52,1954-05,11.54,k
53,1954-06,13.96,k
54,1954-07,17.78,k
55,1954-08,15.98,k
56,1954-09,12.4,k
57,1954-10,6.23,k
58,1954-11,1.26,k
59,1954-12,1.01,k
60,1955-01,-3.81,k
61,1955-02,-6.97,k
62,1955-03,-4.47,k
63,1955-04,-0.26,k
64,1955-05,6.52,k
65,1955-06,12.49,k
66,1955-07,18.36,k
67,1955-08,18.65,k
68,1955-09,14.39,k
69,1955-10,6.96,k
70,1955-11,0.06,k
71,1955-12,-8.73,k
72,1956-01,-6.32,k
73,1956-02,-12.1,k
74,1956-03,-3.23,k
75,1956-04,0.69,k
76,1956-05,9.04,k
77,1956-06,15.88,k
78,1956-07,16.27,k
79,1956-08,13.84,k
80,1956-09,10.03,k
81,1956-10,5.69,k
82,1956-11,-3.0,k
83,1956-12,-1.39,k
84,1957-01,-1.62,k
85,1957-02,-1.46,k
86,1957-03,-5.34,k
87,1957-04,2.37,k
88,1957-05,9.16,k
89,1957-06,13.24,k
90,1957-07,18.45,k
91,1957-08,16.59,k
92,1957-09,10.54,k
93,1957-10,6.83,k
94,1957-11,2.21,k
95,1957-12,-0.72,k
96,1958-01,-7.44,k
97,1958-02,-8.82,k
98,1958-03,-6.6,k
99,1958-04,1.25,k
100,1958-05,7.89,k
101,1958-06,13.24,k
102,1958-07,15.64,k
103,1958-08,15.26,k
104,1958-09,11.69,k
105,1958-10,7.41,k
106,1958-11,4.14,k
107,1958-12,-5.15,k
108,1959-01,-3.57,k
109,1959-02,-1.39,k
110,1959-03,1.32,k
111,1959-04,4.43,k
112,1959-05,10.24,k
113,1959-06,15.66,k
114,1959-07,18.49,k
115,1959-08,17.95,k
116,1959-09,9.76,k
117,1959-10,5.7,k
118,1959-11,2.44,k
119,1959-12,-3.89,k
120,1960-01,-7.93,k
121,1960-02,-7.92,k
122,1960-03,-4.03,k
123,1960-04,2.18,k
124,1960-05,10.83,k
