,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,-11.3,""""
1,1950-02,-9.9,""""
2,1950-03,-4.3,""""
3,1950-04,-3.4,""""
4,1950-05,2.5,""""
5,1950-06,6.5,""""
6,1950-07,7.9,""""
7,1950-08,6.7,""""
8,1950-09,3.4,""""
9,1950-10,-1.6,""""
10,1950-11,-3.9,""""
11,1950-12,-2.1,""""
12,1951-01,-7.6,""""
13,1951-02,-10.8,""""
14,1951-03,-5.5,""""
15,1951-04,-4.2,""""
16,1951-05,1.8,""""
17,1951-06,6.6,""""
18,1951-07,6.9,""""
19,1951-08,6.2,""""
20,1951-09,5.2,""""
21,1951-10,-1.4,""""
22,1951-11,2.5,""""
23,1951-12,-8.4,""""
24,1952-01,-8.6,""""
25,1952-02,-6.9,""""
26,1952-03,-8.1,""""
27,1952-04,-3.7,""""
28,1952-05,2.7,""""
29,1952-06,5.1,""""
30,1952-07,6.7,""""
31,1952-08,6.8,""""
32,1952-09,4.5,""""
33,1952-10,0.4,""""
34,1952-11,1.7,""""
35,1952-12,-2.5,""""
36,1953-01,-7.9,""""
37,1953-02,-6.0,""""
38,1953-03,-8.8,""""
39,1953-04,0.6,""""
40,1953-05,3.5,""""
41,1953-06,4.6,""""
42,1953-07,7.5,""""
43,1953-08,6.7,""""
44,1953-09,3.7,""""
45,1953-10,-1.4,""""
46,1953-11,5.5,""""
47,1953-12,-11.9,""""
48,1954-01,-6.6,""""
49,1954-02,-10.1,""""
50,1954-03,-4.7,""""
51,1954-04,-3.2,""""
52,1954-05,3.3,""""
53,1954-06,4.6,""""
54,1954-07,6.5,""""
55,1954-08,7.0,""""
56,1954-09,4.3,""""
57,1954-10,0.2,""""
58,1954-11,5.1,""""
59,1954-12,-9.0,""""
60,1955-01,-8.6,""""
61,1955-02,-4.0,""""
62,1955-03,-3.7,""""
63,1955-04,-4.5,""""
64,1955-05,2.3,""""
65,1955-06,5.7,""""
66,1955-07,4.8,""""
67,1955-08,5.9,""""
68,1955-09,3.1,""""
69,1955-10,1.5,""""
70,1955-11,0.6,""""
71,1955-12,-3.7,""""
72,1956-01,-10.3,""""
73,1956-02,-7.2,""""
74,1956-03,-4.8,""""
75,1956-04,-0.2,""""
76,1956-05,0.2,""""
77,1956-06,4.1,""""
78,1956-07,6.5,""""
79,1956-08,7.6,""""
80,1956-09,3.7,""""
81,1956-10,-1.1,""""
82,1956-11,5.7,""""
83,1956-12,-11.4,""""
84,1957-01,-11.3,""""
85,1957-02,-6.9,""""
86,1957-03,-4.6,""""
87,1957-04,-2.2,""""
88,1957-05,1.9,""""
89,1957-06,6.9,""""
90,1957-07,7.2,""""
91,1957-08,7.4,""""
92,1957-09,5.4,""""
93,1957-10,-1.0,""""
94,1957-11,3.2,""""
95,1957-12,-6.4,""""
96,1958-01,-8.18,E
97,1958-02,-4.56,E
98,1958-03,-5.46,E
99,1958-04,-4.38,E
100,1958-05,1.96,E
101,1958-06,6.27,E
102,1958-07,9.06,E
103,1958-08,8.4,E
104,1958-09,4.8,E
105,1958-10,0.04,E
106,1958-11,-3.76,E
107,1958-12,, 
108,1959-01,-2.82,E
109,1959-02,-9.32,E
110,1959-03,-9.49,E
111,1959-04,-1.84,E
112,1959-05,2.79,E
113,1959-06,4.81,E
114,1959-07,7.39,E
115,1959-08,7.03,E
116,1959-09,3.81,E
117,1959-10,0.28,E
118,1959-11,-3.66,E
119,1959-12,-7.39,E
120,1960-01,-5.37,E
121,1960-02,-6.32,E
122,1960-03,-8.3,E
123,1960-04,-4.26,E
124,1960-05,2.07,E
125,1960-06,5.5,E
126,1960-07,8.49,E
127,1960-08,9.61,E
128,1960-09,3.73,E
129,1960-10,3.98,E
130,1960-11,-1.66,E
131,1960-12,-5.36,E
