,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,, 
1,1950-02,, 
2,1950-03,, 
3,1950-04,, 
4,1950-05,, 
5,1950-06,, 
6,1950-07,5.58,G
7,1950-08,7.47,G
8,1950-09,4.52,G
9,1950-10,2.37,G
10,1950-11,-0.66,G
11,1950-12,-4.28,G
12,1951-01,-4.93,G
13,1951-02,-2.11,G
14,1951-03,-7.24,G
15,1951-04,-5.35,G
16,1951-05,-0.57,G
17,1951-06,0.47,G
18,1951-07,4.16,G
19,1951-08,6.78,G
20,1951-09,4.04,G
21,1951-10,0.4,G
22,1951-11,-3.71,G
23,1951-12,-3.84,G
24,1952-01,-4.26,G
25,1952-02,-5.89,G
26,1952-03,-5.08,G
27,1952-04,-1.15,G
28,1952-05,0.01,G
29,1952-06,3.03,G
30,1952-07,4.99,G
31,1952-08,3.67,G
32,1952-09,2.5,G
33,1952-10,3.74,G
34,1952-11,-1.37,G
35,1952-12,-3.62,G
36,1953-01,-4.69,G
37,1953-02,-5.53,G
38,1953-03,-5.81,G
39,1953-04,-5.58,G
40,1953-05,-0.26,G
41,1953-06,5.2,G
42,1953-07,5.71,G
43,1953-08,7.53,G
44,1953-09,4.66,G
45,1953-10,2.04,G
46,1953-11,-0.03,G
47,1953-12,-0.64,G
48,1954-01,-3.97,G
49,1954-02,-2.93,G
50,1954-03,, 
51,1954-04,-3.81,G
52,1954-05,0.19,G
53,1954-06,1.72,G
54,1954-07,4.94,G
55,1954-08,4.52,G
56,1954-09,2.67,G
57,1954-10,-0.01,G
58,1954-11,2.13,G
59,1954-12,-1.6,G
60,1955-01,-7.01,G
61,1955-02,-7.85,G
62,1955-03,-6.16,G
63,1955-04,-2.74,G
64,1955-05,-1.8,G
65,1955-06,1.9,G
66,1955-07,5.4,G
67,1955-08,5.4,G
68,1955-09,4.68,G
69,1955-10,-1.15,G
70,1955-11,-2.16,G
71,1955-12,-4.23,G
72,1956-01,-5.17,G
73,1956-02,-3.77,G
74,1956-03,-3.37,G
75,1956-04,-4.79,G
76,1956-05,-0.94,G
77,1956-06,0.42,G
78,1956-07,4.94,G
79,1956-08,3.7,G
80,1956-09,1.95,G
81,1956-10,-0.27,G
82,1956-11,-0.45,G
83,1956-12,-0.02,G
84,1957-01,-1.11,G
85,1957-02,-3.67,G
86,1957-03,-3.48,G
87,1957-04,-1.2,G
88,1957-05,-1.08,G
89,1957-06,1.15,G
90,1957-07,4.17,G
91,1957-08,5.19,G
92,1957-09,3.49,G
93,1957-10,0.69,G
94,1957-11,-0.54,G
95,1957-12,-3.98,G
96,1958-01,-2.79,G
97,1958-02,-4.97,G
98,1958-03,-3.47,G
99,1958-04,-1.27,G
100,1958-05,-0.39,G
