,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,-2.6,=
1,1950-02,-1.8,=
2,1950-03,0.2,=
3,1950-04,4.2,=
4,1950-05,5.2,=
5,1950-06,10.8,=
6,1950-07,13.7,=
7,1950-08,15.8,=
8,1950-09,11.1,=
9,1950-10,6.8,=
10,1950-11,1.8,=
11,1950-12,-0.7,=
12,1951-01,-3.5,=
13,1951-02,-1.3,=
14,1951-03,-2.0,=
15,1951-04,2.2,=
16,1951-05,4.2,=
17,1951-06,7.8,=
18,1951-07,10.4,=
19,1951-08,15.3,=
20,1951-09,10.4,=
21,1951-10,8.4,=
22,1951-11,-0.6,=
23,1951-12,0.9,=
24,1952-01,-1.4,=
25,1952-02,-1.7,=
26,1952-03,-2.0,=
27,1952-04,3.5,=
28,1952-05,6.0,=
29,1952-06,10.3,=
30,1952-07,12.0,=
31,1952-08,10.4,=
32,1952-09,7.5,=
33,1952-10,3.2,=
34,1952-11,0.0,=
35,1952-12,-2.3,=
36,1953-01,-0.2,=
37,1953-02,-4.3,=
38,1953-03,1.0,=
39,1953-04,2.7,=
40,1953-05,6.0,=
41,1953-06,14.4,=
42,1953-07,14.2,=
43,1953-08,14.2,=
44,1953-09,8.14,=
45,1953-10,7.55,=
46,1953-11,2.44,=
47,1953-12,1.59,=
48,1954-01,-1.35,=
49,1954-02,-2.95,=
50,1954-03,-2.0,=
51,1954-04,2.3,=
52,1954-05,9.89,=
53,1954-06,12.1,=
54,1954-07,16.7,=
55,1954-08,13.1,=
56,1954-09,9.1,=
57,1954-10,4.4,=
58,1954-11,0.75,=
59,1954-12,1.25,=
60,1955-01,-1.85,=
61,1955-02,-4.6,=
62,1955-03,-3.4,=
63,1955-04,-1.15,=
64,1955-05,4.25,=
65,1955-06,10.2,=
66,1955-07,16.35,=
67,1955-08,13.79,=
68,1955-09,10.4,=
69,1955-10,3.75,=
70,1955-11,-1.34,=
71,1955-12,-5.45,=
72,1956-01,-2.55,=
73,1956-02,-4.9,=
74,1956-03,-1.3,=
75,1956-04,0.34,=
76,1956-05,8.75,=
77,1956-06,15.2,=
78,1956-07,16.85,=
79,1956-08,13.1,=
80,1956-09,8.89,=
81,1956-10,3.9,=
82,1956-11,-1.69,=
83,1956-12,-0.19,=
84,1957-01,-1.3,=
85,1957-02,-1.44,=
86,1957-03,-3.55,=
87,1957-04,2.34,=
88,1957-05,6.6,=
89,1957-06,10.9,=
