,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1951-01,-7.4,S
1,1951-02,-3.8,S
2,1951-03,-5.07,S
3,1951-04,1.73,S
4,1951-05,7.89,S
5,1951-06,12.88,S
6,1951-07,14.43,S
7,1951-08,14.77,S
8,1951-09,11.18,S
9,1951-10,5.66,S
10,1951-11,1.25,S
11,1951-12,-0.49,S
12,1952-01,-5.83,S
13,1952-02,-4.55,S
14,1952-03,-3.99,S
15,1952-04,5.16,S
16,1952-05,9.02,S
17,1952-06,11.67,S
18,1952-07,15.13,S
19,1952-08,13.05,S
20,1952-09,7.22,S
21,1952-10,2.75,S
22,1952-11,-3.91,S
23,1952-12,-5.88,S
24,1953-01,-7.46,S
25,1953-02,-7.52,S
26,1953-03,1.3,S
27,1953-04,3.91,S
28,1953-05,9.44,S
29,1953-06,16.88,S
30,1953-07,15.18,S
31,1953-08,13.62,S
32,1953-09,9.38,S
33,1953-10,7.52,S
34,1953-11,1.99,S
35,1953-12,-1.2,S
36,1954-01,-8.21,S
37,1954-02,-10.62,S
38,1954-03,-1.05,S
39,1954-04,2.21,S
40,1954-05,11.03,S
41,1954-06,13.14,S
42,1954-07,14.17,S
43,1954-08,14.02,S
44,1954-09,9.5,S
45,1954-10,3.81,S
46,1954-11,-0.69,S
47,1954-12,-1.87,S
48,1955-01,-6.65,S
49,1955-02,-8.38,S
50,1955-03,-3.82,S
51,1955-04,1.78,S
52,1955-05,6.99,S
53,1955-06,12.41,S
54,1955-07,19.24,S
55,1955-08,17.64,S
56,1955-09,11.32,S
57,1955-10,3.94,S
58,1955-11,-0.22,S
59,1955-12,-7.64,S
60,1956-01,-9.7,""""
61,1956-02,-11.0,""""
62,1956-03,-3.5,""""
63,1956-04,2.4,""""
64,1956-05,10.0,""""
65,1956-06,12.7,""""
66,1956-07,15.4,""""
67,1956-08,11.7,""""
68,1956-09,9.4,""""
69,1956-10,4.2,""""
70,1956-11,-3.3,""""
71,1956-12,-2.5,""""
72,1957-01,-4.58,E
73,1957-02,-5.18,E
74,1957-03,-2.39,E
75,1957-04,3.2,E
76,1957-05,8.5,E
77,1957-06,12.86,E
78,1957-07,16.36,E
79,1957-08,13.85,E
80,1957-09,8.62,E
81,1957-10,4.91,E
82,1957-11,-0.9,E
83,1957-12,-4.31,E
84,1958-01,-7.27,E
85,1958-02,-10.69,E
86,1958-03,-6.23,E
87,1958-04,1.83,E
88,1958-05,7.54,E
89,1958-06,13.64,E
90,1958-07,15.86,E
91,1958-08,13.74,E
92,1958-09,11.36,E
93,1958-10,6.54,E
94,1958-11,0.02,E
95,1958-12,-6.33,E
96,1959-01,-10.31,E
97,1959-02,-6.28,E
98,1959-03,-0.16,E
99,1959-04,3.98,E
100,1959-05,10.5,E
101,1959-06,14.26,E
102,1959-07,16.96,E
103,1959-08,16.29,E
104,1959-09,11.02,E
105,1959-10,4.81,E
106,1959-11,1.41,E
107,1959-12,-2.67,E
108,1960-01,-5.88,E
109,1960-02,-9.89,E
110,1960-03,-1.27,E
111,1960-04,3.53,E
112,1960-05,10.88,E
113,1960-06,15.16,E
114,1960-07,14.31,E
115,1960-08,14.14,E
116,1960-09,10.1,E
117,1960-10,2.71,E
118,1960-11,-0.89,E
