,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,-9.54,=
1,1950-02,-8.8,=
2,1950-03,-4.89,=
3,1950-04,-1.44,=
4,1950-05,7.7,=
5,1950-06,9.09,=
6,1950-07,12.05,=
7,1950-08,12.35,=
8,1950-09,7.35,=
9,1950-10,3.5,=
10,1950-11,-6.25,=
11,1950-12,-10.95,=
12,1951-01,-13.6,=
13,1951-02,-10.4,=
14,1951-03,-8.8,=
15,1951-04,-0.34,=
16,1951-05,7.5,=
17,1951-06,9.05,=
18,1951-07,10.1,=
19,1951-08,11.5,=
20,1951-09,7.39,=
21,1951-10,2.95,=
22,1951-11,-3.05,=
23,1951-12,-3.4,=
24,1952-01,-7.3,=
25,1952-02,-9.15,=
26,1952-03,-7.64,=
27,1952-04,1.4,=
28,1952-05,6.6,=
29,1952-06,8.7,=
30,1952-07,13.25,=
31,1952-08,10.3,=
32,1952-09,5.4,=
33,1952-10,-0.75,=
34,1952-11,-8.25,=
35,1952-12,-8.0,=
36,1953-01,-8.0,=
37,1953-02,-10.75,=
38,1953-03,0.44,=
39,1953-04,-1.5,=
40,1953-05,5.85,=
41,1953-06,15.6,=
42,1953-07,14.15,=
43,1953-08,12.3,=
44,1953-09,7.5,=
45,1953-10,5.0,=
46,1953-11,-0.8,=
47,1953-12,-3.65,=
48,1954-01,-10.5,=
49,1954-02,-14.5,=
50,1954-03,-6.75,=
51,1954-04,-1.75,=
52,1954-05,10.45,=
53,1954-06,8.65,=
54,1954-07,12.65,=
55,1954-08,12.35,=
56,1954-09,5.89,=
57,1954-10,1.34,=
58,1954-11,-5.25,=
59,1954-12,-4.35,=
60,1955-01,-7.6,=
61,1955-02,-11.2,=
62,1955-03,-8.0,=
63,1955-04,0.25,=
64,1955-05,6.15,=
65,1955-06,8.85,=
66,1955-07,15.45,=
67,1955-08,13.8,=
68,1955-09,8.75,=
69,1955-10,-0.19,=
70,1955-11,-4.0,=
71,1955-12,-8.39,=
72,1956-01,-9.3,=
73,1956-02,-11.75,=
74,1956-03,-2.34,=
75,1956-04,-2.75,=
76,1956-05,7.45,=
77,1956-06,11.75,=
78,1956-07,12.3,=
79,1956-08,9.64,=
80,1956-09,9.8,=
81,1956-10,-1.3,=
82,1956-11,-3.6,=
83,1956-12,-6.55,=
84,1957-01,-6.8,=
85,1957-02,-8.3,=
86,1957-03,-2.7,=
87,1957-04,-0.69,=
88,1957-05,4.6,=
89,1957-06,11.2,=
90,1957-07,13.35,=
91,1957-08,12.0,=
92,1957-09,4.3,=
93,1957-10,3.3,=
94,1957-11,-3.69,=
95,1957-12,-9.25,=
96,1958-01,-9.2,=
97,1958-02,-11.8,=
98,1958-03,-9.0,=
99,1958-04,-3.44,=
100,1958-05,5.35,=
101,1958-06,10.85,=
102,1958-07,14.4,=
103,1958-08,11.3,=
104,1958-09,11.65,=
105,1958-10,3.1,=
106,1958-11,-1.15,=
107,1958-12,-9.2,=
108,1959-01,-9.75,=
109,1959-02,-6.85,=
110,1959-03,-2.0,=
111,1959-04,0.84,=
112,1959-05,7.25,=
113,1959-06,12.35,=
114,1959-07,13.05,=
115,1959-08,12.45,=
116,1959-09,8.4,=
117,1959-10,4.19,=
118,1959-11,-5.3,=
119,1959-12,-8.8,=
120,1960-01,-8.75,=
121,1960-02,-9.5,=
122,1960-03,-3.65,=
123,1960-04,0.0,=
124,1960-05,6.2,=
125,1960-06,14.3,=
126,1960-07,11.75,=
127,1960-08,13.75,=
128,1960-09,6.0,=
129,1960-10,-1.09,=
130,1960-11,-5.25,=
131,1960-12,-8.85,=
132,1961-01,-9.95,=
133,1961-02,-5.0,=
134,1961-03,-0.34,=
135,1961-04,-0.7,=
136,1961-05,8.64,=
137,1961-06,12.6,=
138,1961-07,11.4,=
139,1961-08,11.15,=
140,1961-09,9.4,=
141,1961-10,4.35,=
142,1961-11,-3.7,=
143,1961-12,-9.05,=
144,1962-01,-7.5,=
145,1962-02,-6.55,=
146,1962-03,-9.89,=
147,1962-04,-0.9,=
148,1962-05,5.1,=
149,1962-06,8.0,=
150,1962-07,10.9,=
151,1962-08,8.7,=
152,1962-09,4.75,=
153,1962-10,3.0,=
154,1962-11,-6.3,=
155,1962-12,-8.64,=
156,1963-01,-11.45,=
157,1963-02,-10.8,=
158,1963-03,-6.25,=
159,1963-04,1.25,=
160,1963-05,10.7,=
161,1963-06,12.7,=
162,1963-07,14.25,=
163,1963-08,13.0,=
164,1963-09,7.5,=
165,1963-10,3.2,=
166,1963-11,-7.5,=
167,1963-12,-8.3,=
168,1964-01,-5.55,=
169,1964-02,-9.7,=
170,1964-03,-5.55,=
171,1964-04,0.84,=
172,1964-05,6.9,=
173,1964-06,9.39,=
174,1964-07,10.14,=
175,1964-08,10.95,=
176,1964-09,7.25,=
177,1964-10,1.5,=
178,1964-11,-6.75,=
179,1964-12,-8.25,=
180,1965-01,-8.6,=
181,1965-02,-8.0,=
182,1965-03,-7.0,=
183,1965-04,1.4,=
184,1965-05,4.2,=
185,1965-06,10.3,=
186,1965-07,13.0,=
187,1965-08,11.15,=
188,1965-09,8.2,=
189,1965-10,3.7,=
190,1965-11,-8.5,=
191,1965-12,-13.2,=
192,1966-01,-13.3,=
193,1966-02,-13.55,=
